independent_unit_id	cohort_role	method	epsilon	tau	branch	witness	score	n_estimable	spearman	aurc	oracle_aurc	random_aurc	normalized_excess_aurc	retained_loss_at_80pct_coverage	retained_loss_at_90pct_coverage
HER2ST::D	manual_truth_controlled	uot	0.25	2.0	main21	heldout_expression_loss	endpoint_response	229.5	0.7908719251369151	0.11768682464760095	0.11253977590958544	0.14349393737140667	0.16643692739574212	0.12164753661664601	0.12923759082656427
HER2ST::D	manual_truth_controlled	uot	0.25	2.0	main21	heldout_expression_loss	finite_response_h001	229.5	0.8026777686730805	0.11733637734915603	0.11253977590958544	0.14349393737140667	0.15512489319018774	0.12181286945734703	0.12966091817722264
HER2ST::D	manual_truth_controlled	uot	0.25	2.0	main21	heldout_expression_loss	local_reference	229.5	0.802840735515745	0.11733667953150559	0.11253977590958544	0.14349393737140667	0.1551332756967279	0.12181286945734703	0.12966091817722264
HER2ST::D	manual_truth_controlled	uot	0.25	2.0	main21	heldout_expression_loss	source_boundary_proximity	229.5	-0.0910928513274191	0.14405418057693858	0.11253977590958544	0.14349393737140667	1.0157568092548976	0.14259384355434687	0.1423844486470357
HER2ST::E	manual_truth_controlled	balanced_ot	0.25		main21	heldout_expression_loss	endpoint_response	480.5	0.5785959231393545	0.30383997553905845	0.2885118213880269	0.3277591237717339	0.39206823771626365	0.30600004222069666	0.31587181030210454
HER2ST::E	manual_truth_controlled	balanced_ot	0.25		main21	heldout_expression_loss	finite_response_h001	480.5	0.5942946704045596	0.30315032042364215	0.2885118213880269	0.3277591237717339	0.3743381409138459	0.3054109177494456	0.31547088751573293
HER2ST::E	manual_truth_controlled	balanced_ot	0.25		main21	heldout_expression_loss	local_reference	480.5	0.594593291560533	0.30314975616629664	0.2885118213880269	0.3277591237717339	0.3743227671563875	0.3054109177494456	0.31547088751573293
HER2ST::E	manual_truth_controlled	balanced_ot	0.25		main21	heldout_expression_loss	source_boundary_proximity	480.5	-0.28216981735879887	0.33849289796526144	0.2885118213880269	0.3277591237717339	1.2735891322582589	0.3372851643533378	0.33148405714019774
HER2ST::E	manual_truth_controlled	row_softmax	0.25		main21	heldout_expression_loss	endpoint_response	480.5	-0.21566445955708358	0.3364426826570984	0.2878865572298235	0.32648267142195164	1.2580623426586837	0.33422347629527704	0.3310502350910661
HER2ST::E	manual_truth_controlled	row_softmax	0.25		main21	heldout_expression_loss	finite_response_h001	480.5	-0.1372231053328012	0.3340945568258836	0.2878865572298235	0.32648267142195164	1.1972288081017108	0.33210527255403854	0.330551338564268
HER2ST::E	manual_truth_controlled	row_softmax	0.25		main21	heldout_expression_loss	local_reference	480.5	-0.1362415212212827	0.33406964339477796	0.2878865572298235	0.32648267142195164	1.1965835953591633	0.33210527255403854	0.330551338564268
HER2ST::E	manual_truth_controlled	row_softmax	0.25		main21	heldout_expression_loss	source_boundary_proximity	480.5	-0.27633132466194876	0.3367377190981943	0.2878865572298235	0.32648267142195164	1.2657313329828919	0.3356183613038582	0.3299629647534089
HER2ST::E	manual_truth_controlled	uot	0.25	2.0	main21	heldout_expression_loss	endpoint_response	480.5	0.7434972217161451	0.29717379672920063	0.2880422371421696	0.32702021274845294	0.23419414414772144	0.3019001043249762	0.31338415931871105
HER2ST::E	manual_truth_controlled	uot	0.25	2.0	main21	heldout_expression_loss	finite_response_h001	480.5	0.7530996998233475	0.29681731272707346	0.2880422371421696	0.32702021274845294	0.22506039128216576	0.3019188684756876	0.31355570859194304
HER2ST::E	manual_truth_controlled	uot	0.25	2.0	main21	heldout_expression_loss	local_reference	480.5	0.7531967526593375	0.2968169991709104	0.2880422371421696	0.32702021274845294	0.2250523009887938	0.30191886847568755	0.3135557085919429
HER2ST::E	manual_truth_controlled	uot	0.25	2.0	main21	heldout_expression_loss	source_boundary_proximity	480.5	-0.2818881517410663	0.33771186925504015	0.2880422371421696	0.32702021274845294	1.2743973609187271	0.33652041815759726	0.33072019595478014
HER2ST::F	manual_truth_controlled	balanced_ot	0.25		main21	heldout_expression_loss	endpoint_response	593.0	0.7092803860017773	0.1847697089288356	0.17567598631520526	0.20780167390841064	0.28376909219746904	0.18862805021052748	0.19575848757133452
HER2ST::F	manual_truth_controlled	balanced_ot	0.25		main21	heldout_expression_loss	finite_response_h001	593.0	0.7148115842120727	0.1846375023249901	0.17567598631520526	0.20780167390841064	0.2794798449780987	0.1883437483872239	0.1958861406240303
HER2ST::F	manual_truth_controlled	balanced_ot	0.25		main21	heldout_expression_loss	local_reference	593.0	0.7148440735691185	0.18463472574180567	0.17567598631520526	0.20780167390841064	0.2793906825495176	0.18834374838722384	0.19585991419333132
HER2ST::F	manual_truth_controlled	balanced_ot	0.25		main21	heldout_expression_loss	source_boundary_proximity	593.0	-0.01846849269748706	0.20760088670641114	0.17567598631520526	0.20780167390841064	0.993408115246694	0.2074885059220442	0.20688617886914065
HER2ST::F	manual_truth_controlled	row_softmax	0.25		main21	heldout_expression_loss	endpoint_response	593.0	-0.0785709872828936	0.20887035458435516	0.1755246321124214	0.20774404636471955	1.0340203446354876	0.20737010511337384	0.20807613094874253
HER2ST::F	manual_truth_controlled	row_softmax	0.25		main21	heldout_expression_loss	finite_response_h001	593.0	-0.030547335098506642	0.20692168177362358	0.1755246321124214	0.20774404636471955	0.9734507220683847	0.20553255795490055	0.20646595788485544
HER2ST::F	manual_truth_controlled	row_softmax	0.25		main21	heldout_expression_loss	local_reference	593.0	-0.029935152595166277	0.20690181779260777	0.1755246321124214	0.20774404636471955	0.9728291726862794	0.20553255795490055	0.20646595788485544
HER2ST::F	manual_truth_controlled	row_softmax	0.25		main21	heldout_expression_loss	source_boundary_proximity	593.0	-0.007619220478802927	0.20712423547811165	0.1755246321124214	0.20774404636471955	0.9803639464011069	0.20702630393384971	0.20658341784472395
HER2ST::F	manual_truth_controlled	uot	0.25	2.0	main21	heldout_expression_loss	endpoint_response	593.0	0.7070551403428984	0.18414074000630243	0.17555124645592773	0.20766618662398884	0.26729301671628386	0.1874601482877914	0.1956229009583906
HER2ST::F	manual_truth_controlled	uot	0.25	2.0	main21	heldout_expression_loss	finite_response_h001	593.0	0.7134067094392759	0.18399532946114344	0.17555124645592773	0.20766618662398884	0.262714589141425	0.18734660490839053	0.19558492017554474
