independent_unit_id,method,epsilon,tau,grid_role,arm,witness,score,claim_status,normalized_excess_aurc,relative_improvement_over_random,fixed_qc_nex_aurc,fixed_qc_gain,relative_fixed_qc_gain,negative_control_pass,leakage_control_pass,confound_direction_pass,confound_significance_pass,biological_pairs,technology
spatialLIBD_manual::Br5292,balanced_ot,0.1,,epsilon_scan,R,heldout_loss,source_boundary_proximity,post-review sensitivity analysis; manual cortical-layer extension,0.8501036350656431,0.1498963649343569,0.8501036350656431,0.0,0.0,0.75,1.0,0.75,0.0,2,spatialLIBD_manual_layers
spatialLIBD_manual::Br5292,balanced_ot,0.1,,epsilon_scan,R,label_error_shared_closed_set,exact_I_EXPR,post-review sensitivity analysis; manual cortical-layer extension,1.1436389316349151,-0.14363893163491515,1.0200866904764037,-0.12355224115851143,-0.12687886945209592,0.0,1.0,0.0,1.0,2,spatialLIBD_manual_layers
spatialLIBD_manual::Br5292,balanced_ot,0.1,,epsilon_scan,R,label_error_shared_closed_set,exact_I_SPATIAL,post-review sensitivity analysis; manual cortical-layer extension,1.0143776574210426,-0.014377657421042717,1.0200866904764037,0.005709033055360996,0.00922767446641561,0.5,1.0,0.5,0.25,2,spatialLIBD_manual_layers
spatialLIBD_manual::Br5292,balanced_ot,0.1,,epsilon_scan,R,label_error_shared_closed_set,exact_combined,post-review sensitivity analysis; manual cortical-layer extension,1.0143776574210426,-0.014377657421042717,1.0200866904764037,0.005709033055360996,0.00922767446641561,0.5,1.0,0.5,0.25,2,spatialLIBD_manual_layers
spatialLIBD_manual::Br5292,balanced_ot,0.1,,epsilon_scan,R,label_error_shared_closed_set,matched_fd_I_EXPR,post-review sensitivity analysis; manual cortical-layer extension,1.1480362901906138,-0.14803629019061376,1.0200866904764037,-0.12794959971421005,-0.13112094637795735,0.0,1.0,0.0,1.0,2,spatialLIBD_manual_layers
spatialLIBD_manual::Br5292,balanced_ot,0.1,,epsilon_scan,R,label_error_shared_closed_set,matched_fd_I_SPATIAL,post-review sensitivity analysis; manual cortical-layer extension,0.9657441887911193,0.034255811208880604,1.0200866904764037,0.05434250168528432,0.04566025121780253,0.25,1.0,1.0,0.5,2,spatialLIBD_manual_layers
spatialLIBD_manual::Br5292,balanced_ot,0.1,,epsilon_scan,R,label_error_shared_closed_set,matched_fd_combined,post-review sensitivity analysis; manual cortical-layer extension,0.9598976369540977,0.04010236304590231,1.0200866904764037,0.060189053522306024,0.05136285915205982,0.25,1.0,1.0,0.5,2,spatialLIBD_manual_layers
spatialLIBD_manual::Br5292,balanced_ot,0.1,,epsilon_scan,R,label_error_shared_closed_set,source_boundary_proximity,post-review sensitivity analysis; manual cortical-layer extension,1.0200866904764037,-0.020086690476403712,1.0200866904764037,0.0,0.0,0.25,1.0,0.5,0.5,2,spatialLIBD_manual_layers
spatialLIBD_manual::Br5292,balanced_ot,0.1,,epsilon_scan,R,source_only_open_set,exact_I_EXPR,post-review sensitivity analysis; manual cortical-layer extension,,,,,,0.0,0.0,0.0,0.0,2,spatialLIBD_manual_layers
spatialLIBD_manual::Br5292,balanced_ot,0.1,,epsilon_scan,R,source_only_open_set,exact_I_SPATIAL,post-review sensitivity analysis; manual cortical-layer extension,,,,,,0.0,0.0,0.0,0.0,2,spatialLIBD_manual_layers
spatialLIBD_manual::Br5292,balanced_ot,0.1,,epsilon_scan,R,source_only_open_set,exact_combined,post-review sensitivity analysis; manual cortical-layer extension,,,,,,0.0,0.0,0.0,0.0,2,spatialLIBD_manual_layers
spatialLIBD_manual::Br5292,balanced_ot,0.1,,epsilon_scan,R,source_only_open_set,matched_fd_I_EXPR,post-review sensitivity analysis; manual cortical-layer extension,,,,,,0.0,0.0,0.0,0.0,2,spatialLIBD_manual_layers
spatialLIBD_manual::Br5292,balanced_ot,0.1,,epsilon_scan,R,source_only_open_set,matched_fd_I_SPATIAL,post-review sensitivity analysis; manual cortical-layer extension,,,,,,0.0,0.0,0.0,0.0,2,spatialLIBD_manual_layers
spatialLIBD_manual::Br5292,balanced_ot,0.1,,epsilon_scan,R,source_only_open_set,matched_fd_combined,post-review sensitivity analysis; manual cortical-layer extension,,,,,,0.0,0.0,0.0,0.0,2,spatialLIBD_manual_layers
spatialLIBD_manual::Br5292,balanced_ot,0.1,,epsilon_scan,R,source_only_open_set,source_boundary_proximity,post-review sensitivity analysis; manual cortical-layer extension,,,,,,0.0,0.0,0.0,0.0,2,spatialLIBD_manual_layers
spatialLIBD_manual::Br5292,balanced_ot,0.25,,baseline,N,heldout_loss,exact_I_EXPR,post-review sensitivity analysis; manual cortical-layer extension,1.079927616359508,-0.07992761635950801,0.8439371301591798,-0.23599048620032817,-0.34947708973444447,0.0,1.0,0.75,0.5,2,spatialLIBD_manual_layers
spatialLIBD_manual::Br5292,balanced_ot,0.25,,baseline,N,heldout_loss,exact_I_SPATIAL,post-review sensitivity analysis; manual cortical-layer extension,0.9042327157551187,0.09576728424488135,0.8439371301591798,-0.06029558559593881,-0.09034148477860492,0.75,1.0,0.75,0.0,2,spatialLIBD_manual_layers
spatialLIBD_manual::Br5292,balanced_ot,0.25,,baseline,N,heldout_loss,exact_combined,post-review sensitivity analysis; manual cortical-layer extension,0.9042327157551187,0.09576728424488135,0.8439371301591798,-0.06029558559593881,-0.09034148477860492,0.75,1.0,0.75,0.0,2,spatialLIBD_manual_layers
spatialLIBD_manual::Br5292,balanced_ot,0.25,,baseline,N,heldout_loss,matched_fd_I_EXPR,post-review sensitivity analysis; manual cortical-layer extension,1.0821752519307584,-0.08217525193075825,0.8439371301591798,-0.2382381217715784,-0.3288236106093657,0.0,1.0,0.5,0.0,2,spatialLIBD_manual_layers
spatialLIBD_manual::Br5292,balanced_ot,0.25,,baseline,N,heldout_loss,matched_fd_I_SPATIAL,post-review sensitivity analysis; manual cortical-layer extension,1.0803790899646788,-0.08037908996467891,0.8439371301591798,-0.23644195980549906,-0.32608279954272534,0.0,1.0,0.5,0.0,2,spatialLIBD_manual_layers
spatialLIBD_manual::Br5292,balanced_ot,0.25,,baseline,N,heldout_loss,matched_fd_combined,post-review sensitivity analysis; manual cortical-layer extension,1.0803790899646788,-0.08037908996467891,0.8439371301591798,-0.23644195980549906,-0.32608279954272534,0.0,1.0,0.5,0.0,2,spatialLIBD_manual_layers
spatialLIBD_manual::Br5292,balanced_ot,0.25,,baseline,N,heldout_loss,source_boundary_proximity,post-review sensitivity analysis; manual cortical-layer extension,0.8439371301591798,0.15606286984082016,0.8439371301591798,0.0,0.0,0.75,1.0,1.0,0.5,2,spatialLIBD_manual_layers
spatialLIBD_manual::Br5292,balanced_ot,0.25,,baseline,N,label_error_shared_closed_set,exact_I_EXPR,post-review sensitivity analysis; manual cortical-layer extension,1.001569030011523,-0.0015690300115228928,1.1027806989593598,0.10121166894783695,0.08539487563018308,0.0,1.0,0.75,0.0,2,spatialLIBD_manual_layers
spatialLIBD_manual::Br5292,balanced_ot,0.25,,baseline,N,label_error_shared_closed_set,exact_I_SPATIAL,post-review sensitivity analysis; manual cortical-layer extension,1.0990742966905114,-0.0990742966905113,1.1027806989593598,0.003706402268848552,0.007682551085883879,0.0,1.0,0.5,0.25,2,spatialLIBD_manual_layers
spatialLIBD_manual::Br5292,balanced_ot,0.25,,baseline,N,label_error_shared_closed_set,exact_combined,post-review sensitivity analysis; manual cortical-layer extension,1.0990742966905114,-0.0990742966905113,1.1027806989593598,0.003706402268848552,0.007682551085883879,0.0,1.0,0.5,0.25,2,spatialLIBD_manual_layers
spatialLIBD_manual::Br5292,balanced_ot,0.25,,baseline,N,label_error_shared_closed_set,matched_fd_I_EXPR,post-review sensitivity analysis; manual cortical-layer extension,0.9843783614641193,0.015621638535880722,1.1027806989593598,0.11840233749524057,0.10431203053793232,0.25,1.0,1.0,0.25,2,spatialLIBD_manual_layers
spatialLIBD_manual::Br5292,balanced_ot,0.25,,baseline,N,label_error_shared_closed_set,matched_fd_I_SPATIAL,post-review sensitivity analysis; manual cortical-layer extension,0.9843881785061553,0.015611821493844658,1.1027806989593598,0.1183925204532045,0.1045059871736427,0.25,1.0,1.0,0.25,2,spatialLIBD_manual_layers
