dataset,pair_type,biological_pair_id,direction,pair_id,independent_unit_id,method,epsilon,tau,grid_role,arm,stage,intervention,solver_iterations,converged,runtime_seconds,peak_memory_mb,memory_measurement,solver_last_error,row_mass_l1,col_mass_l1
spatialLIBD_manual_layers,within_donor_adjacent_replicates,DLPFCML_151507_151508,forward,DLPFCML_151507_151508,spatialLIBD_manual::Br5292,balanced_ot,0.5,,epsilon_scan,N,matched_fd,I_EXPR,200,True,11.14595240000017,573.0234375,process_rss_after_solve,1.7763568394002505e-15,1.0245710529988017e-15,1.3591558434278284e-15
spatialLIBD_manual_layers,within_donor_adjacent_replicates,DLPFCML_151507_151508,forward,DLPFCML_151507_151508,spatialLIBD_manual::Br5292,balanced_ot,0.5,,epsilon_scan,N,full_endpoint,I_SPATIAL,200,True,10.950073599999087,418.5234375,process_rss_after_solve,3.552713678800501e-15,6.843484112728504e-16,1.2806596061398778e-15
spatialLIBD_manual_layers,within_donor_adjacent_replicates,DLPFCML_151507_151508,forward,DLPFCML_151507_151508,spatialLIBD_manual::Br5292,balanced_ot,0.5,,epsilon_scan,N,matched_fd,I_SPATIAL,200,True,10.992076599999564,418.5234375,process_rss_after_solve,0.0,6.482444789290831e-16,1.2582166211694279e-15
spatialLIBD_manual_layers,within_donor_adjacent_replicates,DLPFCML_151507_151508,forward,DLPFCML_151507_151508,spatialLIBD_manual::Br5292,uot,0.1,2.0,epsilon_scan,shared,base,NONE,185,True,10.126852299999882,318.6875,process_rss_after_solve,6.363891635885466e-09,0.20488383740502128,0.20442673543503753
spatialLIBD_manual_layers,within_donor_adjacent_replicates,DLPFCML_151507_151508,forward,DLPFCML_151507_151508,spatialLIBD_manual::Br5292,uot,0.1,2.0,epsilon_scan,R,full_endpoint,I_EXPR,185,True,9.95108750000145,387.34375,process_rss_after_solve,9.50276657363247e-09,0.35636716600685225,0.35636716600685225
spatialLIBD_manual_layers,within_donor_adjacent_replicates,DLPFCML_151507_151508,forward,DLPFCML_151507_151508,spatialLIBD_manual::Br5292,uot,0.1,2.0,epsilon_scan,R,matched_fd,I_EXPR,185,True,10.013358700000026,387.34375,process_rss_after_solve,6.391374540726247e-09,0.20626043978947817,0.2058219739987431
spatialLIBD_manual_layers,within_donor_adjacent_replicates,DLPFCML_151507_151508,forward,DLPFCML_151507_151508,spatialLIBD_manual::Br5292,uot,0.1,2.0,epsilon_scan,R,full_endpoint,I_SPATIAL,185,True,9.959792800000287,404.51171875,process_rss_after_solve,7.957904557542861e-09,0.2648463622230476,0.26475604440808653
spatialLIBD_manual_layers,within_donor_adjacent_replicates,DLPFCML_151507_151508,forward,DLPFCML_151507_151508,spatialLIBD_manual::Br5292,uot,0.1,2.0,epsilon_scan,R,matched_fd,I_SPATIAL,185,True,9.244631800000207,404.51171875,process_rss_after_solve,6.371020377926584e-09,0.2051171748120824,0.20466166914623712
spatialLIBD_manual_layers,within_donor_adjacent_replicates,DLPFCML_151507_151508,forward,DLPFCML_151507_151508,spatialLIBD_manual::Br5292,uot,0.1,2.0,epsilon_scan,N,full_endpoint,I_EXPR,185,True,9.888109599998643,421.6796875,process_rss_after_solve,9.039571757796239e-09,0.3364088433741803,0.33640884337418
spatialLIBD_manual_layers,within_donor_adjacent_replicates,DLPFCML_151507_151508,forward,DLPFCML_151507_151508,spatialLIBD_manual::Br5292,uot,0.1,2.0,epsilon_scan,N,matched_fd,I_EXPR,185,True,10.029388499999186,421.6796875,process_rss_after_solve,6.38431618682489e-09,0.20602881190715466,0.20558876969008447
spatialLIBD_manual_layers,within_donor_adjacent_replicates,DLPFCML_151507_151508,forward,DLPFCML_151507_151508,spatialLIBD_manual::Br5292,uot,0.1,2.0,epsilon_scan,N,full_endpoint,I_SPATIAL,180,True,9.30606919999991,438.84765625,process_rss_after_solve,8.928094707982837e-09,0.1387298221570665,0.1469602543974451
spatialLIBD_manual_layers,within_donor_adjacent_replicates,DLPFCML_151507_151508,forward,DLPFCML_151507_151508,spatialLIBD_manual::Br5292,uot,0.1,2.0,epsilon_scan,N,matched_fd,I_SPATIAL,185,True,9.952017699999487,438.84765625,process_rss_after_solve,6.343599423530577e-09,0.20374225016080877,0.2032681919262222
spatialLIBD_manual_layers,within_donor_adjacent_replicates,DLPFCML_151507_151508,forward,DLPFCML_151507_151508,spatialLIBD_manual::Br5292,uot,0.25,2.0,baseline,shared,base,NONE,85,True,4.584715299999516,319.328125,process_rss_after_solve,3.2542066819019055e-09,0.9387410165573696,0.9387410165573696
spatialLIBD_manual_layers,within_donor_adjacent_replicates,DLPFCML_151507_151508,forward,DLPFCML_151507_151508,spatialLIBD_manual::Br5292,uot,0.25,2.0,baseline,R,full_endpoint,I_EXPR,85,True,4.656357799998659,388.0,process_rss_after_solve,3.758674260723183e-09,1.178358260090314,1.1783582600903137
spatialLIBD_manual_layers,within_donor_adjacent_replicates,DLPFCML_151507_151508,forward,DLPFCML_151507_151508,spatialLIBD_manual::Br5292,uot,0.25,2.0,baseline,R,matched_fd,I_EXPR,85,True,4.613600499998938,388.0,process_rss_after_solve,3.25884297325274e-09,0.940969339943342,0.9409693399433421
spatialLIBD_manual_layers,within_donor_adjacent_replicates,DLPFCML_151507_151508,forward,DLPFCML_151507_151508,spatialLIBD_manual::Br5292,uot,0.25,2.0,baseline,R,full_endpoint,I_SPATIAL,85,True,4.666959800000768,405.16796875,process_rss_after_solve,3.6208724907282885e-09,1.0999121837608898,1.0999121837608898
spatialLIBD_manual_layers,within_donor_adjacent_replicates,DLPFCML_151507_151508,forward,DLPFCML_151507_151508,spatialLIBD_manual::Br5292,uot,0.25,2.0,baseline,R,matched_fd,I_SPATIAL,85,True,4.693874599999617,405.16796875,process_rss_after_solve,3.2563773899596526e-09,0.9395753432807902,0.9395753432807903
spatialLIBD_manual_layers,within_donor_adjacent_replicates,DLPFCML_151507_151508,forward,DLPFCML_151507_151508,spatialLIBD_manual::Br5292,uot,0.25,2.0,baseline,N,full_endpoint,I_EXPR,85,True,4.674679199999446,422.3203125,process_rss_after_solve,3.601432041477892e-09,1.1091782279551028,1.1091782279551028
spatialLIBD_manual_layers,within_donor_adjacent_replicates,DLPFCML_151507_151508,forward,DLPFCML_151507_151508,spatialLIBD_manual::Br5292,uot,0.25,2.0,baseline,N,matched_fd,I_EXPR,85,True,4.614173299998583,422.3203125,process_rss_after_solve,3.2566891405849674e-09,0.9401409746957707,0.9401409746957708
spatialLIBD_manual_layers,within_donor_adjacent_replicates,DLPFCML_151507_151508,forward,DLPFCML_151507_151508,spatialLIBD_manual::Br5292,uot,0.25,2.0,baseline,N,full_endpoint,I_SPATIAL,85,True,4.538663999999699,439.48828125,process_rss_after_solve,3.182087482400675e-09,0.8715953405079342,0.8715953405079342
spatialLIBD_manual_layers,within_donor_adjacent_replicates,DLPFCML_151507_151508,forward,DLPFCML_151507_151508,spatialLIBD_manual::Br5292,uot,0.25,2.0,baseline,N,matched_fd,I_SPATIAL,85,True,4.7604234000009455,439.48828125,process_rss_after_solve,3.2517482040361756e-09,0.9373490326166909,0.9373490326166909
