method,epsilon,tau,grid_role,arm,intervention,score,claim_status,gate_family,independent_units,median_spearman,median_top_decile_overlap,median_nmae,unit_gate_pass_fraction,spearman_gate_pass,overlap_gate_pass,nmae_gate_pass,gate_pass,witness,median_nex_aurc,median_relative_fixed_qc_gain,positive_unit_fraction,positive_technology_count,leave_one_unit_out_fixed_qc_low,negative_control_pass_fraction,leakage_control_pass_fraction,confound_direction_pass_fraction,sensitivity_external_gate,sensitivity_external_gate_with_controls,registered_gate_status,confirmatory
row_softmax,0.25,,baseline,N,I_SPATIAL,matched_finite_difference,post-review sensitivity analysis; manual cortical-layer extension,internal_fidelity,3,0.7774391801951912,0.605,1.809267593300227,0.0,True,True,False,False,,,,,,,,,,,,,
row_softmax,0.25,,baseline,N,I_SPATIAL,registered_finite_difference_fixed_score,post-review sensitivity analysis; manual cortical-layer extension,internal_fidelity,3,0.9460644080286258,0.7533333333333333,2.037786660307882,0.0,True,True,False,False,,,,,,,,,,,,,
row_softmax,0.25,,baseline,R,I_EXPR,matched_finite_difference,post-review sensitivity analysis; manual cortical-layer extension,internal_fidelity,3,0.9663010010226672,0.7833333333333334,1.0207498141234592,0.0,True,True,False,False,,,,,,,,,,,,,
row_softmax,0.25,,baseline,R,I_EXPR,registered_finite_difference_fixed_score,post-review sensitivity analysis; manual cortical-layer extension,internal_fidelity,3,0.9663010010226672,0.7833333333333334,1.0207498141234592,0.0,True,True,False,False,,,,,,,,,,,,,
row_softmax,0.25,,baseline,R,I_SPATIAL,matched_finite_difference,post-review sensitivity analysis; manual cortical-layer extension,internal_fidelity,3,0.8836427722856767,0.605,2.4312286865103694,0.0,True,True,False,False,,,,,,,,,,,,,
row_softmax,0.25,,baseline,R,I_SPATIAL,registered_finite_difference_fixed_score,post-review sensitivity analysis; manual cortical-layer extension,internal_fidelity,3,0.8836427722856767,0.605,2.4312286865103694,0.0,True,True,False,False,,,,,,,,,,,,,
row_softmax,0.5,,epsilon_scan,N,I_EXPR,matched_finite_difference,post-review sensitivity analysis; manual cortical-layer extension,internal_fidelity,3,0.9558049794688798,0.7749999999999999,2.1491976007590017,0.0,True,True,False,False,,,,,,,,,,,,,
row_softmax,0.5,,epsilon_scan,N,I_EXPR,registered_finite_difference_fixed_score,post-review sensitivity analysis; manual cortical-layer extension,internal_fidelity,3,-0.0470726511434005,0.32666666666666666,4.7216207060499915,0.0,False,False,False,False,,,,,,,,,,,,,
row_softmax,0.5,,epsilon_scan,N,I_SPATIAL,matched_finite_difference,post-review sensitivity analysis; manual cortical-layer extension,internal_fidelity,3,0.9677988647994955,0.7683333333333333,1.0876975676299254,0.0,True,True,False,False,,,,,,,,,,,,,
row_softmax,0.5,,epsilon_scan,N,I_SPATIAL,registered_finite_difference_fixed_score,post-review sensitivity analysis; manual cortical-layer extension,internal_fidelity,3,0.9739227768545676,0.7716666666666666,1.1154100020919275,0.0,True,True,False,False,,,,,,,,,,,,,
