dataset,pair_type,biological_pair_id,direction,pair_id,independent_unit_id,method,epsilon,tau,grid_role,parameter_index,pair_file_id,arm,stage,intervention,expression_weight,spatial_weight,ce_positive_median,cs_positive_median,mixed_cost_positive_median,cost_over_epsilon_q05,cost_over_epsilon_median,cost_over_epsilon_q95,plan_entropy,transported_mass,solver_iterations,converged,runtime_seconds,peak_memory_mb,memory_measurement,solver_last_error,row_mass_l1,col_mass_l1
spatialLIBD_manual_layers,within_donor_adjacent_replicates,DLPFCML_151507_151508,forward,DLPFCML_151507_151508,spatialLIBD_manual::Br5292,balanced_ot,0.5,,epsilon_scan,2,DLPFCML_151507_151508,shared,base,NONE,0.5,0.5,1.0,1.0,1.016640870679555,0.8592345192722612,2.03328174135911,4.59170761706824,14.329702599561049,1.0000000000000007,200,True,10.90822069999922,298.3203125,process_rss_after_solve,1.7763568394002505e-15,9.918281473897395e-16,1.453047751565073e-15
spatialLIBD_manual_layers,within_donor_adjacent_replicates,DLPFCML_151507_151508,forward,DLPFCML_151507_151508,spatialLIBD_manual::Br5292,balanced_ot,0.5,,epsilon_scan,2,DLPFCML_151507_151508,R,full_endpoint,I_EXPR,0.0,0.5,1.0,1.0,0.5,0.06915292594122179,1.0,3.429732799374317,14.339915578546258,1.0000000000000004,200,True,10.805357900000672,401.38671875,process_rss_after_solve,0.0,9.762156361059482e-16,1.3608905669038052e-15
spatialLIBD_manual_layers,within_donor_adjacent_replicates,DLPFCML_151507_151508,forward,DLPFCML_151507_151508,spatialLIBD_manual::Br5292,balanced_ot,0.5,,epsilon_scan,2,DLPFCML_151507_151508,R,matched_fd,I_EXPR,0.495,0.5,1.0,1.0,1.0113907827151736,0.8521700541743399,2.022781565430347,4.579650157944285,14.329830888874971,0.9999999999999987,200,True,10.968996300000072,401.38671875,process_rss_after_solve,1.7763568394002505e-15,9.880334397860402e-16,1.396127137509584e-15
spatialLIBD_manual_layers,within_donor_adjacent_replicates,DLPFCML_151507_151508,forward,DLPFCML_151507_151508,spatialLIBD_manual::Br5292,balanced_ot,0.5,,epsilon_scan,2,DLPFCML_151507_151508,R,full_endpoint,I_SPATIAL,0.5,0.0,1.0,1.0,0.5,0.5602168990853268,1.0,1.5522472351141607,14.623995581289977,0.9999999999999989,200,True,11.000258600000961,487.23828125,process_rss_after_solve,3.552713678800501e-15,9.904186845655083e-16,1.4589024432964948e-15
spatialLIBD_manual_layers,within_donor_adjacent_replicates,DLPFCML_151507_151508,forward,DLPFCML_151507_151508,spatialLIBD_manual::Br5292,balanced_ot,0.5,,epsilon_scan,2,DLPFCML_151507_151508,R,matched_fd,I_SPATIAL,0.5,0.495,1.0,1.0,1.0117803649150217,0.8576580826450355,2.0235607298300433,4.557869021271667,14.333807981701424,1.0000000000000004,200,True,10.972734700000728,487.23828125,process_rss_after_solve,0.0,6.591949208711867e-16,1.292911090688964e-15
spatialLIBD_manual_layers,within_donor_adjacent_replicates,DLPFCML_151507_151508,forward,DLPFCML_151507_151508,spatialLIBD_manual::Br5292,balanced_ot,0.5,,epsilon_scan,2,DLPFCML_151507_151508,N,full_endpoint,I_EXPR,0.0,1.0,1.0,1.0,1.0,0.13830585188244357,2.0,6.859465598748634,13.980126656544062,0.9999999999999996,200,True,11.189646599999833,573.0234375,process_rss_after_solve,3.552713678800501e-15,9.544231724389896e-16,1.3664199979834812e-15
spatialLIBD_manual_layers,within_donor_adjacent_replicates,DLPFCML_151507_151508,forward,DLPFCML_151507_151508,spatialLIBD_manual::Br5292,balanced_ot,0.5,,epsilon_scan,2,DLPFCML_151507_151508,N,matched_fd,I_EXPR,0.495,0.505,1.0,1.0,1.0162614441637685,0.853781664314209,2.032522888327537,4.613403067723678,14.325729673209056,1.0,200,True,11.14595240000017,573.0234375,process_rss_after_solve,1.7763568394002505e-15,1.0245710529988017e-15,1.3591558434278284e-15
spatialLIBD_manual_layers,within_donor_adjacent_replicates,DLPFCML_151507_151508,forward,DLPFCML_151507_151508,spatialLIBD_manual::Br5292,balanced_ot,0.5,,epsilon_scan,2,DLPFCML_151507_151508,N,full_endpoint,I_SPATIAL,1.0,0.0,1.0,1.0,1.0,1.1204337981706536,2.0,3.1044944702283215,14.616520744583609,0.9999999999999992,200,True,10.950073599999087,418.5234375,process_rss_after_solve,3.552713678800501e-15,6.843484112728504e-16,1.2806596061398778e-15
spatialLIBD_manual_layers,within_donor_adjacent_replicates,DLPFCML_151507_151508,forward,DLPFCML_151507_151508,spatialLIBD_manual::Br5292,balanced_ot,0.5,,epsilon_scan,2,DLPFCML_151507_151508,N,matched_fd,I_SPATIAL,0.505,0.495,1.0,1.0,1.0171058514682074,0.8646494191659776,2.034211702936415,4.570173406044881,14.333679709687317,1.0000000000000004,200,True,10.992076599999564,418.5234375,process_rss_after_solve,0.0,6.482444789290831e-16,1.2582166211694279e-15
spatialLIBD_manual_layers,within_donor_adjacent_replicates,DLPFCML_151507_151508,forward,DLPFCML_151507_151508,spatialLIBD_manual::Br5292,uot,0.1,2.0,epsilon_scan,0,DLPFCML_151507_151508,shared,base,NONE,0.5,0.5,1.0,1.0,1.016640870679555,4.296172596361306,10.16640870679555,22.9585380853412,13.246557631473266,1.2043509622887907,185,True,10.126852299999882,318.6875,process_rss_after_solve,6.363891635885466e-09,0.20488383740502128,0.20442673543503753
