independent_unit_id	model	pair_purity	top1	top5	top10	mean_reciprocal_rank	median_true_rank	region_label_accuracy	true_pair_cosine
HER2ST::D	mlp128_64_32	0.0	0.001141552511415525	0.02574066865390713	0.045197863211614855	0.024082920849675175	111.04166666666666	0.5097861957808839	-0.0946269677951932
HER2ST::D	mlp128_64_32	0.5	0.0011111111111111111	0.011364870509607352	0.035938021928309895	0.020109893382706093	112.29166666666666	0.4838326283409302	-0.08733025845140219
HER2ST::D	mlp128_64_32	1.0	0.001488095238095238	0.0090000543596434	0.02349478147423353	0.019702330151490068	106.83333333333334	0.5982715021841469	-0.026309896532135703
HER2ST::D	mlp64_32	0.0	0.0022526636225266364	0.02066912429475515	0.03976003078472437	0.024778335489937527	117.58333333333334	0.4511258311303372	-0.0332954930102763
HER2ST::D	mlp64_32	0.5	0.0025845864661654134	0.012046054062095878	0.032842975690636746	0.022575413503920783	110.79166666666666	0.571179254205888	-0.034613605588674545
HER2ST::D	mlp64_32	1.0	0.0033491548505968118	0.02253355487833201	0.04951723251184636	0.02834028509080815	101.45833333333334	0.580014262253808	0.017971853065925338
HER2ST::E	linear32	0.0	0.0011401712583767685	0.01254341906863968	0.023214817960988045	0.014277753115133508	234.58333333333331	0.5433572743376172	0.0017367782808529833
HER2ST::E	linear32	0.5	0.0025662014838585294	0.0089288525006313	0.019469379240988724	0.014023212553324695	241.54166666666669	0.5138884577643446	0.003722187985355655
HER2ST::E	linear32	1.0	0.0022346119248167545	0.012975678694577511	0.025279314378402334	0.015839610160840564	228.5	0.5384469464599461	0.009179453472218787
HER2ST::E	mlp128_64_32	0.0	0.0004816955684007707	0.009723757974745062	0.01848783016321474	0.012806853684955415	237.29166666666669	0.5216217685288296	-0.06979760869095722
HER2ST::E	mlp128_64_32	0.5	0.001239311514079316	0.006031299949492573	0.011696618236491044	0.010993516659095582	253.29166666666666	0.5071334025237477	-0.07350609653318922
