independent_unit_id	pair_id	direction	model	pair_purity	top1	top5	top10	mean_reciprocal_rank	median_true_rank	region_label_accuracy	true_pair_cosine
HER2ST::D	HER2ST_D1_CONTROLLED	forward	mlp128_64_32	1.0	0.002976190476190476	0.0180001087192868	0.03587845183735595	0.023699873143086442	96.0	0.5935502283105023	-0.02386662014760077
HER2ST::D	HER2ST_D1_CONTROLLED	forward	mlp64_32	0.0	0.004505327245053273	0.027010763209393347	0.04647912589693411	0.029847182094444372	101.16666666666667	0.4610235920852359	-0.0286612807540223
HER2ST::D	HER2ST_D1_CONTROLLED	forward	mlp64_32	0.5	0.002976190476190476	0.009764622744074799	0.04115894759730376	0.02394745030709583	102.75	0.5556110023918243	-0.029205872987707455
HER2ST::D	HER2ST_D1_CONTROLLED	forward	mlp64_32	1.0	0.004505327245053273	0.027703848662752772	0.05534681452489671	0.032160811537708826	93.66666666666667	0.5918998695368558	0.027253019933899243
HER2ST::D	HER2ST_D1_CONTROLLED__reverse	reverse	linear32	0.0	0.002777777777777778	0.017363261093911248	0.03659270725834193	0.022009672038545345	124.5	0.5353371173030615	-0.011373186425771564
HER2ST::D	HER2ST_D1_CONTROLLED__reverse	reverse	linear32	0.5	0.0024509803921568627	0.020072239422084623	0.05267457860337118	0.025312841836799646	112.91666666666667	0.5058479532163743	0.028581664606463164
HER2ST::D	HER2ST_D1_CONTROLLED__reverse	reverse	linear32	1.0	0.002777777777777778	0.037435500515995875	0.06343309253525971	0.03260507873679866	108.75	0.5819831441348469	0.05607838183641434
HER2ST::D	HER2ST_D1_CONTROLLED__reverse	reverse	mlp128_64_32	0.0	0.0	0.01762125902992776	0.03568111455108359	0.018387706810635295	122.33333333333333	0.4958634330925353	-0.1028010615458091
HER2ST::D	HER2ST_D1_CONTROLLED__reverse	reverse	mlp128_64_32	0.5	0.0	0.009356725146198829	0.0315531475748194	0.017423079434311258	126.25	0.5076625386996904	-0.09637888831396897
HER2ST::D	HER2ST_D1_CONTROLLED__reverse	reverse	mlp128_64_32	1.0	0.0	0.0	0.011111111111111112	0.01570478715989369	117.66666666666667	0.6029927760577916	-0.02875317291667064
HER2ST::D	HER2ST_D1_CONTROLLED__reverse	reverse	mlp64_32	0.0	0.0	0.014327485380116958	0.03304093567251462	0.019709488885430677	134.0	0.4412280701754386	-0.03792970526653031
HER2ST::D	HER2ST_D1_CONTROLLED__reverse	reverse	mlp64_32	0.5	0.0021929824561403508	0.014327485380116958	0.024527003783969728	0.02120337670074574	118.83333333333333	0.5867475060199518	-0.04002133818964163
HER2ST::D	HER2ST_D1_CONTROLLED__reverse	reverse	mlp64_32	1.0	0.0021929824561403508	0.017363261093911248	0.043687650498796006	0.02451975864390747	109.25	0.5681286549707601	0.008690686197951436
HER2ST::E	HER2ST_E1_CONTROLLED	forward	linear32	0.0	0.0	0.012376707449427942	0.026680197172458966	0.014976969823904429	200.41666666666666	0.5174831585842213	0.0006683450580264131
HER2ST::E	HER2ST_E1_CONTROLLED	forward	linear32	0.5	0.0026261373035566583	0.011988601863671788	0.02269515244529229	0.01531240539371805	204.66666666666666	0.5119281209808899	0.012723758700303733
HER2ST::E	HER2ST_E1_CONTROLLED	forward	linear32	1.0	0.0009633911368015414	0.014296079021978705	0.027248072022452035	0.016087885816326183	200.33333333333334	0.5467290121774552	0.013378344185184687
HER2ST::E	HER2ST_E1_CONTROLLED	forward	mlp128_64_32	0.0	0.0009633911368015414	0.015057468791386376	0.028195566010221985	0.01697441959659344	194.58333333333334	0.5359811051028652	-0.044571900740265846
HER2ST::E	HER2ST_E1_CONTROLLED	forward	mlp128_64_32	0.5	0.0	0.0049956492013176704	0.008204482756972034	0.010101877436115856	223.75	0.5180419493490536	-0.06880708194027345
HER2ST::E	HER2ST_E1_CONTROLLED	forward	mlp128_64_32	1.0	0.0	0.0009633911368015414	0.0107685853210746	0.00936242532762036	218.08333333333334	0.5206521895035786	-0.033024058754866324
HER2ST::E	HER2ST_E1_CONTROLLED	forward	mlp64_32	0.0	0.002245442418852824	0.010007195551666929	0.025064664343053305	0.015600880969649539	217.58333333333334	0.5468918085457336	-0.03868972215180596
HER2ST::E	HER2ST_E1_CONTROLLED	forward	mlp64_32	0.5	0.002245442418852824	0.008461108162767681	0.012369296748375622	0.013188613241184815	214.0	0.49878368880792895	-0.04947722020248572
HER2ST::E	HER2ST_E1_CONTROLLED	forward	mlp64_32	1.0	0.001282051282051282	0.008399073423313587	0.016541521440831528	0.013082949927924454	229.16666666666666	0.5274357300974866	-0.03193812592265507
HER2ST::E	HER2ST_E1_CONTROLLED__reverse	reverse	linear32	0.0	0.002280342516753537	0.012710130687851422	0.019749438749517127	0.013578536406362586	268.75	0.5692313900910131	0.0028052115036795535
HER2ST::E	HER2ST_E1_CONTROLLED__reverse	reverse	linear32	0.5	0.002506265664160401	0.005869103137590812	0.01624360603668516	0.012734019712931338	278.4166666666667	0.5158487945477991	-0.005279382729592423
HER2ST::E	HER2ST_E1_CONTROLLED__reverse	reverse	linear32	1.0	0.003505832712831968	0.011655278367176317	0.023310556734352634	0.015591334505354945	256.6666666666667	0.530164880742437	0.004980562759252886
HER2ST::E	HER2ST_E1_CONTROLLED__reverse	reverse	mlp128_64_32	0.0	0.0	0.004390047158103747	0.008780094316207495	0.008639287773317393	280.0	0.5072624319547939	-0.0950233166416486
HER2ST::E	HER2ST_E1_CONTROLLED__reverse	reverse	mlp128_64_32	0.5	0.002478623028158632	0.007066950697667475	0.015188753716010054	0.01188515588207531	282.8333333333333	0.49622485569844194	-0.078205111126105
