dataset	pair_id	pair_type	independent_unit_id	cohort_role	direction	pair_file_id	method	epsilon	tau	variant	stage	converged	iterations	seconds	arm	intervention	t
spatialDLPFC	SDLPFC_Br6522_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br6522	primary_expansion	reverse	SDLPFC_Br6522_ANT_MID__reverse	uot	0.25	2.0	label_free_rigid	coordinate_response	True	85	3.549718299997039	R	I_SPATIAL	1.0
spatialDLPFC	SDLPFC_Br6522_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br6522	primary_expansion	reverse	SDLPFC_Br6522_ANT_MID__reverse	uot	0.25	2.0	label_free_rigid	coordinate_response	True	85	3.5050043999945046	N	I_SPATIAL	0.00125
spatialDLPFC	SDLPFC_Br6522_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br6522	primary_expansion	reverse	SDLPFC_Br6522_ANT_MID__reverse	uot	0.25	2.0	label_free_rigid	coordinate_response	True	85	3.4827758000028552	N	I_SPATIAL	0.000625
spatialDLPFC	SDLPFC_Br6522_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br6522	primary_expansion	reverse	SDLPFC_Br6522_ANT_MID__reverse	uot	0.25	2.0	label_free_rigid	coordinate_response	True	85	3.4850267000001622	N	I_SPATIAL	0.01
spatialDLPFC	SDLPFC_Br6522_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br6522	primary_expansion	reverse	SDLPFC_Br6522_ANT_MID__reverse	uot	0.25	2.0	label_free_rigid	coordinate_response	True	85	3.4576043999986723	N	I_SPATIAL	1.0
spatialDLPFC	SDLPFC_Br6522_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br6522	primary_expansion	reverse	SDLPFC_Br6522_ANT_MID__reverse	row_softmax	0.25		baseline	base	True	1	0.03659909999987576			
spatialDLPFC	SDLPFC_Br6522_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br6522	primary_expansion	reverse	SDLPFC_Br6522_ANT_MID__reverse	row_softmax	0.25		label_free_rigid	base	True	1	0.03758580000430811			
spatialDLPFC	SDLPFC_Br6522_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br6522	primary_expansion	reverse	SDLPFC_Br6522_ANT_MID__reverse	row_softmax	0.25		label_free_rigid	coordinate_response	True	1	0.04189089999999851	R	I_SPATIAL	0.00125
spatialDLPFC	SDLPFC_Br6522_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br6522	primary_expansion	reverse	SDLPFC_Br6522_ANT_MID__reverse	row_softmax	0.25		label_free_rigid	coordinate_response	True	1	0.042170999993686564	R	I_SPATIAL	0.000625
spatialDLPFC	SDLPFC_Br6522_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br6522	primary_expansion	reverse	SDLPFC_Br6522_ANT_MID__reverse	row_softmax	0.25		label_free_rigid	coordinate_response	True	1	0.04411280000931583	R	I_SPATIAL	0.01
spatialDLPFC	SDLPFC_Br6522_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br6522	primary_expansion	reverse	SDLPFC_Br6522_ANT_MID__reverse	row_softmax	0.25		label_free_rigid	coordinate_response	True	1	0.04235280001012143	R	I_SPATIAL	1.0
spatialDLPFC	SDLPFC_Br6522_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br6522	primary_expansion	reverse	SDLPFC_Br6522_ANT_MID__reverse	row_softmax	0.25		label_free_rigid	coordinate_response	True	1	0.041020300006493926	N	I_SPATIAL	0.00125
spatialDLPFC	SDLPFC_Br6522_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br6522	primary_expansion	reverse	SDLPFC_Br6522_ANT_MID__reverse	row_softmax	0.25		label_free_rigid	coordinate_response	True	1	0.036138700001174584	N	I_SPATIAL	0.000625
spatialDLPFC	SDLPFC_Br6522_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br6522	primary_expansion	reverse	SDLPFC_Br6522_ANT_MID__reverse	row_softmax	0.25		label_free_rigid	coordinate_response	True	1	0.037636499997461215	N	I_SPATIAL	0.01
spatialDLPFC	SDLPFC_Br6522_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br6522	primary_expansion	reverse	SDLPFC_Br6522_ANT_MID__reverse	row_softmax	0.25		label_free_rigid	coordinate_response	True	1	0.036320200000773184	N	I_SPATIAL	1.0
spatialDLPFC	SDLPFC_Br8325_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br8325	primary_expansion	forward	SDLPFC_Br8325_ANT_MID	balanced_ot	0.25		baseline	base	True	200	8.210123900003964			
spatialDLPFC	SDLPFC_Br6522_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br6522	primary_expansion	reverse	SDLPFC_Br6522_ANT_MID__reverse	balanced_ot	0.25		label_free_rigid	base	True	200	8.27328920000582			
spatialDLPFC	SDLPFC_Br6522_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br6522	primary_expansion	reverse	SDLPFC_Br6522_ANT_MID__reverse	balanced_ot	0.25		label_free_rigid	coordinate_response	True	200	8.328265599993756	R	I_SPATIAL	0.00125
spatialDLPFC	SDLPFC_Br6522_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br6522	primary_expansion	reverse	SDLPFC_Br6522_ANT_MID__reverse	balanced_ot	0.25		label_free_rigid	coordinate_response	True	200	8.292020199995022	R	I_SPATIAL	0.000625
spatialDLPFC	SDLPFC_Br6522_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br6522	primary_expansion	reverse	SDLPFC_Br6522_ANT_MID__reverse	balanced_ot	0.25		label_free_rigid	coordinate_response	True	200	8.372103100002278	R	I_SPATIAL	0.01
spatialDLPFC	SDLPFC_Br6522_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br6522	primary_expansion	reverse	SDLPFC_Br6522_ANT_MID__reverse	balanced_ot	0.25		label_free_rigid	coordinate_response	True	200	8.227540499996394	R	I_SPATIAL	1.0
spatialDLPFC	SDLPFC_Br6522_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br6522	primary_expansion	reverse	SDLPFC_Br6522_ANT_MID__reverse	balanced_ot	0.25		label_free_rigid	coordinate_response	True	200	8.1468246000004	N	I_SPATIAL	0.00125
spatialDLPFC	SDLPFC_Br6522_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br6522	primary_expansion	reverse	SDLPFC_Br6522_ANT_MID__reverse	balanced_ot	0.25		label_free_rigid	coordinate_response	True	200	8.1498614000011	N	I_SPATIAL	0.000625
spatialDLPFC	SDLPFC_Br6522_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br6522	primary_expansion	reverse	SDLPFC_Br6522_ANT_MID__reverse	balanced_ot	0.25		label_free_rigid	coordinate_response	True	200	8.239904300004127	N	I_SPATIAL	0.01
spatialDLPFC	SDLPFC_Br6522_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br6522	primary_expansion	reverse	SDLPFC_Br6522_ANT_MID__reverse	balanced_ot	0.25		label_free_rigid	coordinate_response	True	200	8.15319240000099	N	I_SPATIAL	1.0
spatialDLPFC	SDLPFC_Br8325_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br8325	primary_expansion	forward	SDLPFC_Br8325_ANT_MID	uot	0.25	2.0	baseline	base	True	85	3.508203399993363			
spatialDLPFC	SDLPFC_Br8325_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br8325	primary_expansion	forward	SDLPFC_Br8325_ANT_MID	uot	0.25	2.0	label_free_rigid	base	True	85	3.558225200002198			
spatialDLPFC	SDLPFC_Br8325_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br8325	primary_expansion	forward	SDLPFC_Br8325_ANT_MID	uot	0.25	2.0	label_free_rigid	coordinate_response	True	85	3.5250572999939322	R	I_SPATIAL	0.00125
