independent_unit_id	cohort_role	method	epsilon	tau	variant	arm	intervention	score	spatial_cost_pearson_vs_baseline	spatial_cost_scale_ratio	local_fidelity_n_estimable	local_fidelity_spearman	local_fidelity_top_overlap	local_fidelity_raw_mae	local_fidelity_rmae	local_fidelity_intercept	local_fidelity_slope	local_fidelity_r2	endpoint_transfer_n_estimable	endpoint_transfer_spearman	endpoint_transfer_top_overlap	endpoint_transfer_raw_mae	endpoint_transfer_rmae	endpoint_transfer_intercept	endpoint_transfer_slope	endpoint_transfer_r2	heldout_aurc	heldout_oracle_aurc	heldout_random_aurc	heldout_normalized_excess_aurc	heldout_retained_loss_at_80pct_coverage	heldout_retained_loss_at_90pct_coverage
HER2ST::D	manual_truth_controlled	row_softmax	0.25		baseline	N	I_SPATIAL	endpoint_response	1.0	1.0	229.5	0.999918321585255	0.9807692307692308	0.0010748113093330997	0.0038935829853786095	0.00033801720688442303	0.9948990954264578	0.9999574523804861	229.5	0.6078973355254865	0.36446886446886445	0.18107322126683983	0.39594490462976184	0.04226960689418907	1.5023714787002809	0.4009729585347483	0.14280207152854574	0.11230310836659695	0.1442184533682073	0.9558541473101201	0.14151852608002108	0.14238283983015632
HER2ST::D	manual_truth_controlled	row_softmax	0.25		baseline	N	I_SPATIAL	finite_response_h001	1.0	1.0	229.5	0.999918321585255	0.9807692307692308	0.0010748113093330997	0.0038935829853786095	0.00033801720688442303	0.9948990954264578	0.9999574523804861	229.5	0.6078973355254865	0.36446886446886445	0.18107322126683983	0.39594490462976184	0.04226960689418907	1.5023714787002809	0.4009729585347483	0.13939382301384667	0.11230310836659695	0.1442184533682073	0.8519051452502845	0.13800961755645486	0.13908680295502912
HER2ST::D	manual_truth_controlled	row_softmax	0.25		baseline	N	I_SPATIAL	local_reference	1.0	1.0	229.5	0.999918321585255	0.9807692307692308	0.0010748113093330997	0.0038935829853786095	0.00033801720688442303	0.9948990954264578	0.9999574523804861	229.5	0.6078973355254865	0.36446886446886445	0.18107322126683983	0.39594490462976184	0.04226960689418907	1.5023714787002809	0.4009729585347483	0.1393613513412544	0.11230310836659695	0.1442184533682073	0.8508845411101289	0.1377674747550995	0.13908680295502912
HER2ST::D	manual_truth_controlled	row_softmax	0.25		baseline	R	I_SPATIAL	endpoint_response	1.0	1.0	229.5	0.9999235232356254	0.9761904761904762	0.0011013399284973747	0.003917861934912814	0.0006113377615457063	0.9939262750124409	0.9999602314313789	229.5	0.6832461790021201	0.36904761904761907	0.17962895659021763	0.3897429273686379	-0.023485854879658444	1.7222981902299561	0.48235945913584827	0.1430085149677851	0.11230310836659695	0.1442184533682073	0.9625893273267092	0.1412099744154915	0.14154746183942715
HER2ST::D	manual_truth_controlled	row_softmax	0.25		baseline	R	I_SPATIAL	finite_response_h001	1.0	1.0	229.5	0.9999235232356254	0.9761904761904762	0.0011013399284973747	0.003917861934912814	0.0006113377615457063	0.9939262750124409	0.9999602314313789	229.5	0.6832461790021201	0.36904761904761907	0.17962895659021763	0.3897429273686379	-0.023485854879658444	1.7222981902299561	0.48235945913584827	0.140539319082019	0.11230310836659695	0.1442184533682073	0.8882202570263871	0.13875097738775874	0.13906129332568729
HER2ST::D	manual_truth_controlled	row_softmax	0.25		baseline	R	I_SPATIAL	local_reference	1.0	1.0	229.5	0.9999235232356254	0.9761904761904762	0.0011013399284973747	0.003917861934912814	0.0006113377615457063	0.9939262750124409	0.9999602314313789	229.5	0.6832461790021201	0.36904761904761907	0.17962895659021763	0.3897429273686379	-0.023485854879658444	1.7222981902299561	0.48235945913584827	0.14054919360315177	0.11230310836659695	0.1442184533682073	0.8885272248646754	0.1388416999997265	0.13906129332568729
HER2ST::D	manual_truth_controlled	row_softmax	0.25		her2_oracle	N	I_SPATIAL	endpoint_response	0.9787416002522523	0.9955181811294932	229.5	0.9999005227517324	1.0	0.0010907802368170438	0.003952827439505144	0.00035194062293811783	0.9947934062077506	0.9999636748826551	229.5	0.6200489722065459	0.47985347985347987	0.18423466935109395	0.4003107394956887	0.036172874291663104	1.5354234200941312	0.42664915668469783	0.1426085385990482	0.1117945981790494	0.14345602335539462	0.9737195099210552	0.14078464359086468	0.14253783622812233
HER2ST::D	manual_truth_controlled	row_softmax	0.25		her2_oracle	N	I_SPATIAL	finite_response_h001	0.9787416002522523	0.9955181811294932	229.5	0.9999005227517324	1.0	0.0010907802368170438	0.003952827439505144	0.00035194062293811783	0.9947934062077506	0.9999636748826551	229.5	0.6200489722065459	0.47985347985347987	0.18423466935109395	0.4003107394956887	0.036172874291663104	1.5354234200941312	0.42664915668469783	0.13859826692196875	0.1117945981790494	0.14345602335539462	0.8486558394254663	0.13935444420004883	0.13936032737385678
HER2ST::D	manual_truth_controlled	row_softmax	0.25		her2_oracle	N	I_SPATIAL	local_reference	0.9787416002522523	0.9955181811294932	229.5	0.9999005227517324	1.0	0.0010907802368170438	0.003952827439505144	0.00035194062293811783	0.9947934062077506	0.9999636748826551	229.5	0.6200489722065459	0.47985347985347987	0.18423466935109395	0.4003107394956887	0.036172874291663104	1.5354234200941312	0.42664915668469783	0.13857421886959687	0.1117945981790494	0.14345602335539462	0.8478980054194223	0.13935444420004883	0.13936032737385678
HER2ST::D	manual_truth_controlled	row_softmax	0.25		her2_oracle	R	I_SPATIAL	endpoint_response	0.9787416002522523	0.9955181811294932	229.5	0.9999356965200537	1.0	0.0011043747483825595	0.003918042857919158	0.0005971098164419878	0.993991083011785	0.9999708389629185	229.5	0.6921797432620294	0.5228937728937729	0.18188894359370233	0.39219954390338463	-0.01331210719616753	1.690753820309382	0.5098038332697383	0.14268815295785486	0.1117945981790494	0.14345602335539462	0.9763720033408294	0.14082912085061886	0.1422948446175408
