dataset	pair_id	pair_type	independent_unit_id	cohort_role	direction	pair_file_id	method	epsilon	tau	variant	arm	intervention	score	spatial_cost_pearson_vs_baseline	spatial_cost_scale_ratio	local_fidelity_n_estimable	local_fidelity_spearman	local_fidelity_top_overlap	local_fidelity_raw_mae	local_fidelity_rmae	local_fidelity_intercept	local_fidelity_slope	local_fidelity_r2	endpoint_transfer_n_estimable	endpoint_transfer_spearman	endpoint_transfer_top_overlap	endpoint_transfer_raw_mae	endpoint_transfer_rmae	endpoint_transfer_intercept	endpoint_transfer_slope	endpoint_transfer_r2	heldout_aurc	heldout_oracle_aurc	heldout_random_aurc	heldout_normalized_excess_aurc	heldout_retained_loss_at_80pct_coverage	heldout_retained_loss_at_90pct_coverage
HER2ST_manual_controlled	HER2ST_D1_CONTROLLED	within_section_controlled_combined	HER2ST::D	manual_truth_controlled	reverse	HER2ST_D1_CONTROLLED__reverse	uot	0.25	2.0	her2_oracle	N	I_SPATIAL	endpoint_response	0.9810824119773311	0.9556032773962069	204	0.9999335646790255	1.0	0.000957369794491954	0.003367884159387276	0.0006542825352820726	0.9943494777624514	0.9999406741431974	204	0.26709402011435357	0.23809523809523808	0.16454014368041991	0.3683501521050286	0.15051354200681025	1.0419219353402578	0.11301348914309428	0.14740607687695104	0.11659590458533999	0.1480997566796095	0.9779811116246115	0.14768173387823394	0.14776348539098355
HER2ST_manual_controlled	HER2ST_D1_CONTROLLED	within_section_controlled_combined	HER2ST::D	manual_truth_controlled	reverse	HER2ST_D1_CONTROLLED__reverse	uot	0.25	2.0	label_free_rigid	R	I_SPATIAL	finite_response_h001	-0.07577971494710306	0.989682005349635	204	0.9998968132248695	1.0	0.001162549780247369	0.004248011810842758	0.00044218129410719616	0.9941610408213137	0.9999067732760107	204	0.2121096041444332	0.14285714285714285	0.19902934209636833	0.42148221692331905	0.2574613737744258	0.7847122393531375	0.04759772941663831	0.14865492035851832	0.12586516487890653	0.16001336027080434	0.6673780332479593	0.15018106420206073	0.1536977182394777
HER2ST_manual_controlled	HER2ST_D1_CONTROLLED	within_section_controlled_combined	HER2ST::D	manual_truth_controlled	reverse	HER2ST_D1_CONTROLLED__reverse	uot	0.25	2.0	label_free_rigid	R	I_SPATIAL	local_reference	-0.07577971494710306	0.989682005349635	204	0.9998968132248695	1.0	0.001162549780247369	0.004248011810842758	0.00044218129410719616	0.9941610408213137	0.9999067732760107	204	0.2121096041444332	0.14285714285714285	0.19902934209636833	0.42148221692331905	0.2574613737744258	0.7847122393531375	0.04759772941663831	0.14858381759171038	0.12586516487890653	0.16001336027080434	0.6652958509835106	0.1501810642020607	0.15369771823947767
HER2ST_manual_controlled	HER2ST_D1_CONTROLLED	within_section_controlled_combined	HER2ST::D	manual_truth_controlled	reverse	HER2ST_D1_CONTROLLED__reverse	uot	0.25	2.0	label_free_rigid	R	I_SPATIAL	endpoint_response	-0.07577971494710306	0.989682005349635	204	0.9998968132248695	1.0	0.001162549780247369	0.004248011810842758	0.00044218129410719616	0.9941610408213137	0.9999067732760107	204	0.2121096041444332	0.14285714285714285	0.19902934209636833	0.42148221692331905	0.2574613737744258	0.7847122393531375	0.04759772941663831	0.1572645788843841	0.12586516487890653	0.16001336027080434	0.9195043440839504	0.15804133085685543	0.15905531265423914
HER2ST_manual_controlled	HER2ST_D1_CONTROLLED	within_section_controlled_combined	HER2ST::D	manual_truth_controlled	reverse	HER2ST_D1_CONTROLLED__reverse	uot	0.25	2.0	label_free_rigid	N	I_SPATIAL	finite_response_h001	-0.07577971494710306	0.989682005349635	204	0.9998840915676617	1.0	0.0009688018630158213	0.0033256109329303334	0.0004239268331548931	0.9952350198064827	0.9999106693964791	204	0.22765829628739637	0.23809523809523808	0.1664617589807559	0.36555632135893984	0.20984986158363098	0.842782948682219	0.06066961443076768	0.14861160390777223	0.12586516487890653	0.16001336027080434	0.666109548918144	0.14967534922173606	0.15398923363822017
HER2ST_manual_controlled	HER2ST_D1_CONTROLLED	within_section_controlled_combined	HER2ST::D	manual_truth_controlled	reverse	HER2ST_D1_CONTROLLED__reverse	uot	0.25	2.0	label_free_rigid	N	I_SPATIAL	local_reference	-0.07577971494710306	0.989682005349635	204	0.9998840915676617	1.0	0.0009688018630158213	0.0033256109329303334	0.0004239268331548931	0.9952350198064827	0.9999106693964791	204	0.22765829628739637	0.23809523809523808	0.1664617589807559	0.36555632135893984	0.20984986158363098	0.842782948682219	0.06066961443076768	0.14840825358478144	0.12586516487890653	0.16001336027080434	0.6601546127741673	0.14967534922173606	0.15398923363822017
HER2ST_manual_controlled	HER2ST_D1_CONTROLLED	within_section_controlled_combined	HER2ST::D	manual_truth_controlled	reverse	HER2ST_D1_CONTROLLED__reverse	uot	0.25	2.0	label_free_rigid	N	I_SPATIAL	endpoint_response	-0.07577971494710306	0.989682005349635	204	0.9998840915676617	1.0	0.0009688018630158213	0.0033256109329303334	0.0004239268331548931	0.9952350198064827	0.9999106693964791	204	0.22765829628739637	0.23809523809523808	0.1664617589807559	0.36555632135893984	0.20984986158363098	0.842782948682219	0.06066961443076768	0.15785754880299513	0.12586516487890653	0.16001336027080434	0.9368689489131623	0.15818170920430177	0.1590685271754053
HER2ST_manual_controlled	HER2ST_D1_CONTROLLED	within_section_controlled_combined	HER2ST::D	manual_truth_controlled	reverse	HER2ST_D1_CONTROLLED__reverse	row_softmax	0.25		baseline	R	I_SPATIAL	finite_response_h001	1.0	1.0	204	0.9998897456375316	0.9523809523809523	0.0011154220726326553	0.003997292686539619	0.0008058329649681494	0.9931422887913436	0.9999383915940275	204	0.548703451102897	0.23809523809523808	0.18599999581639362	0.3999618190527084	-0.01017039670393406	1.7030078519840794	0.312513891398981	0.14000551862662908	0.1170683163463282	0.14959370740547173	0.7052091161207661	0.13903496951016528	0.1416913716048315
HER2ST_manual_controlled	HER2ST_D1_CONTROLLED	within_section_controlled_combined	HER2ST::D	manual_truth_controlled	reverse	HER2ST_D1_CONTROLLED__reverse	row_softmax	0.25		baseline	R	I_SPATIAL	local_reference	1.0	1.0	204	0.9998897456375316	0.9523809523809523	0.0011154220726326553	0.003997292686539619	0.0008058329649681494	0.9931422887913436	0.9999383915940275	204	0.548703451102897	0.23809523809523808	0.18599999581639362	0.3999618190527084	-0.01017039670393406	1.7030078519840794	0.312513891398981	0.14001963684297902	0.1170683163463282	0.14959370740547173	0.7056431836566267	0.13903496951016528	0.1416913716048315
HER2ST_manual_controlled	HER2ST_D1_CONTROLLED	within_section_controlled_combined	HER2ST::D	manual_truth_controlled	reverse	HER2ST_D1_CONTROLLED__reverse	row_softmax	0.25		baseline	R	I_SPATIAL	endpoint_response	1.0	1.0	204	0.9998897456375316	0.9523809523809523	0.0011154220726326553	0.003997292686539619	0.0008058329649681494	0.9931422887913436	0.9999383915940275	204	0.548703451102897	0.23809523809523808	0.18599999581639362	0.3999618190527084	-0.01017039670393406	1.7030078519840794	0.312513891398981	0.14752577607948467	0.1170683163463282	0.14959370740547173	0.9364210157465354	0.14676717550602228	0.14858614123751562
