dataset,pair_type,biological_pair_id,direction,pair_id,independent_unit_id,method,epsilon,tau,grid_role,arm,stage,intervention,solver_iterations,converged,runtime_seconds,peak_memory_mb,memory_measurement,solver_last_error,row_mass_l1,col_mass_l1
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br2720_ANT_MID,forward,SDLPFC_Br2720_ANT_MID,spatialDLPFC::Br2720,uot,0.1,2.0,epsilon_scan,R,full_endpoint,I_SPATIAL,185,True,16.602343500000188,367.12890625,process_rss_after_solve,7.477857444371239e-09,0.26680282311258086,0.26680282311258086
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br2720_ANT_MID,forward,SDLPFC_Br2720_ANT_MID,spatialDLPFC::Br2720,uot,0.1,2.0,epsilon_scan,R,matched_fd,I_SPATIAL,180,True,16.216489300000376,367.12890625,process_rss_after_solve,9.476233131522349e-09,0.20013942844450147,0.20013942844450144
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br2720_ANT_MID,forward,SDLPFC_Br2720_ANT_MID,spatialDLPFC::Br2720,uot,0.1,2.0,epsilon_scan,N,full_endpoint,I_EXPR,185,True,16.748638799999753,384.296875,process_rss_after_solve,9.015779234289312e-09,0.3319188092209039,0.33191880922090355
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br2720_ANT_MID,forward,SDLPFC_Br2720_ANT_MID,spatialDLPFC::Br2720,uot,0.1,2.0,epsilon_scan,N,matched_fd,I_EXPR,180,True,15.67562020000014,384.296875,process_rss_after_solve,9.512028498193104e-09,0.20103157382351988,0.20103157382351988
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br2720_ANT_MID,forward,SDLPFC_Br2720_ANT_MID,spatialDLPFC::Br2720,uot,0.1,2.0,epsilon_scan,N,full_endpoint,I_SPATIAL,180,True,14.89577539999982,401.44921875,process_rss_after_solve,6.613471215111133e-09,0.12682557446566872,0.12569256910489093
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br2720_ANT_MID,forward,SDLPFC_Br2720_ANT_MID,spatialDLPFC::Br2720,uot,0.1,2.0,epsilon_scan,N,matched_fd,I_SPATIAL,180,True,16.287839800000256,401.44921875,process_rss_after_solve,9.418103630309815e-09,0.19869990478790353,0.19869990478790348
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br2720_ANT_MID,forward,SDLPFC_Br2720_ANT_MID,spatialDLPFC::Br2720,uot,0.5,2.0,epsilon_scan,shared,base,NONE,45,True,2.412553399999979,283.81640625,process_rss_after_solve,7.566422155491637e-09,3.1101536317893896,3.11015363178939
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br2720_ANT_MID,forward,SDLPFC_Br2720_ANT_MID,spatialDLPFC::Br2720,uot,0.5,2.0,epsilon_scan,R,full_endpoint,I_EXPR,45,True,2.3391232000003583,352.48828125,process_rss_after_solve,8.151683772439355e-09,3.589053820706977,3.589053820706977
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br2720_ANT_MID,forward,SDLPFC_Br2720_ANT_MID,spatialDLPFC::Br2720,uot,0.5,2.0,epsilon_scan,R,matched_fd,I_EXPR,45,True,2.4887274000002435,352.48828125,process_rss_after_solve,7.572214855144921e-09,3.114670094975681,3.114670094975681
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br2720_ANT_MID,forward,SDLPFC_Br2720_ANT_MID,spatialDLPFC::Br2720,uot,0.5,2.0,epsilon_scan,R,full_endpoint,I_SPATIAL,45,True,2.508479399999942,369.65625,process_rss_after_solve,8.087740255291465e-09,3.5494280024171574,3.549428002417157
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br2720_ANT_MID,forward,SDLPFC_Br2720_ANT_MID,spatialDLPFC::Br2720,uot,0.5,2.0,epsilon_scan,R,matched_fd,I_SPATIAL,45,True,2.3541103000002295,369.65625,process_rss_after_solve,7.570071680618184e-09,3.1130778319871144,3.113077831987114
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br2720_ANT_MID,forward,SDLPFC_Br2720_ANT_MID,spatialDLPFC::Br2720,uot,0.5,2.0,epsilon_scan,N,full_endpoint,I_EXPR,45,True,2.472396000000117,386.82421875,process_rss_after_solve,7.866574947001936e-09,3.3446209076834394,3.3446209076834403
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br2720_ANT_MID,forward,SDLPFC_Br2720_ANT_MID,spatialDLPFC::Br2720,uot,0.5,2.0,epsilon_scan,N,matched_fd,I_EXPR,45,True,2.5200564000001577,386.82421875,process_rss_after_solve,7.568587534478866e-09,3.1117627028044286,3.1117627028044286
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br2720_ANT_MID,forward,SDLPFC_Br2720_ANT_MID,spatialDLPFC::Br2720,uot,0.5,2.0,epsilon_scan,N,full_endpoint,I_SPATIAL,45,True,3.236708500000077,403.9921875,process_rss_after_solve,7.516265831952751e-09,3.078166726283576,3.078166726283576
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br2720_ANT_MID,forward,SDLPFC_Br2720_ANT_MID,spatialDLPFC::Br2720,uot,0.5,2.0,epsilon_scan,N,matched_fd,I_SPATIAL,45,True,3.0146881999999096,403.9921875,process_rss_after_solve,7.5642789809649e-09,3.1085635171246375,3.108563517124638
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br2720_ANT_MID,forward,SDLPFC_Br2720_ANT_MID,spatialDLPFC::Br2720,uot,0.25,2.0,baseline,shared,base,NONE,85,True,5.006044000000202,284.8203125,process_rss_after_solve,3.2005438299620437e-09,0.935912630242953,0.9359126302429529
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br2720_ANT_MID,forward,SDLPFC_Br2720_ANT_MID,spatialDLPFC::Br2720,uot,0.25,2.0,baseline,R,full_endpoint,I_EXPR,85,True,3.775724000000082,353.4921875,process_rss_after_solve,3.75678688158132e-09,1.175643664060415,1.1756436640604149
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br2720_ANT_MID,forward,SDLPFC_Br2720_ANT_MID,spatialDLPFC::Br2720,uot,0.25,2.0,baseline,R,matched_fd,I_EXPR,85,True,4.501305799999955,353.4921875,process_rss_after_solve,3.2060141208489767e-09,0.9381633200275571,0.9381633200275571
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br2720_ANT_MID,forward,SDLPFC_Br2720_ANT_MID,spatialDLPFC::Br2720,uot,0.25,2.0,baseline,R,full_endpoint,I_SPATIAL,85,True,4.586029600000074,370.66015625,process_rss_after_solve,3.5898501948850026e-09,1.104162522125707,1.104162522125707
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br2720_ANT_MID,forward,SDLPFC_Br2720_ANT_MID,spatialDLPFC::Br2720,uot,0.25,2.0,baseline,R,matched_fd,I_SPATIAL,85,True,4.694350000000213,370.66015625,process_rss_after_solve,3.202742959729221e-09,0.9368083523440249,0.9368083523440249
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br2720_ANT_MID,forward,SDLPFC_Br2720_ANT_MID,spatialDLPFC::Br2720,uot,0.25,2.0,baseline,N,full_endpoint,I_EXPR,85,True,4.797683700000107,387.828125,process_rss_after_solve,3.5970204592672417e-09,1.1031467996578548,1.1031467996578546
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br2720_ANT_MID,forward,SDLPFC_Br2720_ANT_MID,spatialDLPFC::Br2720,uot,0.25,2.0,baseline,N,matched_fd,I_EXPR,85,True,5.667898900000182,387.828125,process_rss_after_solve,3.2038318664717735e-09,0.9372740733774367,0.9372740733774367
