dataset,pair_type,biological_pair_id,direction,pair_id,independent_unit_id,method,epsilon,tau,grid_role,parameter_index,pair_file_id,arm,intervention,score,spearman,top_decile_overlap,raw_mae,reference_mad,nmae,reference_response_median,reference_response_iqr,estimable,spearman_gate_pass,overlap_gate_pass,nmae_gate_pass,gate_pass,claim_status
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br2720_ANT_MID,forward,SDLPFC_Br2720_ANT_MID,spatialDLPFC::Br2720,balanced_ot,0.5,,epsilon_scan,2,SDLPFC_Br2720_ANT_MID,N,I_EXPR,registered_finite_difference_fixed_score,0.2844611362049494,0.2866666666666667,0.16454717292104445,0.017331955155686585,9.493860989310072,0.1844450008281762,0.03488998268916765,True,False,False,False,False,post-review sensitivity analysis; amended sample expansion
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br2720_ANT_MID,forward,SDLPFC_Br2720_ANT_MID,spatialDLPFC::Br2720,balanced_ot,0.5,,epsilon_scan,2,SDLPFC_Br2720_ANT_MID,N,I_SPATIAL,matched_finite_difference,0.9820687529194458,0.7,0.06557279234151689,0.06847808141693748,0.9575734451768388,0.3129603094896344,0.1402329745478101,True,True,True,False,False,post-review sensitivity analysis; amended sample expansion
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br2720_ANT_MID,forward,SDLPFC_Br2720_ANT_MID,spatialDLPFC::Br2720,balanced_ot,0.5,,epsilon_scan,2,SDLPFC_Br2720_ANT_MID,N,I_SPATIAL,registered_finite_difference_fixed_score,0.9828788866128386,0.7533333333333333,0.06694226136470242,0.06847808141693748,0.9775720928440734,0.3129603094896344,0.1402329745478101,True,True,True,False,False,post-review sensitivity analysis; amended sample expansion
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br2720_ANT_MID,forward,SDLPFC_Br2720_ANT_MID,spatialDLPFC::Br2720,uot,0.1,2.0,epsilon_scan,0,SDLPFC_Br2720_ANT_MID,R,I_EXPR,matched_finite_difference,0.9958237919216855,0.94,0.001401424843146498,0.013551984069006894,0.1034110456454511,0.09317095917976428,0.028264386181592202,True,True,True,True,True,post-review sensitivity analysis; amended sample expansion
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br2720_ANT_MID,forward,SDLPFC_Br2720_ANT_MID,spatialDLPFC::Br2720,uot,0.1,2.0,epsilon_scan,0,SDLPFC_Br2720_ANT_MID,R,I_EXPR,registered_finite_difference_fixed_score,0.9958237919216855,0.94,0.001401424843146498,0.013551984069006894,0.1034110456454511,0.09317095917976428,0.028264386181592202,True,True,True,True,True,post-review sensitivity analysis; amended sample expansion
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br2720_ANT_MID,forward,SDLPFC_Br2720_ANT_MID,spatialDLPFC::Br2720,uot,0.1,2.0,epsilon_scan,0,SDLPFC_Br2720_ANT_MID,R,I_SPATIAL,matched_finite_difference,-0.472873760388338,0.0,0.33877978672498493,0.06591056841565329,5.13999188398028,0.6649360349271283,0.1363272327580577,True,False,False,False,False,post-review sensitivity analysis; amended sample expansion
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br2720_ANT_MID,forward,SDLPFC_Br2720_ANT_MID,spatialDLPFC::Br2720,uot,0.1,2.0,epsilon_scan,0,SDLPFC_Br2720_ANT_MID,R,I_SPATIAL,registered_finite_difference_fixed_score,-0.472873760388338,0.0,0.33877978672498493,0.06591056841565329,5.13999188398028,0.6649360349271283,0.1363272327580577,True,False,False,False,False,post-review sensitivity analysis; amended sample expansion
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br2720_ANT_MID,forward,SDLPFC_Br2720_ANT_MID,spatialDLPFC::Br2720,uot,0.1,2.0,epsilon_scan,0,SDLPFC_Br2720_ANT_MID,N,I_EXPR,matched_finite_difference,0.9147864723495434,0.7133333333333334,0.09278006720808461,0.01858678945179207,4.991720998869932,0.2531716257759675,0.03735318115301969,True,True,True,False,False,post-review sensitivity analysis; amended sample expansion
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br2720_ANT_MID,forward,SDLPFC_Br2720_ANT_MID,spatialDLPFC::Br2720,uot,0.1,2.0,epsilon_scan,0,SDLPFC_Br2720_ANT_MID,N,I_EXPR,registered_finite_difference_fixed_score,0.4548354163712962,0.54,0.15792698028622293,0.01858678945179207,8.496732622695966,0.2531716257759675,0.03735318115301969,True,False,False,False,False,post-review sensitivity analysis; amended sample expansion
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br2720_ANT_MID,forward,SDLPFC_Br2720_ANT_MID,spatialDLPFC::Br2720,uot,0.1,2.0,epsilon_scan,0,SDLPFC_Br2720_ANT_MID,N,I_SPATIAL,matched_finite_difference,-0.19009295915242633,0.013333333333333334,0.3205391073824623,0.06698006696594694,4.785589532859474,0.6771856657702564,0.13762369902072846,True,False,False,False,False,post-review sensitivity analysis; amended sample expansion
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br2720_ANT_MID,forward,SDLPFC_Br2720_ANT_MID,spatialDLPFC::Br2720,uot,0.1,2.0,epsilon_scan,0,SDLPFC_Br2720_ANT_MID,N,I_SPATIAL,registered_finite_difference_fixed_score,-0.4165447931310193,0.0,0.35391443829071084,0.06698006696594694,5.2838770446533445,0.6771856657702564,0.13762369902072846,True,False,False,False,False,post-review sensitivity analysis; amended sample expansion
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br2720_ANT_MID,forward,SDLPFC_Br2720_ANT_MID,spatialDLPFC::Br2720,uot,0.5,2.0,epsilon_scan,2,SDLPFC_Br2720_ANT_MID,R,I_EXPR,matched_finite_difference,0.9998702221645432,1.0,0.00012740378624374638,0.00804064369398826,0.015844973498701634,0.05422505766672598,0.016765473408843254,True,True,True,True,True,post-review sensitivity analysis; amended sample expansion
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br2720_ANT_MID,forward,SDLPFC_Br2720_ANT_MID,spatialDLPFC::Br2720,uot,0.5,2.0,epsilon_scan,2,SDLPFC_Br2720_ANT_MID,R,I_EXPR,registered_finite_difference_fixed_score,0.9998702221645432,1.0,0.00012740378624374638,0.00804064369398826,0.015844973498701634,0.05422505766672598,0.016765473408843254,True,True,True,True,True,post-review sensitivity analysis; amended sample expansion
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br2720_ANT_MID,forward,SDLPFC_Br2720_ANT_MID,spatialDLPFC::Br2720,uot,0.5,2.0,epsilon_scan,2,SDLPFC_Br2720_ANT_MID,R,I_SPATIAL,matched_finite_difference,0.9813598601599379,0.76,0.06716900697838167,0.06475935303042255,1.03720935795679,0.3049184857317794,0.13142233616437987,True,True,True,False,False,post-review sensitivity analysis; amended sample expansion
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br2720_ANT_MID,forward,SDLPFC_Br2720_ANT_MID,spatialDLPFC::Br2720,uot,0.5,2.0,epsilon_scan,2,SDLPFC_Br2720_ANT_MID,R,I_SPATIAL,registered_finite_difference_fixed_score,0.9813598601599379,0.76,0.06716900697838167,0.06475935303042255,1.03720935795679,0.3049184857317794,0.13142233616437987,True,True,True,False,False,post-review sensitivity analysis; amended sample expansion
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br2720_ANT_MID,forward,SDLPFC_Br2720_ANT_MID,spatialDLPFC::Br2720,uot,0.5,2.0,epsilon_scan,2,SDLPFC_Br2720_ANT_MID,N,I_EXPR,matched_finite_difference,0.9664654322068589,0.7866666666666666,0.05178609931466765,0.01802748674542211,2.8726189094449444,0.1930085826972767,0.036940753878039495,True,True,True,False,False,post-review sensitivity analysis; amended sample expansion
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br2720_ANT_MID,forward,SDLPFC_Br2720_ANT_MID,spatialDLPFC::Br2720,uot,0.5,2.0,epsilon_scan,2,SDLPFC_Br2720_ANT_MID,N,I_EXPR,registered_finite_difference_fixed_score,0.3684281459680649,0.3933333333333333,0.13567473264900448,0.01802748674542211,7.5259926447294525,0.1930085826972767,0.036940753878039495,True,False,False,False,False,post-review sensitivity analysis; amended sample expansion
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br2720_ANT_MID,forward,SDLPFC_Br2720_ANT_MID,spatialDLPFC::Br2720,uot,0.5,2.0,epsilon_scan,2,SDLPFC_Br2720_ANT_MID,N,I_SPATIAL,matched_finite_difference,0.9841678507412671,0.7466666666666667,0.060348016236485266,0.06456651012102786,0.9346643658355521,0.31296852096850214,0.13189042774395573,True,True,True,False,False,post-review sensitivity analysis; amended sample expansion
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br2720_ANT_MID,forward,SDLPFC_Br2720_ANT_MID,spatialDLPFC::Br2720,uot,0.5,2.0,epsilon_scan,2,SDLPFC_Br2720_ANT_MID,N,I_SPATIAL,registered_finite_difference_fixed_score,0.9765892482618882,0.7266666666666667,0.07374518262411422,0.06456651012102786,1.1421584113169696,0.31296852096850214,0.13189042774395573,True,True,True,False,False,post-review sensitivity analysis; amended sample expansion
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br2720_ANT_MID,forward,SDLPFC_Br2720_ANT_MID,spatialDLPFC::Br2720,uot,0.25,2.0,baseline,1,SDLPFC_Br2720_ANT_MID,R,I_EXPR,matched_finite_difference,0.998904344401931,0.9866666666666667,0.00035722444796310184,0.0077115222735765244,0.046323467052300275,0.06182058373427682,0.01610255546483161,True,True,True,True,True,post-review sensitivity analysis; amended sample expansion
