dataset	pair_id	pair_type	independent_unit_id	cohort_role	direction	pair_file_id	method	epsilon	tau	arm	intervention	mass_local_to_endpoint_n_estimable	mass_local_to_endpoint_spearman	mass_local_to_endpoint_top_overlap	mass_local_to_endpoint_raw_mae	mass_local_to_endpoint_rmae	mass_local_to_endpoint_intercept	mass_local_to_endpoint_slope	mass_local_to_endpoint_r2	shape_local_to_endpoint_n_estimable	shape_local_to_endpoint_spearman	shape_local_to_endpoint_top_overlap	shape_local_to_endpoint_raw_mae	shape_local_to_endpoint_rmae	shape_local_to_endpoint_intercept	shape_local_to_endpoint_slope	shape_local_to_endpoint_r2	local_mass_n_estimable	local_mass_median	local_mass_q90	local_mass_mean	local_mass_maximum	local_shape_n_estimable	local_shape_median	local_shape_q90	local_shape_mean	local_shape_maximum	endpoint_mass_n_estimable	endpoint_mass_median	endpoint_mass_q90	endpoint_mass_mean	endpoint_mass_maximum	endpoint_shape_n_estimable	endpoint_shape_median	endpoint_shape_q90	endpoint_shape_mean	endpoint_shape_maximum
spatialDLPFC	SDLPFC_Br2743_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2743	primary_expansion	reverse	SDLPFC_Br2743_ANT_MID__reverse	uot	0.25	2.0	N	I_EXPR	1500	0.965915963518206	0.96	0.0075022101500636755	0.1609691693762947	0.009045432241990987	0.9605357376092913	0.9678056114105575	1500	0.8350439800195468	0.74	0.08065534762668972	0.37495593852281334	0.04247427223243573	0.5836861814329866	0.735945572071053	1500	0.034617737529846995	0.06858781918506497	0.03910429331350266	0.10927936370102671	1500	0.2892478310005707	0.35526039044205526	0.2957615490231571	0.40863476473077365	1500	0.041621478570487924	0.07517212572932622	0.04660650346356634	0.11658057217240897	1500	0.21377001393865983	0.25488497570586705	0.21510620139646736	0.2898716775351611
spatialDLPFC	SDLPFC_Br2743_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2743	primary_expansion	reverse	SDLPFC_Br2743_ANT_MID__reverse	uot	0.25	2.0	N	I_SPATIAL	1500	0.6145973860432826	0.56	0.0178273692196327	0.7922978177655482	0.001998277563575044	0.5243047301526724	0.46403182138556076	1500	0.5631893134174727	0.26	0.16988034613140524	0.36687958284915345	0.019771738146939354	1.4987391676415904	0.30338821501459234	1500	0.034617737532328774	0.06858781919603282	0.039104293321044335	0.10927936371521235	1500	0.28924783099626483	0.355260390496131	0.29576154901292157	0.4086347648211942	1500	0.02061793510947356	0.04276841965211388	0.02250084352107614	0.08249046316578668	1500	0.47565257085544926	0.5985292193152882	0.46304115593495265	0.7446855340041816
spatialDLPFC	SDLPFC_Br3942_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br3942	primary_expansion	forward	SDLPFC_Br3942_ANT_MID	uot	0.25	2.0	R	I_EXPR	1500	0.9999451804200802	0.9933333333333333	0.00048209828408967076	0.007704715807048472	0.0007526873721536587	0.9955895168530523	0.9998757011773787	1500	0.9938119652497625	0.9333333333333333	0.0017064395174965158	0.03213326954883293	0.001223358337768087	1.0039998720977585	0.9890505679193803	1500	0.05627977020676701	0.09660531129692505	0.062093017946323374	0.14677400334782034	1500	0.047101627245731185	0.06863193555615188	0.051675017850910804	0.1315940224465634	1500	0.05667622340934722	0.09665856391953506	0.06257184510928163	0.1466889497383348	1500	0.04837734912469877	0.07170685712673669	0.05310506965073192	0.13162806899322083
spatialDLPFC	SDLPFC_Br3942_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br3942	primary_expansion	forward	SDLPFC_Br3942_ANT_MID	uot	0.25	2.0	R	I_SPATIAL	1500	0.26111638982950663	0.76	0.018704177692878438	0.44981378672792416	0.018638568265000148	0.998950734993695	0.36885558879410385	1500	0.3435646291398352	0.3466666666666667	0.18360704148186344	0.3991072582292753	0.04735170893059762	1.4788631222300574	0.1144964780247053	1500	0.022249700746894856	0.03278480314444138	0.022967577080519126	0.06317315859042757	1500	0.2766279079295854	0.31297830969303947	0.2790607464628772	0.35593689108044874	1500	0.037506905026609506	0.06272437664932488	0.0415820462706091	0.1089155139629467	1500	0.47155422657531393	0.5937269728964547	0.46004435573653896	0.6936071025369548
spatialDLPFC	SDLPFC_Br3942_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br3942	primary_expansion	forward	SDLPFC_Br3942_ANT_MID	uot	0.25	2.0	N	I_EXPR	1500	0.9927343292152576	0.9733333333333334	0.00611094555136472	0.1347265873783569	0.006667271446004009	0.9821177351676004	0.9879725242757478	1500	0.8275553758023894	0.6066666666666667	0.0759740653900912	0.37434383576867286	0.02163676645045069	0.6500484391852237	0.6922581239443872	1500	0.03541483868865855	0.0691095453930285	0.03939533251247003	0.12564660250563828	1500	0.2751039125602359	0.3199822561077958	0.27892669377807316	0.37138957474529655	1500	0.041417453529933854	0.0752046947028883	0.04535812618932564	0.13233352717730706	1500	0.20181908415278504	0.23366256068556335	0.20295262838798195	0.26727748872788737
spatialDLPFC	SDLPFC_Br3942_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br3942	primary_expansion	forward	SDLPFC_Br3942_ANT_MID	uot	0.25	2.0	N	I_SPATIAL	1500	0.6732617356718825	0.7733333333333333	0.015661869680140196	0.5791145817320367	-0.0013008206092170126	0.7195098524846665	0.6309966678504018	1500	0.2758180959191538	0.3333333333333333	0.18224904951740672	0.39754760540082795	0.17391412659449285	1.0200498976238874	0.08433268274657502	1500	0.0354148386981918	0.0691095453966275	0.03939533251957443	0.12564660252492496	1500	0.27510391256105	0.3199822560946186	0.2789266937456534	0.37138957468962186	1500	0.022045929601280663	0.05609034620498657	0.027044509280526343	0.11197074808677235	1500	0.46531818825441934	0.5929680146278443	0.4584332719943159	0.6935300194602307
spatialDLPFC	SDLPFC_Br3942_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br3942	primary_expansion	reverse	SDLPFC_Br3942_ANT_MID__reverse	uot	0.25	2.0	R	I_EXPR	1500	0.9999645048731134	1.0	0.0003044677727513741	0.004812698729440081	3.9014336623816606e-05	0.9959865378126144	0.9999396489327101	1500	0.9938196203642757	0.9	0.0016404458484683164	0.03321178603517813	0.002246456070021157	0.9732375030065007	0.9881263793001531	1500	0.053295858052186694	0.11696157183700552	0.06347917520760143	0.1901278343112544	1500	0.042827334417101716	0.06961487050426389	0.04844349768383747	0.15214077794582284	1500	0.05303964975866513	0.11633310000525542	0.06326341827484316	0.18841525576354407	1500	0.04372617777487785	0.07038820518229189	0.04939348479274032	0.1458701961118289
spatialDLPFC	SDLPFC_Br3942_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br3942	primary_expansion	reverse	SDLPFC_Br3942_ANT_MID__reverse	uot	0.25	2.0	R	I_SPATIAL	1500	0.4021496080664925	0.62	0.018893152492086385	0.4539884648748183	0.011589145952005747	1.3186521563681288	0.3219881997138673	1500	0.49554958557759365	0.5533333333333333	0.18456430997399323	0.3998662008241216	-0.2250202788708061	2.457085290241748	0.2401292556789706	1500	0.022281964626624975	0.031055932926738875	0.022770815336970562	0.044747759039086746	1500	0.27763661878257206	0.3086617997717727	0.2794308561978379	0.34056940795292157	1500	0.03788858714571677	0.06448507517001378	0.04161593069836243	0.08715991853433235	1500	0.4727045053680493	0.5948824180508782	0.46156516753255816	0.6818151579505937
spatialDLPFC	SDLPFC_Br3942_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br3942	primary_expansion	reverse	SDLPFC_Br3942_ANT_MID__reverse	uot	0.25	2.0	N	I_EXPR	1500	0.9951648547399355	0.9933333333333333	0.005281817360919422	0.11442402846153449	0.0049490111745104015	1.0015371564922824	0.9956865237983038	1500	0.6317763767895008	0.3933333333333333	0.07662171641978158	0.3793129460935861	0.06356414213308274	0.49686192664684575	0.4399366639504937	1500	0.030624134008309004	0.09480494439024176	0.04114777502390146	0.17003893171813197	1500	0.2755439756958869	0.3112072345531739	0.2786230380432124	0.37226367808929395	1500	0.035889017134992	0.10114414115769968	0.04616003676793281	0.17294238923964564	1500	0.20028886153124326	0.2255398060282786	0.20200132162343085	0.2732427767154504
spatialDLPFC	SDLPFC_Br3942_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br3942	primary_expansion	reverse	SDLPFC_Br3942_ANT_MID__reverse	uot	0.25	2.0	N	I_SPATIAL	1500	0.7036076976034212	0.8266666666666667	0.015485035045104801	0.5033137932487997	0.00014708334584656276	0.7441248355211268	0.7883701198866815	1500	0.4628572759365671	0.5733333333333334	0.1841790679728956	0.3999508670729402	-0.1469578837686807	2.180229326486289	0.2267532052449679	1500	0.03062413401597245	0.09480494440910615	0.041147775030721145	0.17003893172339746	1500	0.2755439757370651	0.3112072344189089	0.2786230380096578	0.372263678157277	1500	0.022262281956962653	0.0723147706194503	0.030766164672642284	0.1574642165837268	1500	0.4692001918318687	0.6029537818939271	0.4605042347346789	0.6972093753221197
