independent_unit_id	cohort_role	method	epsilon	tau	arm	intervention	mass_local_to_endpoint_n_estimable	mass_local_to_endpoint_spearman	mass_local_to_endpoint_top_overlap	mass_local_to_endpoint_raw_mae	mass_local_to_endpoint_rmae	mass_local_to_endpoint_intercept	mass_local_to_endpoint_slope	mass_local_to_endpoint_r2	shape_local_to_endpoint_n_estimable	shape_local_to_endpoint_spearman	shape_local_to_endpoint_top_overlap	shape_local_to_endpoint_raw_mae	shape_local_to_endpoint_rmae	shape_local_to_endpoint_intercept	shape_local_to_endpoint_slope	shape_local_to_endpoint_r2	local_mass_n_estimable	local_mass_median	local_mass_q90	local_mass_mean	local_mass_maximum	local_shape_n_estimable	local_shape_median	local_shape_q90	local_shape_mean	local_shape_maximum	endpoint_mass_n_estimable	endpoint_mass_median	endpoint_mass_q90	endpoint_mass_mean	endpoint_mass_maximum	endpoint_shape_n_estimable	endpoint_shape_median	endpoint_shape_q90	endpoint_shape_mean	endpoint_shape_maximum	biological_pairs
STAR_8M_D1_D2	legacy_replication	uot	0.25	2.0	R	I_SPATIAL	1500.0	-0.036180915635962485	0.27	0.018946131474221032	0.4718304439685038	0.03613820018202102	0.1867376648949357	0.12378507464253186	1500.0	0.46546534287348573	0.42000000000000004	0.18385222529067663	0.3959393448996071	-0.19132085014286437	2.3195810707496873	0.24473174521850932	1500.0	0.0211425229569682	0.027131241319901973	0.02136173987330036	0.03534991657265148	1500.0	0.28339454180999196	0.3086548628793847	0.28267975404304196	0.3606681070379235	1500.0	0.039193082061302065	0.05488569163528402	0.040154714883129175	0.08287358228206591	1500.0	0.4759180911409795	0.600000333459086	0.4643444914171689	0.6829255932480789	1
ST_E15_5_S1_S2	legacy_replication	uot	0.25	2.0	N	I_EXPR	1500.0	0.9936037998239111	0.9666666666666667	0.005600432378833786	0.1317000858749911	0.006341556241720449	0.9799681220552046	0.9902698782336791	1500.0	0.7506467282874348	0.53	0.07481337968011162	0.37948319011507287	0.05680741956920855	0.5160200888849789	0.6537613373584087	1500.0	0.03414965508491193	0.06151700724192457	0.03692584093994007	0.10583609998196558	1500.0	0.2758334227981131	0.30967126066832407	0.27195880313223814	0.38299066123958464	1500.0	0.039288726633011334	0.06700543059873197	0.04252627331877386	0.112603094114687	1500.0	0.19761233178666204	0.22346695492381458	0.19714542345212654	0.2678292737888597	1
ST_E15_5_S1_S2	legacy_replication	uot	0.25	2.0	N	I_SPATIAL	1500.0	0.6721921760854117	0.6699999999999999	0.014705486325599001	0.6128316250033411	-0.004367582330478396	0.7698085534134473	0.5878561983174009	1500.0	0.6369453070868032	0.3466666666666667	0.1810207235610129	0.40206872448495756	-0.08974049399630316	1.9854990133667187	0.33689515406565274	1500.0	0.03414965509326868	0.06151700724615701	0.03692584094733814	0.10583609998765867	1500.0	0.27583342272813755	0.3096712606154649	0.2719588031006188	0.38299066121383785	1500.0	0.020623691327293383	0.04931920135354377	0.02404816885669112	0.09717730144948095	1500.0	0.4632199762557512	0.5863566178162384	0.45022330141027844	0.6687817361043794	1
ST_E15_5_S1_S2	legacy_replication	uot	0.25	2.0	R	I_EXPR	1500.0	0.9993458752648334	0.9866666666666666	0.0004201840925231031	0.007155990812170424	0.0004230538602905475	0.9990521878870239	0.9991741551790067	1500.0	0.9969610048715578	0.8966666666666667	0.0015641340677787414	0.02285233129929267	0.0018286031323642505	0.9665183260536014	0.9889362662221125	1500.0	0.054354984629403434	0.08322233084459135	0.058364420157362734	0.1324435506903578	1500.0	0.06279586035896026	0.10294300940564408	0.06893394960091054	0.160833131623285	1500.0	0.054779164335733724	0.08352086749664683	0.0587318921548554	0.13288773964920053	1500.0	0.0625338324072724	0.10188374571951345	0.06845483477911468	0.14411377533118716	1
ST_E15_5_S1_S2	legacy_replication	uot	0.25	2.0	R	I_SPATIAL	1500.0	0.1917548532243792	0.53	0.018739377076452228	0.46718161816767145	0.022980924122923584	0.7982455314841514	0.10670889765590458	1500.0	0.5940778391457063	0.4766666666666667	0.18420892904045932	0.3997353300717341	-0.14268201054941126	2.1561311448686045	0.2726456229898001	1500.0	0.021123878074535717	0.026941965437650824	0.021453059165676122	0.03590210853909845	1500.0	0.28181487471284056	0.3102409095646112	0.2799122813671274	0.3618672297914401	1500.0	0.03815796231278386	0.05733590428163127	0.04011161963789377	0.07731871804565102	1500.0	0.47717663281210987	0.5921668671585991	0.4608272607786458	0.6583827736583102	1
Stereo-seq::shared_developmental_series	legacy_replication	uot	0.25	2.0	N	I_EXPR	1500.0	0.9831602947379088	0.9466666666666667	0.0055572536214335486	0.11846834004499021	0.005187215411851553	1.0078419628841755	0.9862489213716992	1500.0	0.9270115960051539	0.71	0.07003544850635968	0.3543131968828116	0.0445002759252823	0.5791004281608314	0.8667607163234636	1500.0	0.03488439637562914	0.06720932674225948	0.04137854315096123	0.30604417779548276	1500.0	0.2686969341722657	0.33134048636761937	0.26797382937584374	0.4935927578901247	1500.0	0.03986947791684267	0.07403932762890597	0.04655198373820016	0.3189743792475745	1500.0	0.19979159148134437	0.23349990567874537	0.1996850764149823	0.32532660349237064	5
Stereo-seq::shared_developmental_series	legacy_replication	uot	0.25	2.0	N	I_SPATIAL	1500.0	0.6996630291835686	0.7	0.015962031782362742	0.638138667416387	-0.007224742869087921	0.8029119976789927	0.7670073727173241	1500.0	0.3533781872791944	0.10666666666666666	0.1818648234393977	0.40367670512106735	0.24113713135371656	0.7822528567983172	0.14618087060259044	1500.0	0.034884396384036974	0.06720932675370858	0.04137854315679888	0.30604417781071025	1500.0	0.26869693412137297	0.33134048638272356	0.26797382935287545	0.49359275838235983	1500.0	0.019682853691400853	0.053477740650242966	0.025892455618100135	0.24526312554042679	1500.0	0.4550242182694198	0.5879926311697532	0.4509948796743893	0.7290206360292708	5
Stereo-seq::shared_developmental_series	legacy_replication	uot	0.25	2.0	R	I_EXPR	1500.0	0.9987183798748356	0.98	0.0008317285321700718	0.013702132537122224	0.00039238880520903695	1.0007335980659025	0.9990695646956531	1500.0	0.9957277421012187	0.9	0.0021858494983053372	0.0317740606189496	0.0060147645598334415	0.9080026351687267	0.9699276316240282	1500.0	0.054612227964413285	0.08979420647382338	0.06206104828948861	0.3283568501137113	1500.0	0.06256619712017264	0.10843738481150597	0.06979243671781768	0.3635255442164332	1500.0	0.054964861291716065	0.09138304844260708	0.06237744076732348	0.3352774068391518	1500.0	0.06333251577668475	0.1073319345689972	0.0695546057954439	0.2704873890021148	5
Stereo-seq::shared_developmental_series	legacy_replication	uot	0.25	2.0	R	I_SPATIAL	1500.0	0.41072481898880847	0.5466666666666666	0.01864781511849945	0.46680119365686534	0.015094177685723908	1.169024770534933	0.22421963914639914	1500.0	0.16181391902840847	0.05333333333333333	0.1890524907595873	0.41007072382067156	0.35569243479816237	0.3862720824235816	0.03025918899033253	1500.0	0.020961873631954085	0.028435180424002247	0.021064012105492788	0.04231020770983383	1500.0	0.27189205622202384	0.3277577528599783	0.2714728603688049	0.37039838974637673	1500.0	0.03744887183469335	0.05766311379033819	0.03972636903619019	0.08077551039127032	1500.0	0.467024163734155	0.5849224521522622	0.460044996801408	0.6609097845266393	5
spatialDLPFC::Br2720	primary_expansion	uot	0.25	2.0	N	I_EXPR	1500.0	0.9946262518338898	0.95	0.006126231724285941	0.14785945459493302	0.007178133401360699	0.9687377731223582	0.9866136219076425	1500.0	0.6673577970479099	0.48	0.08080271993566471	0.387677043360762	0.0579307638424886	0.5203363470983834	0.4934123227735288	1500.0	0.03421146402156517	0.056796003640139536	0.03535892577975316	0.08303138003899103	1500.0	0.28732487417194585	0.3231481502471233	0.28923081199182865	0.3646483475751572	1500.0	0.03990495105399946	0.06253102058940434	0.04143416205154716	0.08889988382117907	1500.0	0.2085414347372773	0.23258030389087933	0.20842809205616394	0.2648113462298027	1
