method	strategy	coverage	metric	n_independent_units	median	q25	q75
balanced_ot	oracle_truth	0.8	region_label_accuracy	8	0.45761158358928067	0.3028930380173548	0.8078967467190901
balanced_ot	oracle_truth	0.8	true_pair_cosine	8	0.8025919075659748	0.7835795732896098	0.8354839570038268
balanced_ot	random_gate	0.8	training_positive_precision	8	0.6901202742651318	0.6122023729278593	0.7737829604580495
balanced_ot	random_gate	0.8	top1	8	0.0041508374044287675	0.0037611802261990714	0.004677927657665178
balanced_ot	random_gate	0.8	top5	8	0.01882362058691078	0.01768898059418543	0.024225494603814172
balanced_ot	random_gate	0.8	top10	8	0.04058410788027131	0.037318596896559614	0.0442271038652177
balanced_ot	random_gate	0.8	mean_reciprocal_rank	8	0.024269759431492052	0.021005520801959988	0.02533520112083017
balanced_ot	random_gate	0.8	median_true_rank	8	142.79500000000002	115.775	190.38750000000002
balanced_ot	random_gate	0.8	region_label_accuracy	8	0.4815704511223208	0.3434316390954296	0.7993176928753304
balanced_ot	random_gate	0.8	true_pair_cosine	8	0.7998188780640874	0.7797345124322808	0.8330152423139142
balanced_ot	top2_margin_gate	0.8	training_positive_precision	8	0.7994812317405889	0.7277186211175235	0.9102299426028859
balanced_ot	top2_margin_gate	0.8	top1	8	0.004584405775346682	0.0034745176667849145	0.0052717055467203676
balanced_ot	top2_margin_gate	0.8	top5	8	0.02123339763689567	0.019990298840849727	0.02562342911266005
balanced_ot	top2_margin_gate	0.8	top10	8	0.0465907932875716	0.04209166369335421	0.05163172735736885
balanced_ot	top2_margin_gate	0.8	mean_reciprocal_rank	8	0.02523440865954521	0.023619746582127225	0.02768683404773902
balanced_ot	top2_margin_gate	0.8	median_true_rank	8	139.7	114.5125	184.2625
balanced_ot	top2_margin_gate	0.8	region_label_accuracy	8	0.48113884967178444	0.3308399523129534	0.8165078578302013
balanced_ot	top2_margin_gate	0.8	true_pair_cosine	8	0.8008892368093297	0.7793273425533485	0.8334859143956779
row_softmax	all_top1	1.0	training_positive_precision	8	0.8566837437978767	0.7980668953177726	0.9215817508148868
