independent_unit_id	method	strategy	coverage	training_positive_precision	top1	top5	top10	mean_reciprocal_rank	median_true_rank	region_label_accuracy	true_pair_cosine
HER2ST::C	row_softmax	identity_no_training	0.0		0.5513259441707716	0.7782191590086327	0.8484238373712057	0.6564235478871377	2.55	0.9577157453019522	0.4242763827051489
HER2ST::D	row_softmax	identity_no_training	0.0		0.8665191676885861	0.9471593945665557	0.9658155296778532	0.9012998941022501	1.0	0.9682382201917995	0.4107463172229803
HER2ST::E	row_softmax	identity_no_training	0.0		0.9742631950475087	1.0	1.0	0.9864520075059291	1.0	0.9876446846544885	0.3889094217288995
HER2ST::F	row_softmax	identity_no_training	0.0		0.9609706735354762	0.9920225112410002	0.9958762886597938	0.9751459172369388	1.0	0.994261184982786	0.4188618415993809
HER2ST::G	row_softmax	identity_no_training	0.0		0.9496586381273004	0.9865199230942776	0.9910716486523041	0.9670305747689516	1.0	0.9782079104237125	0.41890018148154035
HER2ST::H	row_softmax	identity_no_training	0.0		0.981327814203153	0.9989010989010989	1.0	0.988935410471119	1.0	0.9886530742735111	0.41638594823259767
HER2ST::A	row_softmax	max_probability_gate	0.8	0.8173212162222874	0.002127659574468085	0.01690398890962095	0.035366078431548195	0.02258708584486507	132.0	0.870542013331387	0.8324795568122688
HER2ST::B	row_softmax	max_probability_gate	0.8	0.8168510694864164	0.00425531914893617	0.026870787137981595	0.04692215256292446	0.027420106696105794	112.85	0.2905909198833494	0.7840177391070288
HER2ST::C	row_softmax	max_probability_gate	0.8	0.6968191235497785	0.004166666666666667	0.024544767090139138	0.05932762941837352	0.034007223336158104	72.19999999999999	0.7284558618769145	0.8461799332252387
HER2ST::D	row_softmax	max_probability_gate	0.8	0.9029341760561433	0.0	0.022222535355605658	0.0411042343766775	0.0231723490308669	113.35	0.4833037228431696	0.8385493302324805
HER2ST::E	row_softmax	max_probability_gate	0.8	0.9535586689486515	0.001282051282051282	0.019307185962092722	0.03895231161383032	0.020210444981941862	192.65	0.5384420894376682	0.7749207364289334
HER2ST::F	row_softmax	max_probability_gate	0.8	0.982477055400962	0.002072594501718213	0.01935505082330614	0.04091607030759054	0.020499236170814193	208.60000000000002	0.9178422585045123	0.8077377961991428
HER2ST::G	row_softmax	max_probability_gate	0.8	0.7500518363917936	0.002987736900780379	0.017363349739741112	0.04262523978367583	0.023244538714885146	151.7	0.26461605260538446	0.7939247295331888
HER2ST::H	row_softmax	max_probability_gate	0.8	0.9347201387080065	0.003350383631713555	0.023523165997590547	0.04813194817244264	0.023497815743679186	180.45	0.17288389106410823	0.777871141365244
HER2ST::A	row_softmax	oracle_truth	0.8	1.0	0.006049228201919065	0.02261164332417192	0.04092163398710376	0.025664974653156994	129.55	0.870542013331387	0.8340734809949641
HER2ST::B	row_softmax	oracle_truth	0.8	1.0	0.006636271529888551	0.019600150797577813	0.0487411483453047	0.028604623759311935	114.75	0.28802681731924684	0.7851416324960654
HER2ST::C	row_softmax	oracle_truth	0.8	1.0	0.004166666666666667	0.0217816091954023	0.06573113819030334	0.035595631589886975	70.85	0.7476322751322751	0.8506267281573909
HER2ST::D	row_softmax	oracle_truth	0.8	1.0	0.0023809523809523807	0.024244893079182893	0.04185813349730136	0.025324479169912005	114.64999999999999	0.40464365804703284	0.8396892189935019
HER2ST::E	row_softmax	oracle_truth	0.8	1.0	0.001282051282051282	0.019201605268276738	0.04366853994460973	0.020511507512542913	190.10000000000002	0.5316418391907952	0.7759032790828524
HER2ST::F	row_softmax	oracle_truth	0.8	1.0	0.002072594501718213	0.016338458517119375	0.03917313122912515	0.020132523777165567	207.79999999999998	0.9203159112206143	0.8079469559580037
HER2ST::G	row_softmax	oracle_truth	0.8	1.0	0.003203661327231121	0.020641642554647198	0.04123359290003809	0.024564608942094744	146.7	0.2837230847387324	0.7971025908444651
HER2ST::H	row_softmax	oracle_truth	0.8	1.0	0.0033997907463380606	0.01885666021642151	0.04397788620081885	0.022359917914257697	181.65	0.17556586398052276	0.7791154263647391
HER2ST::A	row_softmax	random_gate	0.8	0.8094887585121446	0.006049228201919065	0.02149288754010173	0.037602545668015436	0.024957772554275857	133.73	0.870542013331387	0.8328095191825867
HER2ST::B	row_softmax	random_gate	0.8	0.8186019334182321	0.001702127659574468	0.021155595188252288	0.051862658206052556	0.025673225666380084	114.03999999999999	0.2860232395017155	0.7837229998304239
HER2ST::C	row_softmax	random_gate	0.8	0.6699015963219557	0.004907407407407407	0.02793365597902803	0.06665831724906135	0.03583284265645999	71.52	0.798245335561125	0.8470566511989808
HER2ST::D	row_softmax	random_gate	0.8	0.8966031173333165	0.001451800232288037	0.02382851677256268	0.04223912735826038	0.02454506057656283	113.63	0.4376330369821756	0.8389674943680199
HER2ST::E	row_softmax	random_gate	0.8	0.9618064131718373	0.0019879336349924587	0.019422910832719555	0.04136627031614672	0.020517055257648565	195.27	0.5439858362096872	0.7753305740328813
HER2ST::F	row_softmax	random_gate	0.8	0.981181025252151	0.0025660155543497922	0.019153250424774566	0.040008106533392374	0.020360495696014023	208.04	0.916900434478173	0.8077662083615529
HER2ST::G	row_softmax	random_gate	0.8	0.7669254842353338	0.0014492753623188406	0.020194882325503885	0.04076614700112928	0.02239383783030119	152.01999999999998	0.2555504343555557	0.794891643703906
HER2ST::H	row_softmax	random_gate	0.8	0.9069098802235482	0.003923140182730976	0.021409285561459476	0.04238862001564474	0.022252843569975388	183.13	0.17309549433879762	0.7782272027252302
HER2ST::A	row_softmax	top2_margin_gate	0.8	0.9046912497466315	0.006049228201919065	0.02254550575803435	0.04068268536105835	0.025622865652947455	130.9	0.8686901614795353	0.8333967449513233
HER2ST::B	row_softmax	top2_margin_gate	0.8	0.9355637290609116	0.0	0.015146909827760891	0.04434327836109132	0.02339848272224056	113.55000000000001	0.28802681731924684	0.783036913349608
HER2ST::C	row_softmax	top2_margin_gate	0.8	0.74588017080166	0.004166666666666667	0.022985312899106	0.055531333122077225	0.035538298053405123	69.55000000000001	0.8057804232804233	0.8469855346724295
HER2ST::D	row_softmax	top2_margin_gate	0.8	0.9762590320954878	0.0024390243902439024	0.026805868688938993	0.04152090104334417	0.025621506487062413	112.8	0.47484553468985946	0.8389459571184728
