dataset	pair_id	biological_pair_id	independent_unit_id	direction	method	strategy	coverage	training_positive_precision	top1	top5	top10	mean_reciprocal_rank	median_true_rank	region_label_accuracy	true_pair_cosine
HER2ST_manual_controlled	HER2ST_C1_CONTROLLED__reverse	HER2ST_C1_CONTROLLED	HER2ST::C	reverse	balanced_ot	max_probability_gate	0.8	0.49226064633041383	0.008333333333333333	0.031896551724137925	0.062126436781609194	0.0405908170522691	76.4	0.8087037037037037	0.8863550336869501
HER2ST_manual_controlled	HER2ST_C1_CONTROLLED__reverse	HER2ST_C1_CONTROLLED	HER2ST::C	reverse	balanced_ot	oracle_truth	0.8	1.0	0.008333333333333333	0.02189655172413793	0.07879310344827586	0.0378353446536584	76.6	0.8087037037037037	0.8899035676647141
HER2ST_manual_controlled	HER2ST_C1_CONTROLLED__reverse	HER2ST_C1_CONTROLLED	HER2ST::C	reverse	balanced_ot	random_gate	0.8	0.4715166616329407	0.008333333333333333	0.04474712643678161	0.08017241379310344	0.04182707702356392	75.9	0.8087037037037037	0.8873139351146957
HER2ST_manual_controlled	HER2ST_C1_CONTROLLED__reverse	HER2ST_C1_CONTROLLED	HER2ST::C	reverse	balanced_ot	top2_margin_gate	0.8	0.5436625390113762	0.016666666666666666	0.045459770114942524	0.07045977011494252	0.046749709357641514	75.7	0.8087037037037037	0.8866247753357073
HER2ST_manual_controlled	HER2ST_C1_CONTROLLED__reverse	HER2ST_C1_CONTROLLED	HER2ST::C	reverse	row_softmax	all_top1	1.0	0.8132847370697839	0.008333333333333333	0.023563218390804597	0.08712643678160918	0.03785285778726539	74.1	0.8003703703703703	0.8899792570418465
HER2ST_manual_controlled	HER2ST_C1_CONTROLLED__reverse	HER2ST_C1_CONTROLLED	HER2ST::C	reverse	row_softmax	identity_no_training	0.0		0.8125989782886334	0.95	0.9666666666666666	0.8693071350115622	1.0	0.9716219667943806	0.424419761591498
HER2ST_manual_controlled	HER2ST_C1_CONTROLLED__reverse	HER2ST_C1_CONTROLLED	HER2ST::C	reverse	row_softmax	max_probability_gate	0.8	0.8300538608678144	0.008333333333333333	0.03856321839080459	0.07045977011494253	0.03834165961348256	74.3	0.8003703703703703	0.8882024746706205
HER2ST_manual_controlled	HER2ST_C1_CONTROLLED__reverse	HER2ST_C1_CONTROLLED	HER2ST::C	reverse	row_softmax	oracle_truth	0.8	1.0	0.008333333333333333	0.030229885057471262	0.08712643678160918	0.040903095458042826	76.3	0.8087037037037037	0.8898817156558853
HER2ST_manual_controlled	HER2ST_C1_CONTROLLED__reverse	HER2ST_C1_CONTROLLED	HER2ST::C	reverse	row_softmax	random_gate	0.8	0.8090612101077218	0.008333333333333333	0.034229885057471265	0.0721264367816092	0.039228515889229224	75.1	0.807037037037037	0.8888078714880138
HER2ST_manual_controlled	HER2ST_C1_CONTROLLED__reverse	HER2ST_C1_CONTROLLED	HER2ST::C	reverse	row_softmax	top2_margin_gate	0.8	0.9068307661330917	0.008333333333333333	0.03856321839080459	0.062126436781609194	0.04150407044923823	72.7	0.8087037037037037	0.8890468098383215
HER2ST_manual_controlled	HER2ST_C1_CONTROLLED__reverse	HER2ST_C1_CONTROLLED	HER2ST::C	reverse	uot	all_top1	1.0	0.6706423483058996	0.008333333333333333	0.05522988505747126	0.08712643678160918	0.04312854643079549	75.6	0.8087037037037037	0.8898550328788529
HER2ST_manual_controlled	HER2ST_C1_CONTROLLED__reverse	HER2ST_C1_CONTROLLED	HER2ST::C	reverse	uot	identity_no_training	0.0		0.8125989782886334	0.95	0.9666666666666666	0.8693071350115622	1.0	0.9716219667943806	0.424419761591498
HER2ST_manual_controlled	HER2ST_C1_CONTROLLED__reverse	HER2ST_C1_CONTROLLED	HER2ST::C	reverse	uot	max_probability_gate	0.8	0.6270436927413672	0.008333333333333333	0.04689655172413793	0.07879310344827586	0.04065053769984168	76.1	0.8012962962962963	0.8884118701358161
HER2ST_manual_controlled	HER2ST_C1_CONTROLLED__reverse	HER2ST_C1_CONTROLLED	HER2ST::C	reverse	uot	oracle_truth	0.8	1.0	0.008333333333333333	0.031896551724137925	0.08712643678160918	0.03750814191722242	74.8	0.8087037037037037	0.8899833563553878
HER2ST_manual_controlled	HER2ST_C1_CONTROLLED__reverse	HER2ST_C1_CONTROLLED	HER2ST::C	reverse	uot	random_gate	0.8	0.6675702204771972	0.008333333333333333	0.040563218390804595	0.08212643678160919	0.04141207628087628	75.91999999999999	0.8087037037037037	0.8890932790650055
HER2ST_manual_controlled	HER2ST_C1_CONTROLLED__reverse	HER2ST_C1_CONTROLLED	HER2ST::C	reverse	uot	top2_margin_gate	0.8	0.7455904560555723	0.008333333333333333	0.04689655172413793	0.07045977011494252	0.04380370312566205	75.6	0.8003703703703703	0.8888242339608124
HER2ST_manual_controlled	HER2ST_D1_CONTROLLED	HER2ST_D1_CONTROLLED	HER2ST::D	forward	balanced_ot	all_top1	1.0	0.6466628230606276	0.0047619047619047615	0.024659208998105017	0.058219023167675285	0.03228196193023748	92.0	0.42098600158933924	0.8207104759478868
HER2ST_manual_controlled	HER2ST_D1_CONTROLLED	HER2ST_D1_CONTROLLED	HER2ST::D	forward	balanced_ot	identity_no_training	0.0		0.8201004034476436	0.9184004217861726	0.9466310593557064	0.8640767144855233	1.0	0.9573587933247755	0.4108438353172632
