dataset	pair_id	biological_pair_id	independent_unit_id	direction	method	representation_features	model	ridge_alpha	fold	strategy	coverage	repeat	source_ids_sha256	n_train_available	n_train_selected	n_test	training_positive_precision	top1	top5	top10	mean_reciprocal_rank	median_true_rank	region_label_accuracy	true_pair_cosine
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	HER2ST_A1_CONTROLLED	HER2ST::A	forward	balanced_ot	cost_features_500	multioutput_ridge	1.0	2	oracle_truth	0.8	0	82fad5edfdf5d0f55f26aeca5eef79e1bc88f32665ac60a4b3887c8aa2009dd3	221	177	52	1.0	0.0	0.0	0.019230769230769232	0.0164829425550603	115.0	1.0	0.8211055329219131
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	HER2ST_A1_CONTROLLED	HER2ST::A	forward	balanced_ot	cost_features_500	multioutput_ridge	1.0	2	random_gate	0.8	0	82fad5edfdf5d0f55f26aeca5eef79e1bc88f32665ac60a4b3887c8aa2009dd3	221	177	52	0.6892655367231638	0.0	0.019230769230769232	0.019230769230769232	0.0159073280576122	118.0	1.0	0.8192368833482567
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	HER2ST_A1_CONTROLLED	HER2ST::A	forward	balanced_ot	cost_features_500	multioutput_ridge	1.0	2	random_gate	0.8	1	82fad5edfdf5d0f55f26aeca5eef79e1bc88f32665ac60a4b3887c8aa2009dd3	221	177	52	0.6949152542372882	0.0	0.019230769230769232	0.019230769230769232	0.015727488304140804	114.5	1.0	0.8191511476535104
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	HER2ST_A1_CONTROLLED	HER2ST::A	forward	balanced_ot	cost_features_500	multioutput_ridge	1.0	2	random_gate	0.8	2	82fad5edfdf5d0f55f26aeca5eef79e1bc88f32665ac60a4b3887c8aa2009dd3	221	177	52	0.711864406779661	0.0	0.019230769230769232	0.019230769230769232	0.015698584860883765	116.5	1.0	0.8190898930449586
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	HER2ST_A1_CONTROLLED	HER2ST::A	forward	balanced_ot	cost_features_500	multioutput_ridge	1.0	2	random_gate	0.8	3	82fad5edfdf5d0f55f26aeca5eef79e1bc88f32665ac60a4b3887c8aa2009dd3	221	177	52	0.6666666666666666	0.0	0.019230769230769232	0.019230769230769232	0.01605742032020382	117.0	1.0	0.8189907940473586
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	HER2ST_A1_CONTROLLED	HER2ST::A	forward	balanced_ot	cost_features_500	multioutput_ridge	1.0	2	random_gate	0.8	4	82fad5edfdf5d0f55f26aeca5eef79e1bc88f32665ac60a4b3887c8aa2009dd3	221	177	52	0.6949152542372882	0.0	0.019230769230769232	0.019230769230769232	0.01700607593767313	116.5	1.0	0.8188632250494716
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	HER2ST_A1_CONTROLLED	HER2ST::A	forward	balanced_ot	cost_features_500	multioutput_ridge	1.0	3	identity_no_training	0.0	0	82fad5edfdf5d0f55f26aeca5eef79e1bc88f32665ac60a4b3887c8aa2009dd3	219	0	54		0.8518518518518519	0.9629629629629629	0.9814814814814815	0.8889917695473252	1.0	1.0	0.40732523361160455
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	HER2ST_A1_CONTROLLED	HER2ST::A	forward	balanced_ot	cost_features_500	multioutput_ridge	1.0	3	all_top1	1.0	0	82fad5edfdf5d0f55f26aeca5eef79e1bc88f32665ac60a4b3887c8aa2009dd3	219	219	54	0.7853881278538812	0.0	0.018518518518518517	0.07407407407407407	0.025210840258100674	103.0	1.0	0.8188031590812223
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	HER2ST_A1_CONTROLLED	HER2ST::A	forward	balanced_ot	cost_features_500	multioutput_ridge	1.0	3	max_probability_gate	0.8	0	82fad5edfdf5d0f55f26aeca5eef79e1bc88f32665ac60a4b3887c8aa2009dd3	219	176	54	0.7556818181818182	0.0	0.0	0.1111111111111111	0.023087907275719525	113.5	1.0	0.817434710821614
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	HER2ST_A1_CONTROLLED	HER2ST::A	forward	balanced_ot	cost_features_500	multioutput_ridge	1.0	3	top2_margin_gate	0.8	0	82fad5edfdf5d0f55f26aeca5eef79e1bc88f32665ac60a4b3887c8aa2009dd3	219	176	54	0.8806818181818182	0.0	0.037037037037037035	0.09259259259259259	0.028336254357335857	106.0	1.0	0.8193319679995165
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	HER2ST_A1_CONTROLLED	HER2ST::A	forward	balanced_ot	cost_features_500	multioutput_ridge	1.0	3	oracle_truth	0.8	0	82fad5edfdf5d0f55f26aeca5eef79e1bc88f32665ac60a4b3887c8aa2009dd3	219	176	54	1.0	0.0	0.037037037037037035	0.037037037037037035	0.02483714651107503	110.5	1.0	0.8199414426879369
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	HER2ST_A1_CONTROLLED	HER2ST::A	forward	balanced_ot	cost_features_500	multioutput_ridge	1.0	3	random_gate	0.8	0	82fad5edfdf5d0f55f26aeca5eef79e1bc88f32665ac60a4b3887c8aa2009dd3	219	176	54	0.8068181818181818	0.0	0.018518518518518517	0.07407407407407407	0.024534690584815486	111.0	1.0	0.8187160268524081
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	HER2ST_A1_CONTROLLED	HER2ST::A	forward	balanced_ot	cost_features_500	multioutput_ridge	1.0	3	random_gate	0.8	1	82fad5edfdf5d0f55f26aeca5eef79e1bc88f32665ac60a4b3887c8aa2009dd3	219	176	54	0.7670454545454546	0.0	0.0	0.09259259259259259	0.022873427142334472	109.5	1.0	0.8183439558071389
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	HER2ST_A1_CONTROLLED	HER2ST::A	forward	balanced_ot	cost_features_500	multioutput_ridge	1.0	3	random_gate	0.8	2	82fad5edfdf5d0f55f26aeca5eef79e1bc88f32665ac60a4b3887c8aa2009dd3	219	176	54	0.7897727272727273	0.0	0.0	0.09259259259259259	0.023046315533393074	109.0	1.0	0.8184746756615503
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	HER2ST_A1_CONTROLLED	HER2ST::A	forward	balanced_ot	cost_features_500	multioutput_ridge	1.0	3	random_gate	0.8	3	82fad5edfdf5d0f55f26aeca5eef79e1bc88f32665ac60a4b3887c8aa2009dd3	219	176	54	0.7784090909090909	0.0	0.018518518518518517	0.09259259259259259	0.023756347817564433	110.5	1.0	0.8181018993307213
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	HER2ST_A1_CONTROLLED	HER2ST::A	forward	balanced_ot	cost_features_500	multioutput_ridge	1.0	3	random_gate	0.8	4	82fad5edfdf5d0f55f26aeca5eef79e1bc88f32665ac60a4b3887c8aa2009dd3	219	176	54	0.7784090909090909	0.0	0.018518518518518517	0.09259259259259259	0.024921189410636528	109.5	1.0	0.818194095260741
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	HER2ST_A1_CONTROLLED	HER2ST::A	forward	balanced_ot	cost_features_500	multioutput_ridge	1.0	4	identity_no_training	0.0	0	82fad5edfdf5d0f55f26aeca5eef79e1bc88f32665ac60a4b3887c8aa2009dd3	222	0	51		0.803921568627451	0.9019607843137255	0.9607843137254902	0.8555088702147525	1.0	0.9803921568627451	0.40067386564160096
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	HER2ST_A1_CONTROLLED	HER2ST::A	forward	balanced_ot	cost_features_500	multioutput_ridge	1.0	4	all_top1	1.0	0	82fad5edfdf5d0f55f26aeca5eef79e1bc88f32665ac60a4b3887c8aa2009dd3	222	222	51	0.7567567567567568	0.0392156862745098	0.058823529411764705	0.0784313725490196	0.0590857026818736	104.0	0.8431372549019608	0.8211011904561731
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	HER2ST_A1_CONTROLLED	HER2ST::A	forward	balanced_ot	cost_features_500	multioutput_ridge	1.0	4	max_probability_gate	0.8	0	82fad5edfdf5d0f55f26aeca5eef79e1bc88f32665ac60a4b3887c8aa2009dd3	222	178	51	0.7247191011235955	0.0	0.0392156862745098	0.0784313725490196	0.03707030629117191	108.0	0.8431372549019608	0.8199854380129761
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	HER2ST_A1_CONTROLLED	HER2ST::A	forward	balanced_ot	cost_features_500	multioutput_ridge	1.0	4	top2_margin_gate	0.8	0	82fad5edfdf5d0f55f26aeca5eef79e1bc88f32665ac60a4b3887c8aa2009dd3	222	178	51	0.8426966292134831	0.0392156862745098	0.0392156862745098	0.0784313725490196	0.057850535885533294	108.0	0.8431372549019608	0.8209468278871261
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	HER2ST_A1_CONTROLLED	HER2ST::A	forward	balanced_ot	cost_features_500	multioutput_ridge	1.0	4	oracle_truth	0.8	0	82fad5edfdf5d0f55f26aeca5eef79e1bc88f32665ac60a4b3887c8aa2009dd3	222	178	51	1.0	0.0392156862745098	0.058823529411764705	0.0784313725490196	0.06275220297462818	107.0	0.8431372549019608	0.8223855477937911
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	HER2ST_A1_CONTROLLED	HER2ST::A	forward	balanced_ot	cost_features_500	multioutput_ridge	1.0	4	random_gate	0.8	0	82fad5edfdf5d0f55f26aeca5eef79e1bc88f32665ac60a4b3887c8aa2009dd3	222	178	51	0.7528089887640449	0.0392156862745098	0.058823529411764705	0.0784313725490196	0.058603549961598896	112.0	0.8627450980392157	0.8208643608028394
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	HER2ST_A1_CONTROLLED	HER2ST::A	forward	balanced_ot	cost_features_500	multioutput_ridge	1.0	4	random_gate	0.8	1	82fad5edfdf5d0f55f26aeca5eef79e1bc88f32665ac60a4b3887c8aa2009dd3	222	178	51	0.7808988764044944	0.0392156862745098	0.0392156862745098	0.0784313725490196	0.057824435967202534	108.0	0.8431372549019608	0.8211141956049091
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	HER2ST_A1_CONTROLLED	HER2ST::A	forward	balanced_ot	cost_features_500	multioutput_ridge	1.0	4	random_gate	0.8	2	82fad5edfdf5d0f55f26aeca5eef79e1bc88f32665ac60a4b3887c8aa2009dd3	222	178	51	0.7808988764044944	0.0392156862745098	0.0784313725490196	0.0784313725490196	0.059475596343719406	116.0	0.8627450980392157	0.8209161926782994
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	HER2ST_A1_CONTROLLED	HER2ST::A	forward	balanced_ot	cost_features_500	multioutput_ridge	1.0	4	random_gate	0.8	3	82fad5edfdf5d0f55f26aeca5eef79e1bc88f32665ac60a4b3887c8aa2009dd3	222	178	51	0.7359550561797753	0.0392156862745098	0.0392156862745098	0.0784313725490196	0.05626048236972239	111.0	0.8431372549019608	0.8200549778031113
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	HER2ST_A1_CONTROLLED	HER2ST::A	forward	balanced_ot	cost_features_500	multioutput_ridge	1.0	4	random_gate	0.8	4	82fad5edfdf5d0f55f26aeca5eef79e1bc88f32665ac60a4b3887c8aa2009dd3	222	178	51	0.7528089887640449	0.0392156862745098	0.0392156862745098	0.0784313725490196	0.0575747569856465	110.0	0.8431372549019608	0.820842129124446
