independent_unit_id	cohort_role	method	epsilon0	tau0	contrast_type	regularization_regime	u	v	alpha	beta	metric	reference_value	comparison_value	contrast
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		coregularized_minus_fixed	coregularized-fixed	0.75	0.25	0.5625	0.1875	h001_response_mean	0.1698806055406865	0.10098440140545624	-0.06889620413523027
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		coregularized_minus_fixed	coregularized-fixed	0.75	0.25	0.5625	0.1875	h001_response_median	0.1693798733611066	0.10062940291211969	-0.0687504704489869
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		coregularized_minus_fixed	coregularized-fixed	0.75	0.25	0.5625	0.1875	h001_response_q90	0.2004538222037007	0.11977475867275236	-0.08067906353094834
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		coregularized_minus_fixed	coregularized-fixed	0.75	0.5	0.375	0.375	endpoint_response_mean	0.07674741505395821	5.915884686424398e-16	-0.07674741505395763
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		coregularized_minus_fixed	coregularized-fixed	0.75	0.5	0.375	0.375	endpoint_response_median	0.07650533432813814	5.470245919106995e-16	-0.07650533432813761
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		coregularized_minus_fixed	coregularized-fixed	0.75	0.5	0.375	0.375	endpoint_response_q90	0.09090459532775956	7.948263097782975e-16	-0.09090459532775877
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		coregularized_minus_fixed	coregularized-fixed	0.75	0.5	0.375	0.375	h001_response_mean	0.0693710989548236	5.3908973039537856e-14	-0.0693710989547697
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		coregularized_minus_fixed	coregularized-fixed	0.75	0.5	0.375	0.375	h001_response_median	0.06940372814313722	4.878098758681385e-14	-0.06940372814308844
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		coregularized_minus_fixed	coregularized-fixed	0.75	0.5	0.375	0.375	h001_response_q90	0.08088219868970623	7.515859739761697e-14	-0.08088219868963106
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		coregularized_minus_fixed	coregularized-fixed	0.75	0.75	0.1875	0.5625	endpoint_response_mean	0.03310209177576043	0.11260302047936958	0.07950092870360916
