independent_unit_id	cohort_role	method	epsilon	tau	split	score	local_fidelity_n_estimable	local_fidelity_spearman	local_fidelity_top_overlap	local_fidelity_raw_mae	local_fidelity_rmae	local_fidelity_intercept	local_fidelity_slope	local_fidelity_r2	endpoint_transfer_n_estimable	endpoint_transfer_spearman	endpoint_transfer_top_overlap	endpoint_transfer_raw_mae	endpoint_transfer_rmae	endpoint_transfer_intercept	endpoint_transfer_slope	endpoint_transfer_r2	heldout_aurc	heldout_oracle_aurc	heldout_random_aurc	heldout_normalized_excess_aurc	heldout_retained_loss_at_80pct_coverage	heldout_retained_loss_at_90pct_coverage
Stereo-seq::shared_developmental_series	legacy_replication	uot	0.25	2.0	historical	local_reference	1500.0	0.9999989795551021	1.0	7.728242480942816e-05	0.0008828312978710054	8.077964391081629e-05	0.998201110328303	0.9999988509349218	1500.0	0.9975735758104782	0.9233333333333333	0.007962519415486046	0.08136946605913711	-0.009091734348922015	1.1940762937079012	0.9886284258368174	0.1899327200223037	0.17429177548720698	0.20976476593449345	0.4500202280682476	0.19149414456733554	0.1958525408495517
Stereo-seq::shared_developmental_series	legacy_replication	uot	0.25	2.0	random_20260720	endpoint_response	1500.0	0.9999991644440731	1.0	6.3414641481022e-05	0.0007192167928324739	6.638711513389677e-05	0.9985389359734451	0.9999992951423369	1500.0	0.9981652525178901	0.95	0.006428866137776955	0.06946519348030045	-0.007149447499593597	1.159395053438185	0.9938539174992657	0.16751863071513845	0.15485362738159564	0.18361921066778114	0.28649620418304356	0.1687725711177911	0.17106030618251997
Stereo-seq::shared_developmental_series	legacy_replication	uot	0.25	2.0	random_20260720	finite_response_h001	1500.0	0.9999991644440731	1.0	6.3414641481022e-05	0.0007192167928324739	6.638711513389677e-05	0.9985389359734451	0.9999992951423369	1500.0	0.9981652525178901	0.95	0.006428866137776955	0.06946519348030045	-0.007149447499593597	1.159395053438185	0.9938539174992657	0.1674924099853008	0.15485362738159564	0.18361921066778114	0.28785723022958515	0.16862279306769662	0.17112590745665035
Stereo-seq::shared_developmental_series	legacy_replication	uot	0.25	2.0	random_20260720	local_reference	1500.0	0.9999991644440731	1.0	6.3414641481022e-05	0.0007192167928324739	6.638711513389677e-05	0.9985389359734451	0.9999992951423369	1500.0	0.9981652525178901	0.95	0.006428866137776955	0.06946519348030045	-0.007149447499593597	1.159395053438185	0.9938539174992657	0.16748334127717227	0.15485362738159564	0.18361921066778114	0.2879298180895054	0.16862279306769662	0.17112590745665035
Stereo-seq::shared_developmental_series	legacy_replication	uot	0.25	2.0	random_20260721	endpoint_response	1500.0	0.9999991342218375	1.0	6.437761185202357e-05	0.0007183368027263631	6.731908954836811e-05	0.9984755785282626	0.9999993536478966	1500.0	0.9981877183056527	0.9466666666666667	0.006495074986642237	0.06953427749650265	-0.007635807799422773	1.1663143681277615	0.9942052417379295	0.1731167019113396	0.16528594559275273	0.19586372257385049	0.3059732585820016	0.1753069218094493	0.18179168932831702
Stereo-seq::shared_developmental_series	legacy_replication	uot	0.25	2.0	random_20260721	finite_response_h001	1500.0	0.9999991342218375	1.0	6.437761185202357e-05	0.0007183368027263631	6.731908954836811e-05	0.9984755785282626	0.9999993536478966	1500.0	0.9981877183056527	0.9466666666666667	0.006495074986642237	0.06953427749650265	-0.007635807799422773	1.1663143681277615	0.9942052417379295	0.1731149616860122	0.16528594559275273	0.19586372257385049	0.3059091142046583	0.1753106964794252	0.18188875422327663
Stereo-seq::shared_developmental_series	legacy_replication	uot	0.25	2.0	random_20260721	local_reference	1500.0	0.9999991342218375	1.0	6.437761185202357e-05	0.0007183368027263631	6.731908954836811e-05	0.9984755785282626	0.9999993536478966	1500.0	0.9981877183056527	0.9466666666666667	0.006495074986642237	0.06953427749650265	-0.007635807799422773	1.1663143681277615	0.9942052417379295	0.173114826658008	0.16528594559275273	0.19586372257385049	0.30588585943387425	0.17531919383562214	0.18188875422327663
Stereo-seq::shared_developmental_series	legacy_replication	uot	0.25	2.0	random_20260722	endpoint_response	1500.0	0.9999992088885374	1.0	6.259792226987786e-05	0.0007091548044109372	6.945808675732162e-05	0.9985095075473592	0.9999992720921367	1500.0	0.9982601272267233	0.9566666666666667	0.006367292427125325	0.06868474447708825	-0.007388005763020237	1.1614538876128768	0.9932598037237357	0.1628782308832589	0.14891337088127235	0.17937256100397647	0.2954435953324031	0.1640515591531303	0.16590561382174066
Stereo-seq::shared_developmental_series	legacy_replication	uot	0.25	2.0	random_20260722	finite_response_h001	1500.0	0.9999992088885374	1.0	6.259792226987786e-05	0.0007091548044109372	6.945808675732162e-05	0.9985095075473592	0.9999992720921367	1500.0	0.9982601272267233	0.9566666666666667	0.006367292427125325	0.06868474447708825	-0.007388005763020237	1.1614538876128768	0.9932598037237357	0.1628738235123096	0.14891337088127235	0.17937256100397647	0.30378397279625974	0.16392863253574994	0.16620383962251373
Stereo-seq::shared_developmental_series	legacy_replication	uot	0.25	2.0	random_20260722	local_reference	1500.0	0.9999992088885374	1.0	6.259792226987786e-05	0.0007091548044109372	6.945808675732162e-05	0.9985095075473592	0.9999992720921367	1500.0	0.9982601272267233	0.9566666666666667	0.006367292427125325	0.06868474447708825	-0.007388005763020237	1.1614538876128768	0.9932598037237357	0.1628759811930201	0.14891337088127235	0.17937256100397647	0.3039550483251138	0.16392863253574994	0.16620383962251373
