independent_unit_id	pair_id	direction	method	strategy	coverage	macro_f1	balanced_accuracy	accuracy	training_positive_precision
HER2ST::C	HER2ST_C1_CONTROLLED	forward	balanced_ot	random_gate	0.8	0.3076876581783338	0.5390904509952129	0.591370915291181	0.5563280847325972
HER2ST::C	HER2ST_C1_CONTROLLED	forward	balanced_ot	top2_margin_gate	0.8	0.2928171586646165	0.482010582010582	0.5353759074689307	0.6601077306153856
HER2ST::C	HER2ST_C1_CONTROLLED	forward	row_softmax	max_probability_gate	0.8	0.3220601672372523	0.4904572940287226	0.5207421469879941	0.5677036827318858
HER2ST::C	HER2ST_C1_CONTROLLED	forward	row_softmax	oracle_truth	0.8	0.36501949096909914	0.6314153439153439	0.6283376399655469	1.0
HER2ST::C	HER2ST_C1_CONTROLLED	forward	row_softmax	random_gate	0.8	0.35456746022471	0.5443342151675484	0.5779500430663221	0.5233948694867309
HER2ST::C	HER2ST_C1_CONTROLLED	forward	row_softmax	top2_margin_gate	0.8	0.39957987730474503	0.568795666414714	0.5720174374659425	0.5870374806716466
HER2ST::C	HER2ST_C1_CONTROLLED	forward	uot	max_probability_gate	0.8	0.3109958906193839	0.5130228017132779	0.5452635834695635	0.7569981343148144
HER2ST::C	HER2ST_C1_CONTROLLED	forward	uot	oracle_truth	0.8	0.3463893686660722	0.598428445452255	0.6089402169136389	1.0
HER2ST::C	HER2ST_C1_CONTROLLED	forward	uot	random_gate	0.8	0.35577913186567117	0.578514739229025	0.6080613123802493	0.778183703445589
HER2ST::C	HER2ST_C1_CONTROLLED	forward	uot	top2_margin_gate	0.8	0.3217191714978341	0.5279037540942303	0.5452635834695635	0.84062184666536
HER2ST::C	HER2ST_C1_CONTROLLED__reverse	reverse	balanced_ot	max_probability_gate	0.8	0.2544907844617016	0.41480066774184426	0.418649844761753	0.48656268208507014
HER2ST::C	HER2ST_C1_CONTROLLED__reverse	reverse	balanced_ot	oracle_truth	0.8	0.3968091448236232	0.6058752794046911	0.6193626502091352	1.0
HER2ST::C	HER2ST_C1_CONTROLLED__reverse	reverse	balanced_ot	random_gate	0.8	0.3087175763790395	0.4670387346857935	0.48228234383184165	0.48579504878012336
