independent_unit_id	pair_id	direction	method	fold	repeat	strategy	coverage	n_train_available	n_train_selected	n_test	training_positive_precision	macro_f1	balanced_accuracy	accuracy
HER2ST::A	HER2ST_A1_CONTROLLED	forward	uot	0	2	random_gate	0.8	173	139	100	0.8705035971223022	0.3215946843853821	0.6358695652173914	0.54
HER2ST::A	HER2ST_A1_CONTROLLED	forward	uot	0	2	oracle_truth	0.8	173	139	100	1.0	0.33748443337484435	0.6684782608695652	0.6
HER2ST::A	HER2ST_A1_CONTROLLED	forward	uot	1	0	max_probability_gate	0.8	194	156	79	0.7692307692307693	0.43882582272675147	0.472108843537415	0.620253164556962
HER2ST::A	HER2ST_A1_CONTROLLED	forward	uot	1	0	top2_margin_gate	0.8	194	156	79	0.8782051282051282	0.4568576815871454	0.46349206349206346	0.6329113924050633
HER2ST::A	HER2ST_A1_CONTROLLED	forward	uot	1	0	random_gate	0.8	194	156	79	0.8141025641025641	0.39570102077176217	0.4122448979591837	0.5949367088607594
HER2ST::A	HER2ST_A1_CONTROLLED	forward	uot	1	0	oracle_truth	0.8	194	156	79	1.0	0.4323265618095613	0.4326530612244898	0.6329113924050633
HER2ST::A	HER2ST_A1_CONTROLLED	forward	uot	1	1	max_probability_gate	0.8	194	156	79	0.7692307692307693	0.35133638000276973	0.4349206349206349	0.4936708860759494
HER2ST::A	HER2ST_A1_CONTROLLED	forward	uot	1	1	top2_margin_gate	0.8	194	156	79	0.8782051282051282	0.35109717868338564	0.4263038548752835	0.5063291139240507
HER2ST::A	HER2ST_A1_CONTROLLED	forward	uot	1	1	random_gate	0.8	194	156	79	0.8076923076923077	0.3383838383838384	0.4040816326530612	0.4936708860759494
HER2ST::A	HER2ST_A1_CONTROLLED	forward	uot	1	1	oracle_truth	0.8	194	156	79	1.0	0.31449706398230765	0.3510204081632653	0.4810126582278481
HER2ST::A	HER2ST_A1_CONTROLLED	forward	uot	1	2	max_probability_gate	0.8	194	156	79	0.7692307692307693	0.346984126984127	0.40226757369614513	0.5189873417721519
HER2ST::A	HER2ST_A1_CONTROLLED	forward	uot	1	2	top2_margin_gate	0.8	194	156	79	0.8782051282051282	0.39281537176274023	0.4517006802721088	0.5822784810126582
HER2ST::A	HER2ST_A1_CONTROLLED	forward	uot	1	2	random_gate	0.8	194	156	79	0.8205128205128205	0.3448059091623448	0.40226757369614513	0.5189873417721519
HER2ST::A	HER2ST_A1_CONTROLLED	forward	uot	1	2	oracle_truth	0.8	194	156	79	1.0	0.34268077601410935	0.3850340136054422	0.5443037974683544
HER2ST::A	HER2ST_A1_CONTROLLED	forward	uot	2	0	max_probability_gate	0.8	179	144	94	0.8402777777777778	0.29141716566866266	0.776595744680851	0.776595744680851
