independent_unit_id	method	strategy	coverage	macro_f1	balanced_accuracy	accuracy	training_positive_precision
HER2ST::C	row_softmax	top2_margin_gate	0.8	0.40158936515178784	0.5888307006304205	0.5818021038376906	0.7475373858470062
HER2ST::C	uot	max_probability_gate	0.8	0.31320714648643067	0.5271963078160558	0.5390361854705958	0.6957250991595586
HER2ST::C	uot	oracle_truth	0.8	0.3600878211427502	0.5851646466667475	0.5879715849281668	1.0
HER2ST::C	uot	random_gate	0.8	0.34249690750552325	0.5640475213654486	0.5730862459056856	0.7231848999949473
HER2ST::C	uot	top2_margin_gate	0.8	0.3274272355489114	0.531890837142938	0.5400989411961923	0.7949247909316223
HER2ST::D	balanced_ot	max_probability_gate	0.8	0.39302547775758656	0.5428673815606473	0.55928784715841	0.6413375915366823
HER2ST::D	balanced_ot	oracle_truth	0.8	0.44385187268497295	0.6089618733533627	0.6311422172810484	1.0
HER2ST::D	balanced_ot	random_gate	0.8	0.4146937713959146	0.5753601809310743	0.59520324055281	0.6331481172801454
HER2ST::D	balanced_ot	top2_margin_gate	0.8	0.3962663182335362	0.5412490864575465	0.5599479583550154	0.7415438052292398
HER2ST::D	row_softmax	max_probability_gate	0.8	0.42880492762179384	0.5886038537060746	0.6111194406465622	0.9012689535336331
HER2ST::D	row_softmax	oracle_truth	0.8	0.44012388052568097	0.6021930114115779	0.6254095160454634	1.0
HER2ST::D	row_softmax	random_gate	0.8	0.4403136424202033	0.6014531445447548	0.625533490813613	0.896567119008582
HER2ST::D	row_softmax	top2_margin_gate	0.8	0.43071693381479736	0.5893941476452578	0.6162123322452429	0.974127824379048
HER2ST::D	uot	max_probability_gate	0.8	0.4272294099762185	0.590282549436039	0.6148735894261574	0.7401125110057851
HER2ST::D	uot	oracle_truth	0.8	0.4485734848754864	0.6080622755080305	0.6342805161798757	1.0
HER2ST::D	uot	random_gate	0.8	0.4536327332175587	0.6040616356791284	0.6316372765560602	0.7334712729343013
HER2ST::D	uot	top2_margin_gate	0.8	0.43001643779523846	0.5889784084462018	0.6215761295305593	0.8536887641863269
HER2ST::E	balanced_ot	max_probability_gate	0.8	0.3701879700878916	0.4642808424888416	0.4603242319769211	0.7575681916630164
HER2ST::E	balanced_ot	oracle_truth	0.8	0.39972497640465354	0.5206529731732417	0.4996740853732775	1.0
HER2ST::E	balanced_ot	random_gate	0.8	0.3781373629741338	0.4817996013454588	0.46822887906651334	0.7613840135092806
HER2ST::E	balanced_ot	top2_margin_gate	0.8	0.38379712536271293	0.5010986429037935	0.47891091471301694	0.8918858659191058
HER2ST::E	row_softmax	max_probability_gate	0.8	0.40005532968072416	0.5269366410972843	0.5022597916783182	0.9512959517245961
HER2ST::E	row_softmax	oracle_truth	0.8	0.396605972981259	0.5225276900703211	0.4971877693745358	1.0
HER2ST::E	row_softmax	random_gate	0.8	0.39427580096177056	0.517192862228731	0.4978937628162289	0.9591101747975542
HER2ST::E	row_softmax	top2_margin_gate	0.8	0.4007091282971048	0.5239570414122559	0.5154152840492618	0.9912728689802282
HER2ST::E	uot	max_probability_gate	0.8	0.3684159268978261	0.47012932176820527	0.457802609006582	0.9075173467244144
HER2ST::E	uot	oracle_truth	0.8	0.38176944039183697	0.5042277935657581	0.48002958247837246	1.0
HER2ST::E	uot	random_gate	0.8	0.3739127843022321	0.48218331155015726	0.47041543601897706	0.9059935559308994
HER2ST::E	uot	top2_margin_gate	0.8	0.3832419281358852	0.4936131909954985	0.4871280097085682	0.9803618978455579
HER2ST::F	balanced_ot	max_probability_gate	0.8	0.3128323890481222	0.4236511375804996	0.6079084728326604	0.7746630417618826
HER2ST::F	balanced_ot	oracle_truth	0.8	0.30565308547414394	0.4340755557188991	0.6027215597909088	1.0
HER2ST::F	balanced_ot	random_gate	0.8	0.2987586567433565	0.42125700852156056	0.5926496644725421	0.8029694459964923
HER2ST::F	balanced_ot	top2_margin_gate	0.8	0.30797522513590403	0.4212647346298158	0.6095434167812024	0.9138936115652128
HER2ST::F	row_softmax	max_probability_gate	0.8	0.30156879628897365	0.4658834621774849	0.61141394292865	0.9828704315069547
