dataset	pair_type	biological_pair_id	independent_unit_id	cohort_role	pair_id	direction	method	epsilon	tau	branch	witness	score	n_estimable	spearman	aurc	oracle_aurc	random_aurc	normalized_excess_aurc	retained_loss_at_80pct_coverage	retained_loss_at_90pct_coverage
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2720_ANT_MID	spatialDLPFC::Br2720	primary_expansion	SDLPFC_Br2720_ANT_MID	forward	balanced_ot	0.25		main21	heldout_expression_loss	low_max_probability	1500	0.15574406921958633	0.38732065990424386	0.36287457259180317	0.3893549378152952	0.9231778756115262	0.38687978108884896	0.38795670149807426
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2720_ANT_MID	spatialDLPFC::Br2720	primary_expansion	SDLPFC_Br2720_ANT_MID	forward	balanced_ot	0.25		main21	heldout_expression_loss	probability_margin_risk	1500	0.10361113938272862	0.3885380425602063	0.36287457259180317	0.3893549378152952	0.9691509067871854	0.3882206243283903	0.38914270070269774
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2720_ANT_MID	spatialDLPFC::Br2720	primary_expansion	SDLPFC_Br2720_ANT_MID	forward	balanced_ot	0.25		main21	heldout_expression_loss	assigned_raw_cost	1500	-0.035068296474798435	0.3878055418320235	0.36287457259180317	0.3893549378152952	0.9414888741074783	0.3868252324349158	0.38728185278017363
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2720_ANT_MID	spatialDLPFC::Br2720	primary_expansion	SDLPFC_Br2720_ANT_MID	forward	balanced_ot	0.25		main21	heldout_expression_loss	barycentric_displacement	1500	-0.13860984649326513	0.3899380214986145	0.36287457259180317	0.3893549378152952	1.0220194728584049	0.38889591299116416	0.3886246355370046
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2720_ANT_MID	spatialDLPFC::Br2720	primary_expansion	SDLPFC_Br2720_ANT_MID	forward	balanced_ot	0.25		main21	heldout_expression_loss	transported_mass_deficit	1500	-0.033611438745254345	0.3900696616762826	0.36287457259180317	0.3893549378152952	1.026990710096149	0.3896122483596975	0.3896899872424684
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2720_ANT_MID	spatialDLPFC::Br2720	primary_expansion	SDLPFC_Br2720_ANT_MID	forward	balanced_ot	0.25		main21	heldout_expression_loss	source_boundary_proximity	1500	-0.08374379927314213	0.38657385682722656	0.36287457259180317	0.3893549378152952	0.8949757314675786	0.383819810121571	0.38591806901431536
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2720_ANT_MID	spatialDLPFC::Br2720	primary_expansion	SDLPFC_Br2720_ANT_MID__reverse	reverse	uot	0.25	2.0	main21	heldout_expression_loss	finite_response_h001	1500	0.7528791683907415	0.28100899435857785	0.2724415889219308	0.30159276625156034	0.2938956920940218	0.2860692348326204	0.29355686412556947
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2720_ANT_MID	spatialDLPFC::Br2720	primary_expansion	SDLPFC_Br2720_ANT_MID__reverse	reverse	uot	0.25	2.0	main21	heldout_expression_loss	local_reference	1500	0.7528726937211971	0.28101039293322466	0.2724415889219308	0.30159276625156034	0.2939436687033711	0.2860692348326204	0.29355686412556947
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2720_ANT_MID	spatialDLPFC::Br2720	primary_expansion	SDLPFC_Br2720_ANT_MID__reverse	reverse	uot	0.25	2.0	main21	heldout_expression_loss	endpoint_response	1500	0.7543690819418142	0.28096630316286697	0.2724415889219308	0.30159276625156034	0.29243121622643875	0.2859869163295605	0.2935759279860705
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2720_ANT_MID	spatialDLPFC::Br2720	primary_expansion	SDLPFC_Br2720_ANT_MID__reverse	reverse	uot	0.25	2.0	main21	heldout_expression_loss	conditional_entropy	1500	0.10358854737268772	0.29779962130330623	0.2724415889219308	0.30159276625156034	0.8698802142581484	0.29996824076995643	0.30095029039873417
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2720_ANT_MID	spatialDLPFC::Br2720	primary_expansion	SDLPFC_Br2720_ANT_MID__reverse	reverse	uot	0.25	2.0	main21	heldout_expression_loss	low_max_probability	1500	0.042429209968537766	0.2999392699131544	0.2724415889219308	0.30159276625156034	0.9432785743193529	0.3018625421305773	0.3024837770850941
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2720_ANT_MID	spatialDLPFC::Br2720	primary_expansion	SDLPFC_Br2720_ANT_MID__reverse	reverse	uot	0.25	2.0	main21	heldout_expression_loss	probability_margin_risk	1500	-0.04101550622911389	0.3025355098332716	0.2724415889219308	0.30159276625156034	1.0323398115640785	0.3027964959046177	0.3023993663571281
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2720_ANT_MID	spatialDLPFC::Br2720	primary_expansion	SDLPFC_Br2720_ANT_MID__reverse	reverse	uot	0.25	2.0	main21	heldout_expression_loss	assigned_raw_cost	1500	0.4955941544862909	0.28941693251042816	0.2724415889219308	0.30159276625156034	0.5823210293206047	0.29234804135231995	0.2971994377373853
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2720_ANT_MID	spatialDLPFC::Br2720	primary_expansion	SDLPFC_Br2720_ANT_MID__reverse	reverse	uot	0.25	2.0	main21	heldout_expression_loss	barycentric_displacement	1500	-0.1056646869620831	0.3079659067302241	0.2724415889219308	0.30159276625156034	1.2186237765493628	0.30753083659344504	0.30445943192825287
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2720_ANT_MID	spatialDLPFC::Br2720	primary_expansion	SDLPFC_Br2720_ANT_MID__reverse	reverse	uot	0.25	2.0	main21	heldout_expression_loss	transported_mass_deficit	1500	0.421197694754531	0.29368329671431553	0.2724415889219308	0.30159276625156034	0.7286740961502933	0.297987576958795	0.3016848935236486
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2720_ANT_MID	spatialDLPFC::Br2720	primary_expansion	SDLPFC_Br2720_ANT_MID__reverse	reverse	uot	0.25	2.0	main21	heldout_expression_loss	source_boundary_proximity	1500	-0.1247118941238108	0.3078562906889056	0.2724415889219308	0.30159276625156034	1.2148635153400453	0.3069583179596989	0.30445075349222295
