dataset	pair_type	biological_pair_id	independent_unit_id	cohort_role	pair_id	direction	method	epsilon	tau	branch	score	reference	amplitude_comparable	n_estimable	spearman	top_overlap	raw_mae	rmae	intercept	slope	r2
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2720_ANT_MID	spatialDLPFC::Br2720	primary_expansion	SDLPFC_Br2720_ANT_MID	forward	row_softmax	0.25		main21	endpoint_response	endpoint_response	True	1500	1.0	1.0	0.0	0.0	4.855207182970664e-17	0.9999999999999999	1.0
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2720_ANT_MID	spatialDLPFC::Br2720	primary_expansion	SDLPFC_Br2720_ANT_MID	forward	row_softmax	0.25		main21	conditional_entropy	local_reference	False	1500	0.3961186187193862	0.18	0.8447910285301053	12.26319881815103	-0.23736373950644307	0.33518548124445824	0.14717365543298633
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2720_ANT_MID	spatialDLPFC::Br2720	primary_expansion	SDLPFC_Br2720_ANT_MID	forward	row_softmax	0.25		main21	conditional_entropy	endpoint_response	False	1500	0.3900797253687669	0.17333333333333334	0.8419929531272125	11.745507338417932	-0.2449976322114908	0.3466030187549989	0.1460840078493395
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2720_ANT_MID	spatialDLPFC::Br2720	primary_expansion	SDLPFC_Br2720_ANT_MID	forward	row_softmax	0.25		main21	low_max_probability	local_reference	False	1500	0.1315704371424165	0.08	0.9277686958104759	13.467723483968204	-2.6721048871372277	2.7501870583840065	0.011356432841631348
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2720_ANT_MID	spatialDLPFC::Br2720	primary_expansion	SDLPFC_Br2720_ANT_MID	forward	row_softmax	0.25		main21	low_max_probability	endpoint_response	False	1500	0.12348215621429166	0.06666666666666667	0.9249706204075828	12.903016788285194	-2.606035270434018	2.686703291150125	0.010060862125736758
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2720_ANT_MID	spatialDLPFC::Br2720	primary_expansion	SDLPFC_Br2720_ANT_MID	forward	row_softmax	0.25		main21	probability_margin_risk	local_reference	False	1500	-0.0811334867259941	0.06666666666666667	0.93101262458934	13.514813169137266	27.991967944755164	-27.925846151416984	0.013008770886019594
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2720_ANT_MID	spatialDLPFC::Br2720	primary_expansion	SDLPFC_Br2720_ANT_MID	forward	row_softmax	0.25		main21	probability_margin_risk	endpoint_response	False	1500	-0.07378444879308836	0.06666666666666667	0.928214549186447	12.94826846068452	25.568569481084662	-25.49940923375294	0.010068438796417167
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2720_ANT_MID	spatialDLPFC::Br2720	primary_expansion	SDLPFC_Br2720_ANT_MID	forward	row_softmax	0.25		main21	assigned_raw_cost	local_reference	False	1500	-0.6011384787282128	0.0	0.3814869409936374	5.537760281466472	0.1577703027123761	-0.19735097301554907	0.3645777834659959
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2720_ANT_MID	spatialDLPFC::Br2720	primary_expansion	SDLPFC_Br2720_ANT_MID	forward	row_softmax	0.25		main21	assigned_raw_cost	endpoint_response	False	1500	-0.6491272502787779	0.0	0.3786888655907445	5.282577286726106	0.17173442305411046	-0.22214373181165692	0.42880327826565345
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2720_ANT_MID	spatialDLPFC::Br2720	primary_expansion	SDLPFC_Br2720_ANT_MID	forward	row_softmax	0.25		main21	barycentric_displacement	local_reference	False	1500	-0.17925929033746238	0.02666666666666667	0.04807186947622776	0.6978233350476196	0.07796311454673081	-0.10084370259075189	0.028237531107473623
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2720_ANT_MID	spatialDLPFC::Br2720	primary_expansion	SDLPFC_Br2720_ANT_MID	forward	row_softmax	0.25		main21	barycentric_displacement	endpoint_response	False	1500	-0.1834143179619191	0.04	0.04809471055772415	0.6709043985424994	0.08154835994167639	-0.109591122627124	0.030956954016564175
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2720_ANT_MID	spatialDLPFC::Br2720	primary_expansion	SDLPFC_Br2720_ANT_MID	forward	row_softmax	0.25		main21	transported_mass_deficit	local_reference	False	1500	0.007972225284829817	0.135	0.06888830891983189	1.0000000000000002	0.06888830891983186	-1.1421220412416334e-18	0.0
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2720_ANT_MID	spatialDLPFC::Br2720	primary_expansion	SDLPFC_Br2720_ANT_MID	forward	row_softmax	0.25		main21	transported_mass_deficit	endpoint_response	False	1500	0.0064648962479631495	0.12458333333333334	0.07168638432272482	1.0000000000000002	0.07168638432272481	-1.1885122581131076e-18	0.0
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2720_ANT_MID	spatialDLPFC::Br2720	primary_expansion	SDLPFC_Br2720_ANT_MID	forward	row_softmax	0.25		main21	source_boundary_proximity	local_reference	False	1500	-0.4787075672404912	0.006666666666666667	0.5069339137510904	7.358780055713518	0.05205134933974964	-0.03843654494962476	0.1863723282650226
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2720_ANT_MID	spatialDLPFC::Br2720	primary_expansion	SDLPFC_Br2720_ANT_MID	forward	row_softmax	0.25		main21	source_boundary_proximity	endpoint_response	False	1500	-0.478583950990951	0.013333333333333334	0.5097319891539834	7.110583048228822	0.053961159530653204	-0.040464336581803234	0.19174140675208984
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2720_ANT_MID	spatialDLPFC::Br2720	primary_expansion	SDLPFC_Br2720_ANT_MID	forward	balanced_ot	0.25		main21	finite_response_h001	local_reference	True	1500	0.9999995697775866	1.0	2.6349520968285063e-06	7.558314962406993e-05	2.8551086560292814e-07	1.0000038656130354	0.9999997745573913
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2720_ANT_MID	spatialDLPFC::Br2720	primary_expansion	SDLPFC_Br2720_ANT_MID	forward	balanced_ot	0.25		main21	finite_response_h001	endpoint_response	True	1500	0.999330975702656	0.9866666666666667	0.00025706761725653943	0.007390030664728202	0.00011276242257638514	0.9946001497653094	0.9979803973182729
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2720_ANT_MID	spatialDLPFC::Br2720	primary_expansion	SDLPFC_Br2720_ANT_MID	forward	balanced_ot	0.25		main21	local_reference	local_reference	True	1500	1.0	1.0	0.0	0.0	-9.591989244889726e-18	0.9999999999999997	1.0
