dataset	pair_id	pair_type	independent_unit_id	cohort_role	direction	pair_file_id	method	epsilon	tau	arm	intervention	reference_type	h001_n_estimable	h001_spearman	h001_top_overlap	h001_raw_mae	h001_rmae	h001_intercept	h001_slope	h001_r2	vector_relative_l1_n_estimable	vector_relative_l1_median	vector_relative_l1_q90	vector_relative_l1_mean	vector_relative_l1_maximum	direction_cosine_n_estimable	direction_cosine_median	direction_cosine_q90	direction_cosine_mean	direction_cosine_maximum	vector_rows_estimable	direction_rows_estimable	reference_rows_estimable	analytic_relative_l1_n_estimable	analytic_relative_l1_median	analytic_relative_l1_q90	analytic_relative_l1_mean	analytic_relative_l1_maximum	analytic_scalar_n_estimable	analytic_scalar_spearman	analytic_scalar_top_overlap	analytic_scalar_raw_mae	analytic_scalar_rmae	analytic_scalar_intercept	analytic_scalar_slope	analytic_scalar_r2
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	reverse	SDLPFC_Br2720_ANT_MID__reverse	balanced_ot	0.25		R	I_EXPR	richardson_vector	1500	0.999999655110958	1.0	2.193277708429334e-06	6.29137954359406e-05	-1.295599126307578e-06	1.000049220029002	0.9999999283789548	1500	0.0004922919515491818	0.0006742305675175918	0.0005214922422209473	0.0011645587819858855	1500	0.9999998406051422	0.9999998944413189	0.9999998187355977	0.9999999378728499	1500	1500	1500													
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	reverse	SDLPFC_Br2720_ANT_MID__reverse	balanced_ot	0.25		R	I_SPATIAL	richardson_vector	1500	0.9998014505784225	0.9866666666666667	0.0012118542159623889	0.004253175172328618	0.0009970360849822105	0.9922804172551583	0.9996907318713963	1500	0.006337320121358868	0.007394376624502658	0.0061377540313553285	0.00781260692826949	1500	0.9999920052488744	0.9999935403700385	0.9999917963144422	0.9999946122769826	1500	1500	1500													
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	reverse	SDLPFC_Br2720_ANT_MID__reverse	balanced_ot	0.25		N	I_EXPR	richardson_vector	1500	0.999837041705352	0.9866666666666667	0.00120430787196551	0.004166787618329413	-0.0006256096695629865	1.006357827692587	0.9997545493013587	1500	0.006285556144178579	0.007285632445333046	0.0061128625032655605	0.007787291478261407	1500	0.9999912377959241	0.9999931614524322	0.9999910768922207	0.9999947331309322	1500	1500	1500													
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	reverse	SDLPFC_Br2720_ANT_MID__reverse	balanced_ot	0.25		N	I_SPATIAL	richardson_vector	1500	0.9998340728151436	0.9933333333333333	0.0012162132951912489	0.004207979220161032	0.0007640513971281678	0.993177187818568	0.9997498389825693	1500	0.00635398608869463	0.007385425501730669	0.006180004599375943	0.007902511860228723	1500	0.9999911013178505	0.9999930555505904	0.9999909409960391	0.999994696501108	1500	1500	1500													
spatialDLPFC	SDLPFC_Br2743_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2743	primary_expansion	forward	SDLPFC_Br2743_ANT_MID	uot	0.25	2.0	R	I_EXPR	richardson_vector	1500	0.9999992533330017	1.0	8.670905146222656e-05	0.001023765627982332	6.865813128643591e-05	0.9981674703443076	0.9999997222373037	1500	0.0011749106533256056	0.001527901613840107	0.0012048343466103777	0.0024234007896334945	1500	0.9999996367696272	0.9999997999636426	0.9999996174557697	0.9999998803630973	1500	1500	1500													
spatialDLPFC	SDLPFC_Br2743_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2743	primary_expansion	forward	SDLPFC_Br2743_ANT_MID	uot	0.25	2.0	R	I_SPATIAL	richardson_vector	1500	0.9998958008425783	0.9866666666666667	0.0012621713978595258	0.0044917235150964754	0.0021534602861092737	0.9878990531872016	0.9998537029346363	1500	0.00642731764927479	0.007457557364676682	0.006267438735211151	0.008477981184204847	1500	0.9999914631761615	0.9999928845350811	0.9999913996891174	0.9999951285609827	1500	1500	1500													
spatialDLPFC	SDLPFC_Br2743_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2743	primary_expansion	forward	SDLPFC_Br2743_ANT_MID	uot	0.25	2.0	N	I_EXPR	richardson_vector	1500	0.9999581759814116	0.9933333333333333	0.0010181978897720115	0.0032782182282701895	-0.00018555457167223802	1.003887217252896	0.9999422312029879	1500	0.005118447002905671	0.006111687376131461	0.005150771080142002	0.007146290650700338	1500	0.9999926509620138	0.9999948327063358	0.9999924613214113	0.9999968649514254	1500	1500	1500													
spatialDLPFC	SDLPFC_Br2743_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2743	primary_expansion	forward	SDLPFC_Br2743_ANT_MID	uot	0.25	2.0	N	I_SPATIAL	richardson_vector	1500	0.9999579982035548	1.0	0.0010285139726504374	0.003311432175578268	0.00023459205733120865	0.9959478421847268	0.9999411947184496	1500	0.0051679928845956005	0.006184093419995814	0.005202803587535482	0.007242008343694069	1500	0.9999925529967166	0.999994754662683	0.9999923542078337	0.9999968048516571	1500	1500	1500													
spatialDLPFC	SDLPFC_Br2743_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2743	primary_expansion	forward	SDLPFC_Br2743_ANT_MID	balanced_ot	0.25		R	I_EXPR	richardson_vector	1500	0.99999863466606	1.0	1.308847400752279e-05	0.00025511557463888654	-1.684189979224221e-05	1.0004248752901854	0.9999992856842355	1500	0.000807133220570772	0.0012989746515719293	0.0008821220997377506	0.0018838439296915217	1500	0.9999995052311776	0.9999997524808366	0.99999941545257	0.9999998662249304	1500	1500	1500													
spatialDLPFC	SDLPFC_Br2743_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2743	primary_expansion	forward	SDLPFC_Br2743_ANT_MID	balanced_ot	0.25		R	I_SPATIAL	richardson_vector	1500	0.9998491981551993	0.9866666666666667	0.001226127902244682	0.004279667654261302	0.0021569560413794123	0.9882420293272658	0.9997610950310997	1500	0.006202777019809753	0.00739713090196564	0.006111527778027624	0.008482147939946042	1500	0.9999918846832414	0.999993514404809	0.999991824903957	0.9999955887091851	1500	1500	1500													
spatialDLPFC	SDLPFC_Br2743_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2743	primary_expansion	forward	SDLPFC_Br2743_ANT_MID	balanced_ot	0.25		N	I_EXPR	richardson_vector	1500	0.9998828479479325	0.98	0.0012356488427952307	0.004204642793886019	-0.0014411108359895174	1.0091468872125156	0.9998307664181248	1500	0.006115316462742876	0.007550455132056631	0.006144932062739181	0.009557508482386236	1500	0.9999905506125488	0.9999926213838267	0.9999902495844494	0.9999944621903947	1500	1500	1500													
spatialDLPFC	SDLPFC_Br2743_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2743	primary_expansion	forward	SDLPFC_Br2743_ANT_MID	balanced_ot	0.25		N	I_SPATIAL	richardson_vector	1500	0.9998763448339312	0.9866666666666667	0.001247787295863755	0.004245947295272557	0.0015328725514278429	0.990578027825951	0.9998297138604586	1500	0.006179050935352351	0.007644900952602061	0.006210708574423083	0.009720899615680694	1500	0.9999904147044953	0.9999925208132211	0.9999901031796444	0.9999944176921849	1500	1500	1500													
spatialDLPFC	SDLPFC_Br2743_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2743	primary_expansion	forward	SDLPFC_Br2743_ANT_MID	row_softmax	0.25		R	I_EXPR	richardson_vector	1500	0.9999994702219869	1.0	0.00010864944126096444	0.001167989698605821	0.00012221766682381281	0.9975210565337667	0.99999968276686	1500	0.0016602622748227002	0.0026662351737550497	0.001780291790746016	0.003407487003433064	1500	0.9999985477320227	0.9999991732844189	0.9999983471607966	0.9999996652017658	1500	1500	1500	1500.0	2.284468172033563e-08	4.806426309845324e-08	2.5981497054015892e-08	7.199851934192409e-08	1500.0	1.0	1.0	4.934024379667686e-10	5.304113459609691e-09	8.461175214147592e-10	0.9999999927102619	0.9999999999999996
spatialDLPFC	SDLPFC_Br2743_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2743	primary_expansion	forward	SDLPFC_Br2743_ANT_MID	row_softmax	0.25		R	I_SPATIAL	richardson_vector	1500	0.9999914417739741	0.9933333333333333	0.001129066907603615	0.003932305065584338	0.0011916618311807673	0.9919490435934951	0.9999856735453292	1500	0.00584850265401601	0.00667390040753288	0.005675200708082296	0.007288880806815041	1500	0.9999927734626306	0.9999945488270398	0.9999926216441487	0.999996273956894	1500	1500	1500	1500.0	2.813822728918733e-07	3.681581050464418e-07	2.710947375605657e-07	4.386963554402181e-07	1500.0	1.0	1.0	2.0157053035559555e-08	7.020281595638249e-08	-4.34220114197325e-08	1.0000002198873121	0.9999999999999447
spatialDLPFC	SDLPFC_Br2743_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2743	primary_expansion	forward	SDLPFC_Br2743_ANT_MID	row_softmax	0.25		N	I_EXPR	richardson_vector	1500	0.9999819768808788	1.0	0.001025046791575465	0.0033557986925215355	0.0001789749648007444	1.0027791967893147	0.9999662319447549	1500	0.006112891167267136	0.007241058012659271	0.006031997310626905	0.008404802230992907	1500	0.9999897520790839	0.9999922885679616	0.9999878780595791	0.9999951727207269	1500	1500	1500	1500.0	2.8104626214966483e-07	3.821762385648814e-07	2.7360933467919686e-07	4.777697792112899e-07	1500.0	1.0	1.0	1.6826334664210575e-08	5.508606086144534e-08	4.878373748297346e-08	0.9999998742863822	0.9999999999999043
spatialDLPFC	SDLPFC_Br2743_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2743	primary_expansion	forward	SDLPFC_Br2743_ANT_MID	row_softmax	0.25		N	I_SPATIAL	richardson_vector	1500	0.9999823039921352	1.0	0.0010336429368857673	0.0033839407570922303	-0.0001565363615718711	0.9971382121811426	0.9999659167575708	1500	0.006172391636937162	0.007314455079194102	0.00608240460957006	0.00846286198088937	1500	0.9999896410106259	0.9999922012493696	0.9999877633241273	0.9999951469224345	1500	1500	1500	1500.0	2.815755411773054e-07	3.82957351131018e-07	2.740869052981303e-07	4.784615590610205e-07	1500.0	1.0	1.0	1.6823773597148447e-08	5.507767643911748e-08	4.884549831880155e-08	0.9999998740275292	0.9999999999999042
spatialDLPFC	SDLPFC_Br2743_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2743	primary_expansion	reverse	SDLPFC_Br2743_ANT_MID__reverse	uot	0.25	2.0	R	I_EXPR	richardson_vector	1500	0.9999988622217167	1.0	8.017433686127377e-05	0.0009864634797126103	2.0449067633228465e-05	0.9987631516959626	0.9999995877054265	1500	0.0012071705627030853	0.001587652923567175	0.0012466734263531763	0.0023027115058735816	1500	0.9999996400652085	0.999999789176674	0.9999996132613345	0.9999998800496686	1500	1500	1500													
spatialDLPFC	SDLPFC_Br2743_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2743	primary_expansion	reverse	SDLPFC_Br2743_ANT_MID__reverse	uot	0.25	2.0	R	I_SPATIAL	richardson_vector	1500	0.9998933830637259	0.9933333333333333	0.0012499124608115694	0.004462151503123151	0.002118896338533643	0.9880268754618975	0.9998455068486289	1500	0.006294586652642394	0.007608338376035442	0.006241034568299686	0.009005628977692548	1500	0.9999915433721938	0.9999931884463763	0.999991504171714	0.9999945933494838	1500	1500	1500													
spatialDLPFC	SDLPFC_Br2743_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2743	primary_expansion	reverse	SDLPFC_Br2743_ANT_MID__reverse	uot	0.25	2.0	N	I_EXPR	richardson_vector	1500	0.9999652657623403	0.9933333333333333	0.0010208591820432258	0.0033110934274557073	-0.0008488263234047269	1.0060843548173062	0.999956081349169	1500	0.00514021722319585	0.006102876354824177	0.005138457693453486	0.007186497821585838	1500	0.9999928200431426	0.9999945656274191	0.9999927280955875	0.9999956510820006	1500	1500	1500													
spatialDLPFC	SDLPFC_Br2743_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2743	primary_expansion	reverse	SDLPFC_Br2743_ANT_MID__reverse	uot	0.25	2.0	N	I_SPATIAL	richardson_vector	1500	0.9999669404297513	1.0	0.001031131169095987	0.0033444099803603836	0.0008764904717135712	0.9938333712826735	0.9999550939042583	1500	0.005196968385252345	0.00617609629405617	0.005190780751165438	0.007276706879583666	1500	0.999992712143634	0.9999944776139421	0.9999926252423075	0.9999955773539931	1500	1500	1500													
