dataset	pair_id	pair_type	independent_unit_id	cohort_role	direction	pair_file_id	method	epsilon	tau	stage	arm	intervention	h	converged	iterations	seconds	last_log_scaling_error	row_mass_l1	col_mass_l1	transported_mass
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	row_softmax	0.25		finite_step	N	I_SPATIAL	0.00125	True	1	0.045170400000642985				1.0
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	row_softmax	0.25		finite_step	N	I_SPATIAL	0.000625	True	1	0.03807710000546649				1.0000000000000007
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	reverse	SDLPFC_Br2720_ANT_MID__reverse	uot	0.25	2.0	base	BASE	NONE	0.0	True	85	3.4972116999997525	3.2129756633025863e-09	0.9359126302328855	0.9359126302328855	1.9359126302328853
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	reverse	SDLPFC_Br2720_ANT_MID__reverse	uot	0.25	2.0	finite_step	R	I_EXPR	0.02	True	85	3.557555199993658	3.223553868281215e-09	0.94041684283498	0.9404168428349801	1.9404168428349797
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	reverse	SDLPFC_Br2720_ANT_MID__reverse	uot	0.25	2.0	finite_step	R	I_EXPR	0.01	True	85	3.5644994000031147	3.218262989435061e-09	0.9381633200176269	0.9381633200176269	1.938163320017627
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	reverse	SDLPFC_Br2720_ANT_MID__reverse	uot	0.25	2.0	finite_step	R	I_EXPR	0.005	True	85	3.5557999000011478	3.215618882279614e-09	0.9370376212344208	0.9370376212344207	1.9370376212344205
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	reverse	SDLPFC_Br2720_ANT_MID__reverse	uot	0.25	2.0	finite_step	R	I_EXPR	0.0025	True	85	3.6981789999990724	3.2142972727911e-09	0.9364750372907061	0.9364750372907061	1.9364750372907067
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	reverse	SDLPFC_Br2720_ANT_MID__reverse	uot	0.25	2.0	finite_step	R	I_EXPR	0.00125	True	85	3.6494863999978406	3.2136364680468432e-09	0.9361938116547782	0.9361938116547781	1.9361938116547772
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	reverse	SDLPFC_Br2720_ANT_MID__reverse	uot	0.25	2.0	finite_step	R	I_EXPR	0.000625	True	85	3.6773099999991246	3.2133060656747148e-09	0.9360532154175422	0.9360532154175423	1.936053215417541
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	reverse	SDLPFC_Br2720_ANT_MID__reverse	uot	0.25	2.0	finite_step	R	I_SPATIAL	0.02	True	85	3.6040981999976793	3.2174556352515538e-09	0.9377116434789887	0.9377116434789886	1.937711643478989
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	reverse	SDLPFC_Br2720_ANT_MID__reverse	uot	0.25	2.0	finite_step	R	I_SPATIAL	0.01	True	85	3.572382300000754	3.215206767492873e-09	0.9368083523339275	0.9368083523339275	1.936808352333926
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	reverse	SDLPFC_Br2720_ANT_MID__reverse	uot	0.25	2.0	finite_step	R	I_SPATIAL	0.005	True	85	3.861891500011552	3.2140894390408903e-09	0.9363595530452447	0.9363595530452447	1.9363595530452438
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	reverse	SDLPFC_Br2720_ANT_MID__reverse	uot	0.25	2.0	finite_step	R	I_SPATIAL	0.0025	True	85	3.742757200001506	3.2135316629933186e-09	0.9361358580559074	0.9361358580559072	1.9361358580559074
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	reverse	SDLPFC_Br2720_ANT_MID__reverse	uot	0.25	2.0	finite_step	R	I_SPATIAL	0.00125	True	85	3.5288753999921028	3.2132536631479525e-09	0.9360241858700264	0.9360241858700263	1.9360241858700262
