dataset	pair_id	pair_type	independent_unit_id	cohort_role	direction	pair_file_id	method	epsilon	tau	arm	intervention	local_to_endpoint_n_estimable	local_to_endpoint_spearman	local_to_endpoint_top_overlap	local_to_endpoint_raw_mae	local_to_endpoint_rmae	local_to_endpoint_intercept	local_to_endpoint_slope	local_to_endpoint_r2	h001_to_endpoint_n_estimable	h001_to_endpoint_spearman	h001_to_endpoint_top_overlap	h001_to_endpoint_raw_mae	h001_to_endpoint_rmae	h001_to_endpoint_intercept	h001_to_endpoint_slope	h001_to_endpoint_r2	path_eta_n_estimable	path_eta_median	path_eta_q90	path_eta_mean	path_eta_maximum	path_kappa_n_estimable	path_kappa_median	path_kappa_q90	path_kappa_mean	path_kappa_maximum	path_length_n_estimable	path_length_median	path_length_q90	path_length_mean	path_length_maximum
Stereo-seq	ST_DEV_E14_5_E15_5	cross_stage	Stereo-seq::shared_developmental_series	legacy_replication	forward	ST_DEV_E14_5_E15_5	uot	0.25	2.0	N	I_EXPR	1500	0.9366926403078403	0.6933333333333334	0.057368877827287626	0.25764845149733967	0.0375079296485183	0.6615239175052879	0.8550113361046321	1500	0.9381098213821429	0.7066666666666667	0.05652385502143614	0.25385338306209804	0.036924997491029864	0.6656152792363631	0.8579426150434702	1500	0.9910752817554054	0.9935544883208732	0.9907260765625188	0.9966765208212415	1500	0.7872457938044238	0.8776662356512459	0.7933349177435441	1.1507136138375036	1500	0.22747368034286927	0.2653411238319383	0.2247922199926879	0.6463891243262476
Stereo-seq	ST_DEV_E14_5_E15_5	cross_stage	Stereo-seq::shared_developmental_series	legacy_replication	forward	ST_DEV_E14_5_E15_5	uot	0.25	2.0	N	I_SPATIAL	1500	0.37147650643400293	0.19333333333333333	0.16183549015116067	0.36718308392187615	0.22242625471996813	0.7800232320128156	0.15487403212850448	1500	0.3742919103519602	0.19333333333333333	0.16101093026890292	0.36531226782237375	0.22135728301368252	0.7814619755242266	0.15683897304547234	1500	0.9491453326189995	0.9663664861423149	0.9469526183801419	0.9816214185835433	1500	1.8437780663145307	2.9125581528119278	1.9615915697240907	3.4130683803090505	1500	0.46648419084529014	0.6161953377111848	0.46661807525582794	0.7767792852715949
Stereo-seq	ST_DEV_E14_5_E15_5	cross_stage	Stereo-seq::shared_developmental_series	legacy_replication	forward	ST_DEV_E14_5_E15_5	row_softmax	0.25		R	I_EXPR	1500	0.9183440134862284	0.8866666666666667	0.03450974598920529	0.17590732115527247	0.017370029852728546	1.1060155867435313	0.8831617111155707	1500	0.9193325401477958	0.8866666666666667	0.034254485033863344	0.1746061736225209	0.017271835926759523	1.1048784770792042	0.8846979131900757	1500	0.9860261796377423	0.9896094871023857	0.9857412948117292	0.9955035014943063	1500	1.2983122304256411	1.4286709082549682	1.305134927209672	1.566401252120445	1500	0.1977958528913003	0.2350533903599008	0.19905143147836557	0.2881091338952032
Stereo-seq	ST_DEV_E14_5_E15_5	cross_stage	Stereo-seq::shared_developmental_series	legacy_replication	forward	ST_DEV_E14_5_E15_5	row_softmax	0.25		R	I_SPATIAL	1500	0.3382686232304992	0.10666666666666667	0.19126625662939303	0.4156885589630857	0.2568563722918726	0.7560371376958894	0.12969630661445652	1500	0.3421402836179039	0.10666666666666667	0.1902203288863426	0.41341539168334646	0.2548054900279471	0.7607060063909806	0.13237088683703746	1500	0.941498457589483	0.9733892299354036	0.9394357402283062	0.9851510755257836	1500	2.0417185630467434	3.0018798886391322	2.1340247832887993	3.6213339049573228	1500	0.49841352223256996	0.6316572295831135	0.4927495137109745	0.7633805850893677
Stereo-seq	ST_DEV_E14_5_E15_5	cross_stage	Stereo-seq::shared_developmental_series	legacy_replication	forward	ST_DEV_E14_5_E15_5	row_softmax	0.25		N	I_EXPR	1500	0.8932354618824276	0.8133333333333334	0.042434375357608876	0.16602220429165707	0.03665170062874741	0.7351358287864005	0.8220187637893535	1500	0.8958375074833368	0.8133333333333334	0.04163051603740498	0.16287714806882017	0.03609521014462112	0.7390125113370816	0.82601260318143	1500	0.9653140003969098	0.9767575739527343	0.963750345506905	0.9875503813615709	1500	0.9361656766783761	1.062903931902131	0.9395672046873903	1.1550398561946569	1500	0.2588664205464223	0.3406890596274936	0.2655239584453022	0.434675237988007
Stereo-seq	ST_DEV_E14_5_E15_5	cross_stage	Stereo-seq::shared_developmental_series	legacy_replication	forward	ST_DEV_E14_5_E15_5	row_softmax	0.25		N	I_SPATIAL	1500	0.35489762973227995	0.22	0.17131187757923375	0.3653693850808448	0.2632677705110635	0.6903528827476224	0.16747878677242467	1500	0.3581855458602426	0.22666666666666666	0.17049190620699975	0.36362057209548443	0.26152725747945554	0.6942858695198846	0.17035984359807999	1500	0.9426587718520786	0.9711180981362703	0.9332312730076889	0.9826055457284386	1500	1.8815605617960585	3.126439656444307	2.0310912397896015	4.091931163686292	1500	0.5137093150254863	0.6759261279268556	0.5067554699682975	0.8753947134797406
Stereo-seq	ST_DEV_E14_5_E15_5	cross_stage	Stereo-seq::shared_developmental_series	legacy_replication	reverse	ST_DEV_E14_5_E15_5__reverse	balanced_ot	0.25		R	I_EXPR	1500	0.9965546046909355	0.8866666666666667	0.0020501977816554653	0.031773833109558176	0.0033534839013001907	0.9359448586800636	0.9603754387348403	1500	0.9966249051666247	0.8866666666666667	0.0020295104045548722	0.031453221472305316	0.003296301574055005	0.9368714449327507	0.9612265108485366	1500	0.9990013857066926	0.9996511401333351	0.9986078689878991	0.9999367711213337	1500	0.9858229923228119	1.0345674241225775	0.985277025053917	1.0793664967815015	1500	0.057994668594048226	0.103462173975563	0.06461582005835113	0.18079612436136738
Stereo-seq	ST_DEV_E14_5_E15_5	cross_stage	Stereo-seq::shared_developmental_series	legacy_replication	reverse	ST_DEV_E14_5_E15_5__reverse	balanced_ot	0.25		R	I_SPATIAL	1500	0.17301396489509552	0.006666666666666667	0.18678945340212166	0.4071581435379959	0.3590939940472735	0.366361741192004	0.02816789253809815	1500	0.17626908811959474	0.006666666666666667	0.18574741734576075	0.4048867440639893	0.357370666658225	0.3712529943351673	0.029284804285042543	1500	0.9374192967100732	0.9586308182957071	0.9360677347888052	0.9779870859084127	1500	2.075243409929084	3.1407520473595283	2.1296263269124	3.5855128569948205	1500	0.4917913198801135	0.6459675662408286	0.4912796869834307	0.7202862590035604
Stereo-seq	ST_DEV_E14_5_E15_5	cross_stage	Stereo-seq::shared_developmental_series	legacy_replication	reverse	ST_DEV_E14_5_E15_5__reverse	balanced_ot	0.25		N	I_EXPR	1500	0.94202917245741	0.7266666666666667	0.07085179005983146	0.35934174586149537	0.05700488075076074	0.5229635286794573	0.8923388552046854	1500	0.9432824992366664	0.7266666666666667	0.069846576894946	0.35424356763158943	0.05644179201390215	0.5270410817801229	0.8945500420885577	1500	0.9868967988903539	0.9906675524882662	0.986672099607617	0.9961278159956064	1500	0.7067477160366165	0.8197457782722939	0.7219684744391183	0.9456056790815688	1500	0.20045640185118924	0.2343547133071568	0.19987990315995796	0.30368795325384224
Stereo-seq	ST_DEV_E14_5_E15_5	cross_stage	Stereo-seq::shared_developmental_series	legacy_replication	reverse	ST_DEV_E14_5_E15_5__reverse	balanced_ot	0.25		N	I_SPATIAL	1500	0.43268868297274804	0.07333333333333333	0.1768724713457366	0.3977378242800268	0.1943689091909357	0.9339771909995642	0.18125450177611535	1500	0.43549965666651413	0.07333333333333333	0.17587945694941878	0.39550480643126185	0.19364750249977442	0.933138430946302	0.18330750095259174	1500	0.9384050147671965	0.9594515615580568	0.9356571783937655	0.974637731375851	1500	1.9917104025362704	3.0002403102846777	2.0800507306256772	4.195073697326998	1500	0.466272400423946	0.6544667937566412	0.47683033135603786	0.8361655807550052
