method,epsilon,tau,grid_role,arm,intervention,score,claim_status,gate_family,independent_units,median_spearman,median_top_decile_overlap,median_nmae,unit_gate_pass_fraction,spearman_gate_pass,overlap_gate_pass,nmae_gate_pass,gate_pass,witness,median_nex_aurc,median_relative_fixed_qc_gain,positive_unit_fraction,positive_technology_count,leave_one_unit_out_fixed_qc_low,negative_control_pass_fraction,leakage_control_pass_fraction,confound_direction_pass_fraction,sensitivity_external_gate,sensitivity_external_gate_with_controls,registered_gate_status,confirmatory
row_softmax,0.1,,epsilon_scan,R,I_SPATIAL,matched_finite_difference,post-review sensitivity analysis; amended sample expansion,internal_fidelity,21,0.19469902734800879,0.3533333333333334,5.049815456871592,0.0,False,False,False,False,,,,,,,,,,,,,
row_softmax,0.1,,epsilon_scan,R,I_SPATIAL,registered_finite_difference_fixed_score,post-review sensitivity analysis; amended sample expansion,internal_fidelity,21,0.19469902734800879,0.3533333333333334,5.049815456871592,0.0,False,False,False,False,,,,,,,,,,,,,
row_softmax,0.25,,baseline,N,I_EXPR,matched_finite_difference,post-review sensitivity analysis; amended sample expansion,internal_fidelity,21,0.9097408225117627,0.7033333333333334,3.0757432686129667,0.0,True,True,False,False,,,,,,,,,,,,,
row_softmax,0.25,,baseline,N,I_EXPR,registered_finite_difference_fixed_score,post-review sensitivity analysis; amended sample expansion,internal_fidelity,21,0.3366000678222524,0.40336134453781514,5.506893789650409,0.0,False,False,False,False,,,,,,,,,,,,,
row_softmax,0.25,,baseline,N,I_SPATIAL,matched_finite_difference,post-review sensitivity analysis; amended sample expansion,internal_fidelity,21,0.7127215681359965,0.43333333333333335,2.3364681716304982,0.0,True,False,False,False,,,,,,,,,,,,,
row_softmax,0.25,,baseline,N,I_SPATIAL,registered_finite_difference_fixed_score,post-review sensitivity analysis; amended sample expansion,internal_fidelity,21,0.8402349529933125,0.5733333333333334,2.5227578174995853,0.0,True,False,False,False,,,,,,,,,,,,,
row_softmax,0.25,,baseline,R,I_EXPR,matched_finite_difference,post-review sensitivity analysis; amended sample expansion,internal_fidelity,21,0.9882216939669447,0.8733333333333333,0.5322301963563859,0.6666666666666666,True,True,True,True,,,,,,,,,,,,,
row_softmax,0.25,,baseline,R,I_EXPR,registered_finite_difference_fixed_score,post-review sensitivity analysis; amended sample expansion,internal_fidelity,21,0.9882216939669447,0.8733333333333333,0.5322301963563859,0.6666666666666666,True,True,True,True,,,,,,,,,,,,,
row_softmax,0.25,,baseline,R,I_SPATIAL,matched_finite_difference,post-review sensitivity analysis; amended sample expansion,internal_fidelity,21,0.8074629170946298,0.5133333333333333,2.4848416053518823,0.0,True,False,False,False,,,,,,,,,,,,,
row_softmax,0.25,,baseline,R,I_SPATIAL,registered_finite_difference_fixed_score,post-review sensitivity analysis; amended sample expansion,internal_fidelity,21,0.8074629170946298,0.5133333333333333,2.4848416053518823,0.0,True,False,False,False,,,,,,,,,,,,,
