dataset	pair_type	biological_pair_id	independent_unit_id	cohort_role	method	epsilon	tau	arm	intervention	h001_spearman	h001_top_overlap	h001_rmae	vector_relative_l1_median	direction_cosine_median	neighborhood_error_median	neighborhood_error_q90
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_C1_CONTROLLED	HER2ST::C	manual_truth_controlled	uot	0.25	2.0	R	I_SPATIAL	0.999779561849027	1.0	0.004254684267886472	0.006356112883250359	0.999990304429057	0.011620073632667233	0.015442103611365254
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_D1_CONTROLLED	HER2ST::D	manual_truth_controlled	balanced_ot	0.25		N	I_EXPR	0.9998929915713595	1.0	0.003995018109717497	0.005879244926042472	0.9999924779344005	0.01048293043260758	0.01400689571880588
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_D1_CONTROLLED	HER2ST::D	manual_truth_controlled	balanced_ot	0.25		N	I_SPATIAL	0.9999078446783043	1.0	0.004036406692093983	0.005935637019485117	0.9999923551090886	0.010823939806305777	0.014603841024659371
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_D1_CONTROLLED	HER2ST::D	manual_truth_controlled	balanced_ot	0.25		R	I_EXPR	0.9999939671168396	1.0	0.0004426321873191068	0.0005225747694517892	0.999999810186526	0.0005523828676042119	0.001649853146335597
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_D1_CONTROLLED	HER2ST::D	manual_truth_controlled	balanced_ot	0.25		R	I_SPATIAL	0.9998893502595836	1.0	0.004020283577856233	0.005966098959509393	0.9999925986524967	0.010753095980994165	0.014466949643813419
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_D1_CONTROLLED	HER2ST::D	manual_truth_controlled	row_softmax	0.25		N	I_EXPR	0.9998665586382001	1.0	0.0038594553130623516	0.005706896224301022	0.9999924803545958	0.00995928222372395	0.01305606025615972
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_D1_CONTROLLED	HER2ST::D	manual_truth_controlled	row_softmax	0.25		N	I_SPATIAL	0.999918321585255	0.9807692307692308	0.0038935829853786095	0.005761740061195045	0.9999923764693314	0.010200243213055037	0.01354436281423186
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_D1_CONTROLLED	HER2ST::D	manual_truth_controlled	row_softmax	0.25		R	I_EXPR	0.999988590124566	1.0	0.0001523541093194244	0.0007000050035641519	0.9999996374876505	0.0003151340186175509	0.0007118282696360158
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_D1_CONTROLLED	HER2ST::D	manual_truth_controlled	row_softmax	0.25		R	I_SPATIAL	0.9999235232356254	0.9761904761904762	0.003917861934912814	0.005775937744909738	0.9999928803567733	0.010178602280484535	0.013327085052163398
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_D1_CONTROLLED	HER2ST::D	manual_truth_controlled	uot	0.25	2.0	N	I_EXPR	0.9998820961568073	1.0	0.0033740338473028705	0.004992801006036888	0.9999938411308236	0.008877659531950851	0.01211382067041682
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_D1_CONTROLLED	HER2ST::D	manual_truth_controlled	uot	0.25	2.0	N	I_SPATIAL	0.9998894519952773	1.0	0.003407323131925634	0.005045400934497227	0.9999937464837636	0.009193576244416706	0.012554028191789739
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_D1_CONTROLLED	HER2ST::D	manual_truth_controlled	uot	0.25	2.0	R	I_EXPR	0.9999932603581059	1.0	0.0004955736892970195	0.0005750647500273414	0.999999938811116	0.00137370615428656	0.0015115192124979945
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_D1_CONTROLLED	HER2ST::D	manual_truth_controlled	uot	0.25	2.0	R	I_SPATIAL	0.9999114971636158	1.0	0.004236250450786699	0.006148663443021157	0.999991642276586	0.011279985733337189	0.015021227149586383
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_E1_CONTROLLED	HER2ST::E	manual_truth_controlled	balanced_ot	0.25		N	I_EXPR	0.99993812934869	1.0	0.00401895976435653	0.005771981804027802	0.9999926425908352	0.010503804322651474	0.013812572646457251
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_E1_CONTROLLED	HER2ST::E	manual_truth_controlled	balanced_ot	0.25		N	I_SPATIAL	0.9999342916121594	1.0	0.004056011774740076	0.005836056588341488	0.9999925487158904	0.010746574216673533	0.014192632610011703
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_E1_CONTROLLED	HER2ST::E	manual_truth_controlled	balanced_ot	0.25		R	I_EXPR	0.9999971722657215	1.0	0.0002589075595501219	0.0005678044029250045	0.9999995335363431	0.0005503058364571469	0.001128415393720009
