threshold_set	independent_unit_id	cohort_role	method	epsilon	tau	arm	intervention	h001_spearman	h001_top_overlap	h001_rmae	vector_relative_l1_median	direction_cosine_median	neighborhood_error_median	neighborhood_error_q90	biological_pairs	gate_pass	sensitivity_gate_pass
prespecified	HER2ST::E	manual_truth_controlled	uot	0.25	2.0	N	I_EXPR	0.9999350854741458	1.0	0.0033490443159859	0.0049175935770929	0.9999934393689514	0.0087032446194822	0.0121146295317248	1	True	True
prespecified	HER2ST::E	manual_truth_controlled	uot	0.25	2.0	N	I_SPATIAL	0.9999346236569806	0.9791128337639964	0.0033837623945187	0.0049713297126593	0.9999933402405042	0.008991659243648	0.0125469147533392	1	True	True
prespecified	HER2ST::E	manual_truth_controlled	uot	0.25	2.0	R	I_EXPR	0.9999968860128694	1.0	0.0004763693953639	0.0005815622132814	0.9999997597293088	0.0012773071095876	0.0014435559875109	1	True	True
prespecified	HER2ST::E	manual_truth_controlled	uot	0.25	2.0	R	I_SPATIAL	0.9999430819319148	1.0	0.0042751583055408	0.0061562244613008	0.9999911308010984	0.0113854823705914	0.0150469336111933	1	True	True
prespecified	HER2ST::F	manual_truth_controlled	balanced_ot	0.25		N	I_EXPR	0.9999347220186384	0.9905660377358492	0.0040102156381356	0.005793271360624	0.9999925113956198	0.01064421802548	0.014000152109955	1	True	True
prespecified	HER2ST::F	manual_truth_controlled	balanced_ot	0.25		N	I_SPATIAL	0.9999292494071684	1.0	0.0040470034703784	0.0058499064696185	0.9999923941537692	0.0108587119544976	0.0144232292680531	1	True	True
prespecified	HER2ST::F	manual_truth_controlled	balanced_ot	0.25		R	I_EXPR	0.9999972281244924	1.0	0.000202645656366	0.0004395518783005	0.9999996400343536	0.0003598862949423	0.0008912218008184	1	True	True
prespecified	HER2ST::F	manual_truth_controlled	balanced_ot	0.25		R	I_SPATIAL	0.9999302429852356	1.0	0.0040422410088682	0.0058421729647935	0.9999927264070146	0.0109346503812226	0.0143562694099549	1	True	True
prespecified	HER2ST::F	manual_truth_controlled	row_softmax	0.25		N	I_EXPR	0.9999453393488192	0.9829902801600916	0.0038395652338458	0.0057917392488943	0.9999919623329834	0.0101799217508252	0.0124393746036852	1	True	True
prespecified	HER2ST::F	manual_truth_controlled	row_softmax	0.25		N	I_SPATIAL	0.999934184847358	1.0	0.0038744393592431	0.005851548251236	0.9999918494960708	0.0104288003577592	0.0128251417779049	1	True	True
prespecified	HER2ST::F	manual_truth_controlled	row_softmax	0.25		R	I_EXPR	0.9999947967421272	1.0	7.403036632272883e-05	0.0006487445441443	0.999999525206581	0.0001574438869393	0.0003654602599824	1	True	True
prespecified	HER2ST::F	manual_truth_controlled	row_softmax	0.25		R	I_SPATIAL	0.9999504338452412	1.0	0.0038962318908396	0.0058073976855577	0.99999263793789	0.0104592641492768	0.0128212399105077	1	True	True
prespecified	HER2ST::F	manual_truth_controlled	uot	0.25	2.0	N	I_EXPR	0.9999343422115368	1.0	0.0033483754747431	0.0049207322695067	0.9999934655822116	0.0087854963921706	0.0121144280837628	1	True	True
prespecified	HER2ST::F	manual_truth_controlled	uot	0.25	2.0	N	I_SPATIAL	0.9999303483745288	0.9829902801600916	0.0033810751226542	0.004973429995944	0.9999933775352724	0.0090935161222618	0.0126439621783895	1	True	True
prespecified	HER2ST::F	manual_truth_controlled	uot	0.25	2.0	R	I_EXPR	0.9999973454904028	1.0	0.0005177056008144	0.0005828823702268	0.9999998813988792	0.0013820962614132	0.0015481851785629	1	True	True
prespecified	HER2ST::F	manual_truth_controlled	uot	0.25	2.0	R	I_SPATIAL	0.9999263895552256	1.0	0.0042448534522513	0.0061130888096008	0.9999911516219652	0.0113899917827435	0.0150643719885637	1	True	True
prespecified	HER2ST::G	manual_truth_controlled	balanced_ot	0.25		N	I_EXPR	0.9997829035178328	1.0	0.0041269264787118	0.0061348579482308	0.999992044374556	0.0114468164611786	0.0139729875604795	1	True	True
prespecified	HER2ST::G	manual_truth_controlled	balanced_ot	0.25		N	I_SPATIAL	0.9997457242836014	1.0	0.0041698435584925	0.0062023047852866	0.999991932342188	0.011718804553154	0.014486958796223	1	True	True
prespecified	HER2ST::G	manual_truth_controlled	balanced_ot	0.25		R	I_EXPR	0.999994383789348	1.0	0.0003192329791082	0.0005677738342909	0.9999996960252217	0.0005631598465508	0.0015327874447023	1	True	True
prespecified	HER2ST::G	manual_truth_controlled	balanced_ot	0.25		R	I_SPATIAL	0.9997367999587824	1.0	0.0042099330692586	0.0062205086148583	0.9999924361575504	0.0118485289176272	0.0146953138152654	1	True	True
