independent_unit_id	cohort_role	method	epsilon	tau	arm	intervention	h	h_spearman	h_top_overlap	h_rmae	scalar_gate_pass
HER2ST::B	manual_truth_controlled	balanced_ot	0.25		N	I_SPATIAL	0.000625	0.9999948108331238	1.0	0.00024697754572038246	True
HER2ST::B	manual_truth_controlled	balanced_ot	0.25		N	I_SPATIAL	0.00125	0.9999893134181449	1.0	0.0004939927641959007	True
HER2ST::B	manual_truth_controlled	balanced_ot	0.25		N	I_SPATIAL	0.0025	0.9999792433324953	1.0	0.000988509559409544	True
HER2ST::B	manual_truth_controlled	balanced_ot	0.25		N	I_SPATIAL	0.005	0.999943650525026	1.0	0.001979175691310296	True
HER2ST::B	manual_truth_controlled	balanced_ot	0.25		N	I_SPATIAL	0.01	0.9998422546531385	1.0	0.003967520838678889	True
HER2ST::B	manual_truth_controlled	balanced_ot	0.25		N	I_SPATIAL	0.02	0.9995235813195282	1.0	0.007973354700643339	True
HER2ST::B	manual_truth_controlled	balanced_ot	0.25		R	I_EXPR	0.000625	1.0	1.0	4.5249137385194394e-05	True
HER2ST::B	manual_truth_controlled	balanced_ot	0.25		R	I_EXPR	0.00125	1.0	1.0	9.048970187889864e-05	True
HER2ST::B	manual_truth_controlled	balanced_ot	0.25		R	I_EXPR	0.0025	0.9999996917518972	1.0	0.00018090907934542174	True
HER2ST::B	manual_truth_controlled	balanced_ot	0.25		R	I_EXPR	0.005	0.9999993835037945	1.0	0.00036157355395406677	True
HER2ST::B	manual_truth_controlled	balanced_ot	0.25		R	I_EXPR	0.01	0.9999951446066617	1.0	0.0007223900429210154	True
HER2ST::B	manual_truth_controlled	balanced_ot	0.25		R	I_EXPR	0.02	0.999990301976041	1.0	0.0014418756935511475	True
HER2ST::B	manual_truth_controlled	balanced_ot	0.25		R	I_SPATIAL	0.000625	0.9999914966802992	1.0	0.00025701828610717834	True
HER2ST::B	manual_truth_controlled	balanced_ot	0.25		R	I_SPATIAL	0.00125	0.9999820558535728	1.0	0.0005140803850606722	True
HER2ST::B	manual_truth_controlled	balanced_ot	0.25		R	I_SPATIAL	0.0025	0.9999674130972523	1.0	0.0010286752702711346	True
HER2ST::B	manual_truth_controlled	balanced_ot	0.25		R	I_SPATIAL	0.005	0.9998972288029273	1.0	0.002059784720215901	True
HER2ST::B	manual_truth_controlled	balanced_ot	0.25		R	I_SPATIAL	0.01	0.9997453529327353	1.0	0.004130219945709652	True
HER2ST::B	manual_truth_controlled	balanced_ot	0.25		R	I_SPATIAL	0.02	0.9991810679999373	1.0	0.008302208628205712	True
HER2ST::B	manual_truth_controlled	row_softmax	0.25		N	I_EXPR	0.000625	0.9999969558071253	1.0	0.00023768980038267943	True
HER2ST::B	manual_truth_controlled	row_softmax	0.25		N	I_EXPR	0.00125	0.9999960438255349	1.0	0.0004753145644503137	True
HER2ST::B	manual_truth_controlled	row_softmax	0.25		N	I_EXPR	0.0025	0.9999890434581948	1.0	0.0009501631270619329	True
HER2ST::B	manual_truth_controlled	row_softmax	0.25		N	I_EXPR	0.005	0.9999796026314685	1.0	0.001898201520256159	True
HER2ST::B	manual_truth_controlled	row_softmax	0.25		N	I_EXPR	0.01	0.9999643689043778	1.0	0.003787804814559991	True
HER2ST::B	manual_truth_controlled	row_softmax	0.25		N	I_EXPR	0.02	0.9999229576711093	1.0	0.0075393166997116965	True
HER2ST::B	manual_truth_controlled	row_softmax	0.25		N	I_SPATIAL	0.000625	0.9999987797703065	1.0	0.00023792367238654696	True
HER2ST::B	manual_truth_controlled	row_softmax	0.25		N	I_SPATIAL	0.00125	0.9999951318439442	0.9814814814814814	0.0004758904061057278	True
HER2ST::B	manual_truth_controlled	row_softmax	0.25		N	I_SPATIAL	0.0025	0.9999929996326602	0.9814814814814814	0.0009522036226459782	True
HER2ST::B	manual_truth_controlled	row_softmax	0.25		N	I_SPATIAL	0.005	0.9999868984841933	0.9814814814814814	0.001906790253918288	True
HER2ST::B	manual_truth_controlled	row_softmax	0.25		N	I_SPATIAL	0.01	0.9999780996791074	0.9814814814814814	0.003823080498199193	True
HER2ST::B	manual_truth_controlled	row_softmax	0.25		N	I_SPATIAL	0.02	0.9999376514782998	0.9814814814814814	0.0076806144891777995	True
HER2ST::B	manual_truth_controlled	row_softmax	0.25		R	I_EXPR	0.000625	0.9999984842849214	1.0	3.1166879183267725e-05	True
HER2ST::B	manual_truth_controlled	row_softmax	0.25		R	I_EXPR	0.00125	0.9999963393109199	1.0	6.233602079252088e-05	True
HER2ST::B	manual_truth_controlled	row_softmax	0.25		R	I_EXPR	0.0025	0.9999941815742007	1.0	0.00012467037985035284	True
HER2ST::B	manual_truth_controlled	row_softmax	0.25		R	I_EXPR	0.005	0.9999895961408124	1.0	0.0002493166842736853	True
HER2ST::B	manual_truth_controlled	row_softmax	0.25		R	I_EXPR	0.01	0.999978023102802	1.0	0.0004985238104192188	True
HER2ST::B	manual_truth_controlled	row_softmax	0.25		R	I_EXPR	0.02	0.9999542605305755	1.0	0.0009966654567931138	True
HER2ST::B	manual_truth_controlled	row_softmax	0.25		R	I_SPATIAL	0.000625	0.9999972640552282	1.0	0.0002465526917462624	True
HER2ST::B	manual_truth_controlled	row_softmax	0.25		R	I_SPATIAL	0.00125	0.9999957228147145	1.0	0.0004931413431838445	True
HER2ST::B	manual_truth_controlled	row_softmax	0.25		R	I_SPATIAL	0.0025	0.9999926913845574	1.0	0.0009867044281413884	True
HER2ST::B	manual_truth_controlled	row_softmax	0.25		R	I_SPATIAL	0.005	0.9999808228611617	1.0	0.001975420502527031	True
HER2ST::B	manual_truth_controlled	row_softmax	0.25		R	I_SPATIAL	0.01	0.9999559038728297	0.9772727272727273	0.003960179795667305	True
HER2ST::B	manual_truth_controlled	row_softmax	0.25		R	I_SPATIAL	0.02	0.9999109595776569	0.9772727272727273	0.007957231697677397	True
HER2ST::B	manual_truth_controlled	uot	0.25	2.0	N	I_EXPR	0.000625	0.9999966603217403	1.0	0.00020730283237220705	True
HER2ST::B	manual_truth_controlled	uot	0.25	2.0	N	I_EXPR	0.00125	0.9999936033661481	1.0	0.00041458737340728616	True
HER2ST::B	manual_truth_controlled	uot	0.25	2.0	N	I_EXPR	0.0025	0.9999829550724457	1.0	0.0008288322503304459	True
HER2ST::B	manual_truth_controlled	uot	0.25	2.0	N	I_EXPR	0.005	0.9999500599215954	1.0	0.0016559778002239753	True
