dataset	biological_pair_id	independent_unit_id	pair_id	direction	method	max_probability__retained_loss_at_80pct_coverage	max_probability__retained_loss_at_90pct_coverage	top2_margin__retained_loss_at_80pct_coverage	top2_margin__retained_loss_at_90pct_coverage	max_probability_precision_at_80pct	top2_margin_precision_at_80pct	margin_minus_max_precision_at_80pct	max_probability_precision_at_90pct	top2_margin_precision_at_90pct	margin_minus_max_precision_at_90pct
HER2ST_manual_controlled	HER2ST_C1_CONTROLLED	HER2ST::C	HER2ST_C1_CONTROLLED__reverse	reverse	row_softmax	0.1759259259259259	0.1652892561983471	0.0925925925925925	0.140495867768595	0.8240740740740741	0.9074074074074074	0.08333333333333337	0.8347107438016529	0.859504132231405	0.024793388429752095
HER2ST_manual_controlled	HER2ST_D1_CONTROLLED	HER2ST::D	HER2ST_D1_CONTROLLED	forward	balanced_ot	0.3048780487804878	0.3152173913043478	0.2439024390243902	0.2989130434782608	0.6951219512195121	0.7560975609756098	0.060975609756097615	0.6847826086956522	0.7010869565217392	0.01630434782608703
HER2ST_manual_controlled	HER2ST_D1_CONTROLLED	HER2ST::D	HER2ST_D1_CONTROLLED	forward	uot	0.2012195121951219	0.1956521739130435	0.1036585365853658	0.1630434782608695	0.7987804878048781	0.8963414634146342	0.09756097560975607	0.8043478260869565	0.8369565217391305	0.03260869565217395
HER2ST_manual_controlled	HER2ST_D1_CONTROLLED	HER2ST::D	HER2ST_D1_CONTROLLED	forward	row_softmax	0.1341463414634146	0.1304347826086956	0.048780487804878	0.0760869565217391	0.8658536585365855	0.951219512195122	0.08536585365853655	0.8695652173913044	0.9239130434782609	0.05434782608695643
HER2ST_manual_controlled	HER2ST_D1_CONTROLLED	HER2ST::D	HER2ST_D1_CONTROLLED__reverse	reverse	balanced_ot	0.3841463414634146	0.3641304347826087	0.2560975609756097	0.3260869565217391	0.6158536585365855	0.7439024390243902	0.12804878048780477	0.6358695652173914	0.673913043478261	0.03804347826086962
HER2ST_manual_controlled	HER2ST_D1_CONTROLLED	HER2ST::D	HER2ST_D1_CONTROLLED__reverse	reverse	uot	0.3048780487804878	0.2989130434782608	0.1829268292682926	0.2608695652173913	0.6951219512195121	0.8170731707317074	0.12195121951219523	0.7010869565217392	0.7391304347826086	0.0380434782608694
HER2ST_manual_controlled	HER2ST_D1_CONTROLLED	HER2ST::D	HER2ST_D1_CONTROLLED__reverse	reverse	row_softmax	0.0670731707317073	0.0597826086956521	0.0060975609756097	0.0108695652173913	0.9329268292682927	0.9939024390243903	0.060975609756097615	0.9402173913043479	0.9891304347826086	0.048913043478260754
HER2ST_manual_controlled	HER2ST_E1_CONTROLLED	HER2ST::E	HER2ST_E1_CONTROLLED	forward	uot	0.0204678362573099	0.0233766233766233	0.0	0.0	0.9795321637426901	1.0	0.020467836257309857	0.9766233766233767	1.0	0.023376623376623273
HER2ST_manual_controlled	HER2ST_E1_CONTROLLED	HER2ST::E	HER2ST_E1_CONTROLLED	forward	row_softmax	0.0614035087719298	0.0571428571428571	0.0175438596491228	0.0285714285714285	0.9385964912280702	0.9824561403508772	0.04385964912280704	0.942857142857143	0.9714285714285715	0.02857142857142858
HER2ST_manual_controlled	HER2ST_E1_CONTROLLED	HER2ST::E	HER2ST_E1_CONTROLLED	forward	balanced_ot	0.1783625730994152	0.1766233766233766	0.0380116959064327	0.1194805194805194	0.8216374269005848	0.9619883040935673	0.14035087719298245	0.8233766233766234	0.8805194805194806	0.05714285714285716
HER2ST_manual_controlled	HER2ST_E1_CONTROLLED	HER2ST::E	HER2ST_E1_CONTROLLED__reverse	reverse	uot	0.1578947368421052	0.1532467532467532	0.0175438596491228	0.0909090909090909	0.8421052631578948	0.9824561403508772	0.14035087719298245	0.8467532467532468	0.9090909090909091	0.06233766233766225
HER2ST_manual_controlled	HER2ST_E1_CONTROLLED	HER2ST::E	HER2ST_E1_CONTROLLED__reverse	reverse	row_softmax	0.0321637426900584	0.0285714285714285	0.0	0.0025974025974025	0.9678362573099416	1.0	0.032163742690058394	0.9714285714285715	0.9974025974025975	0.025974025974025983
HER2ST_manual_controlled	HER2ST_E1_CONTROLLED	HER2ST::E	HER2ST_E1_CONTROLLED__reverse	reverse	balanced_ot	0.2923976608187134	0.2779220779220779	0.1169590643274853	0.1974025974025974	0.7076023391812867	0.8830409356725147	0.17543859649122806	0.7220779220779221	0.8025974025974025	0.08051948051948044
HER2ST_manual_controlled	HER2ST_F1_CONTROLLED	HER2ST::F	HER2ST_F1_CONTROLLED	forward	uot	0.0805687203791469	0.0757894736842105	0.0023696682464454	0.0231578947368421	0.9194312796208531	0.9976303317535546	0.07819905213270151	0.9242105263157895	0.976842105263158	0.052631578947368474
HER2ST_manual_controlled	HER2ST_F1_CONTROLLED	HER2ST::F	HER2ST_F1_CONTROLLED	forward	row_softmax	0.0165876777251184	0.0147368421052631	0.0	0.0	0.9834123222748816	1.0	0.016587677725118377	0.985263157894737	1.0	0.014736842105263048
HER2ST_manual_controlled	HER2ST_F1_CONTROLLED	HER2ST::F	HER2ST_F1_CONTROLLED	forward	balanced_ot	0.1824644549763033	0.1684210526315789	0.0379146919431279	0.0989473684210526	0.8175355450236967	0.9620853080568721	0.14454976303317535	0.8315789473684211	0.9010526315789474	0.06947368421052635
HER2ST_manual_controlled	HER2ST_F1_CONTROLLED	HER2ST::F	HER2ST_F1_CONTROLLED__reverse	reverse	uot	0.0853080568720379	0.0778947368421052	0.0165876777251184	0.0336842105263157	0.9146919431279621	0.9834123222748816	0.06872037914691953	0.9221052631578948	0.9663157894736844	0.04421052631578959
HER2ST_manual_controlled	HER2ST_F1_CONTROLLED	HER2ST::F	HER2ST_F1_CONTROLLED__reverse	reverse	row_softmax	0.0165876777251184	0.0189473684210526	0.0	0.0021052631578947	0.9834123222748816	1.0	0.016587677725118377	0.9810526315789474	0.9978947368421053	0.01684210526315788
HER2ST_manual_controlled	HER2ST_F1_CONTROLLED	HER2ST::F	HER2ST_F1_CONTROLLED__reverse	reverse	balanced_ot	0.2725118483412322	0.2442105263157894	0.1161137440758293	0.1726315789473684	0.7274881516587678	0.8838862559241707	0.1563981042654029	0.7557894736842106	0.8273684210526315	0.07157894736842096
HER2ST_manual_controlled	HER2ST_G2_CONTROLLED	HER2ST::G	HER2ST_G2_CONTROLLED	forward	uot	0.2674418604651162	0.2551724137931034	0.1162790697674418	0.193103448275862	0.7325581395348838	0.8837209302325582	0.15116279069767435	0.7448275862068966	0.806896551724138	0.06206896551724139
HER2ST_manual_controlled	HER2ST_G2_CONTROLLED	HER2ST::G	HER2ST_G2_CONTROLLED	forward	balanced_ot	0.3178294573643411	0.3172413793103448	0.189922480620155	0.2551724137931034	0.6821705426356589	0.8100775193798451	0.12790697674418616	0.6827586206896552	0.7448275862068966	0.06206896551724139
HER2ST_manual_controlled	HER2ST_G2_CONTROLLED	HER2ST::G	HER2ST_G2_CONTROLLED	forward	row_softmax	0.2829457364341085	0.2724137931034482	0.1666666666666666	0.2241379310344827	0.7170542635658915	0.8333333333333334	0.11627906976744184	0.7275862068965517	0.7758620689655173	0.048275862068965614
HER2ST_manual_controlled	HER2ST_G2_CONTROLLED	HER2ST::G	HER2ST_G2_CONTROLLED__reverse	reverse	uot	0.3023255813953488	0.2827586206896552	0.1201550387596899	0.1793103448275862	0.6976744186046512	0.8798449612403101	0.1821705426356589	0.7172413793103448	0.8206896551724138	0.10344827586206895
HER2ST_manual_controlled	HER2ST_G2_CONTROLLED	HER2ST::G	HER2ST_G2_CONTROLLED__reverse	reverse	row_softmax	0.2209302325581395	0.2068965517241379	0.0968992248062015	0.1413793103448276	0.7790697674418605	0.9031007751937985	0.12403100775193798	0.7931034482758621	0.8586206896551725	0.06551724137931036
HER2ST_manual_controlled	HER2ST_G2_CONTROLLED	HER2ST::G	HER2ST_G2_CONTROLLED__reverse	reverse	balanced_ot	0.3527131782945736	0.3172413793103448	0.1821705426356589	0.2413793103448276	0.6472868217054264	0.8178294573643411	0.1705426356589147	0.6827586206896552	0.7586206896551724	0.07586206896551717
HER2ST_manual_controlled	HER2ST_H1_CONTROLLED	HER2ST::H	HER2ST_H1_CONTROLLED	forward	uot	0.1147058823529411	0.112565445026178	0.0176470588235294	0.0471204188481675	0.8852941176470589	0.9823529411764707	0.09705882352941175	0.887434554973822	0.9528795811518325	0.06544502617801051
HER2ST_manual_controlled	HER2ST_H1_CONTROLLED	HER2ST::H	HER2ST_H1_CONTROLLED	forward	row_softmax	0.0647058823529411	0.0732984293193717	0.0	0.0261780104712041	0.9352941176470589	1.0	0.06470588235294106	0.9267015706806283	0.973821989528796	0.047120418848167644
HER2ST_manual_controlled	HER2ST_H1_CONTROLLED	HER2ST::H	HER2ST_H1_CONTROLLED	forward	balanced_ot	0.15	0.1465968586387434	0.0411764705882352	0.0916230366492146	0.85	0.9588235294117649	0.10882352941176487	0.8534031413612566	0.9083769633507854	0.054973821989528826
HER2ST_manual_controlled	HER2ST_H1_CONTROLLED	HER2ST::H	HER2ST_H1_CONTROLLED__reverse	reverse	uot	0.0764705882352941	0.0890052356020942	0.0	0.0340314136125654	0.9235294117647059	1.0	0.07647058823529407	0.9109947643979058	0.9659685863874345	0.054973821989528715
HER2ST_manual_controlled	HER2ST_H1_CONTROLLED	HER2ST::H	HER2ST_H1_CONTROLLED__reverse	reverse	row_softmax	0.0617647058823529	0.0759162303664921	0.0205882352941176	0.0549738219895288	0.9382352941176471	0.9794117647058824	0.04117647058823537	0.9240837696335079	0.9450261780104712	0.020942408376963262
HER2ST_manual_controlled	HER2ST_H1_CONTROLLED	HER2ST::H	HER2ST_H1_CONTROLLED__reverse	reverse	balanced_ot	0.1676470588235294	0.1701570680628272	0.0411764705882352	0.1099476439790576	0.8323529411764706	0.9588235294117649	0.12647058823529422	0.8298429319371727	0.8900523560209423	0.060209424083769614
