dataset	pair_id	biological_pair_id	independent_unit_id	direction	method	strategy	coverage	training_positive_precision	top1	top5	top10	mean_reciprocal_rank	median_true_rank	region_label_accuracy	true_pair_cosine
HER2ST_manual_controlled	HER2ST_B1_CONTROLLED__reverse	HER2ST_B1_CONTROLLED	HER2ST::B	reverse	balanced_ot	top2_margin_gate	0.8	0.6350292938637064	0.3405371801215443	0.47964323323056623	0.5631687791014857	0.4229702544509588	16.8	0.4384551948134333	0.7825349131059476
HER2ST_manual_controlled	HER2ST_B1_CONTROLLED__reverse	HER2ST_B1_CONTROLLED	HER2ST::B	reverse	row_softmax	all_top1	1.0	0.8423286016309272	0.8500539210088938	0.9007498192060289	0.9429350791052918	0.8811995930107761	1.0	0.8547050837995915	0.8719371778818257
HER2ST_manual_controlled	HER2ST_B1_CONTROLLED__reverse	HER2ST_B1_CONTROLLED	HER2ST::B	reverse	row_softmax	identity_no_training	0.0		1.0	1.0	1.0	1.0	1.0	1.0	1.0
HER2ST_manual_controlled	HER2ST_B1_CONTROLLED__reverse	HER2ST_B1_CONTROLLED	HER2ST::B	reverse	row_softmax	max_probability_gate	0.8	0.8107308048103608	0.5803423032517541	0.6688336568593867	0.718656669077253	0.634088650246141	6.0	0.6367144977733795	0.8409435724998428
HER2ST_manual_controlled	HER2ST_B1_CONTROLLED__reverse	HER2ST_B1_CONTROLLED	HER2ST::B	reverse	row_softmax	oracle_truth	0.8	1.0	0.6488790773798195	0.794706860021061	0.8335096867506564	0.7181699937640065	3.2	0.6866466207386545	0.8557954353237888
HER2ST_manual_controlled	HER2ST_B1_CONTROLLED__reverse	HER2ST_B1_CONTROLLED	HER2ST::B	reverse	row_softmax	random_gate	0.8	0.842942131770994	0.5305603978736092	0.6447744833098618	0.7029310191705045	0.5941697565813773	7.959999999999999	0.5933833212804019	0.8388104999469126
HER2ST_manual_controlled	HER2ST_B1_CONTROLLED__reverse	HER2ST_B1_CONTROLLED	HER2ST::B	reverse	row_softmax	top2_margin_gate	0.8	0.9481207386850311	0.8403557517857368	0.913992818990345	0.9425392354635302	0.8793525837573661	1.0	0.8636927644349713	0.8677327463341001
HER2ST_manual_controlled	HER2ST_B1_CONTROLLED__reverse	HER2ST_B1_CONTROLLED	HER2ST::B	reverse	uot	all_top1	1.0	0.6418428470754052	0.5096486887679367	0.6539641457009097	0.6875575686065543	0.5803320799960865	9.6	0.5880891663177661	0.8116922226220238
HER2ST_manual_controlled	HER2ST_B1_CONTROLLED__reverse	HER2ST_B1_CONTROLLED	HER2ST::B	reverse	uot	identity_no_training	0.0		1.0	1.0	1.0	1.0	1.0	1.0	1.0
HER2ST_manual_controlled	HER2ST_B1_CONTROLLED__reverse	HER2ST_B1_CONTROLLED	HER2ST::B	reverse	uot	max_probability_gate	0.8	0.6291300921643197	0.2872505360382649	0.42064223093416564	0.48878316142046974	0.36593248960978925	21.2	0.4285134295030386	0.7850547610916669
HER2ST_manual_controlled	HER2ST_B1_CONTROLLED__reverse	HER2ST_B1_CONTROLLED	HER2ST::B	reverse	uot	oracle_truth	0.8	1.0	0.6242733351095548	0.7327725548408379	0.8039812735507936	0.6891475863853035	3.0	0.6854590898133699	0.8520803868982337
HER2ST_manual_controlled	HER2ST_B1_CONTROLLED__reverse	HER2ST_B1_CONTROLLED	HER2ST::B	reverse	uot	random_gate	0.8	0.637892486380923	0.2681972620814778	0.38988873241223565	0.4348540326571005	0.3385079849954554	28.439999999999998	0.3954960098453419	0.7785176191158947
HER2ST_manual_controlled	HER2ST_B1_CONTROLLED__reverse	HER2ST_B1_CONTROLLED	HER2ST::B	reverse	uot	top2_margin_gate	0.8	0.747795936547093	0.518869815653586	0.6496276278562275	0.6926857737347594	0.5861925560604831	9.4	0.5977873355409229	0.8139772148436231
