status	config_sha256	pair_path	pair_sha256	method	converged	iterations	solver_seconds	n_source	n_target
COMPLETED	be2abd5e1bb282b5410ceff2126c8bfbea75ccc0acebadc76a1797a67658e6a4	data/processed/p1_v2_expanded_pairs\HER2ST_F1_CONTROLLED.npz	835c372928242d094551e833badccdc704bd76c4ec9df275ba1e0d53d0f9c989	balanced_ot	True	200	1.0211467000190169	659	527
COMPLETED	be2abd5e1bb282b5410ceff2126c8bfbea75ccc0acebadc76a1797a67658e6a4	data/processed/p1_v2_expanded_pairs\HER2ST_F1_CONTROLLED.npz	835c372928242d094551e833badccdc704bd76c4ec9df275ba1e0d53d0f9c989	uot	True	80	0.4102456999826245	659	527
COMPLETED	be2abd5e1bb282b5410ceff2126c8bfbea75ccc0acebadc76a1797a67658e6a4	data/processed/p1_v2_expanded_pairs\HER2ST_F1_CONTROLLED.npz	835c372928242d094551e833badccdc704bd76c4ec9df275ba1e0d53d0f9c989	row_softmax	True	1	0.005848900007549673	659	527
COMPLETED	be2abd5e1bb282b5410ceff2126c8bfbea75ccc0acebadc76a1797a67658e6a4	data/processed/p1_v2_expanded_pairs\HER2ST_F1_CONTROLLED__reverse.npz	18973dc44861c9de40ec7bc1479ebead2a6a8f50fafb541ddcdeb2cf8e7b6cfb	balanced_ot	True	200	1.0456470999633893	527	659
COMPLETED	be2abd5e1bb282b5410ceff2126c8bfbea75ccc0acebadc76a1797a67658e6a4	data/processed/p1_v2_expanded_pairs\HER2ST_F1_CONTROLLED__reverse.npz	18973dc44861c9de40ec7bc1479ebead2a6a8f50fafb541ddcdeb2cf8e7b6cfb	uot	True	80	0.5051624999614432	527	659
COMPLETED	be2abd5e1bb282b5410ceff2126c8bfbea75ccc0acebadc76a1797a67658e6a4	data/processed/p1_v2_expanded_pairs\HER2ST_F1_CONTROLLED__reverse.npz	18973dc44861c9de40ec7bc1479ebead2a6a8f50fafb541ddcdeb2cf8e7b6cfb	row_softmax	True	1	0.005283900012727827	527	659
COMPLETED	be2abd5e1bb282b5410ceff2126c8bfbea75ccc0acebadc76a1797a67658e6a4	data/processed/p1_v2_expanded_pairs\HER2ST_G2_CONTROLLED.npz	ef030af5c3df37ca6d76015e9779230ad156396b9c515a43302af04045f4b1ca	balanced_ot	True	200	0.5323465000255965	402	322
COMPLETED	be2abd5e1bb282b5410ceff2126c8bfbea75ccc0acebadc76a1797a67658e6a4	data/processed/p1_v2_expanded_pairs\HER2ST_G2_CONTROLLED.npz	ef030af5c3df37ca6d76015e9779230ad156396b9c515a43302af04045f4b1ca	uot	True	80	0.20919700001832098	402	322
COMPLETED	be2abd5e1bb282b5410ceff2126c8bfbea75ccc0acebadc76a1797a67658e6a4	data/processed/p1_v2_expanded_pairs\HER2ST_G2_CONTROLLED.npz	ef030af5c3df37ca6d76015e9779230ad156396b9c515a43302af04045f4b1ca	row_softmax	True	1	0.002395499963313341	402	322
COMPLETED	be2abd5e1bb282b5410ceff2126c8bfbea75ccc0acebadc76a1797a67658e6a4	data/processed/p1_v2_expanded_pairs\HER2ST_G2_CONTROLLED__reverse.npz	be22e41ab5453210009f6a541d435ed73abf55bf69dca80ebcf71363f2ac77a1	balanced_ot	True	200	0.4887546000536531	322	402
COMPLETED	be2abd5e1bb282b5410ceff2126c8bfbea75ccc0acebadc76a1797a67658e6a4	data/processed/p1_v2_expanded_pairs\HER2ST_G2_CONTROLLED__reverse.npz	be22e41ab5453210009f6a541d435ed73abf55bf69dca80ebcf71363f2ac77a1	uot	True	80	0.19608030002564192	322	402
COMPLETED	be2abd5e1bb282b5410ceff2126c8bfbea75ccc0acebadc76a1797a67658e6a4	data/processed/p1_v2_expanded_pairs\HER2ST_G2_CONTROLLED__reverse.npz	be22e41ab5453210009f6a541d435ed73abf55bf69dca80ebcf71363f2ac77a1	row_softmax	True	1	0.001993299985770136	322	402
COMPLETED	be2abd5e1bb282b5410ceff2126c8bfbea75ccc0acebadc76a1797a67658e6a4	data/processed/p1_v2_expanded_pairs\HER2ST_H1_CONTROLLED.npz	8fb797f52f84a7d3bfab3a54c5623c131a7c138e75faba212959f8bcccddc1d5	balanced_ot	True	200	0.6785215000272729	530	424
COMPLETED	be2abd5e1bb282b5410ceff2126c8bfbea75ccc0acebadc76a1797a67658e6a4	data/processed/p1_v2_expanded_pairs\HER2ST_H1_CONTROLLED.npz	8fb797f52f84a7d3bfab3a54c5623c131a7c138e75faba212959f8bcccddc1d5	uot	True	80	0.26919389999238774	530	424
COMPLETED	be2abd5e1bb282b5410ceff2126c8bfbea75ccc0acebadc76a1797a67658e6a4	data/processed/p1_v2_expanded_pairs\HER2ST_H1_CONTROLLED.npz	8fb797f52f84a7d3bfab3a54c5623c131a7c138e75faba212959f8bcccddc1d5	row_softmax	True	1	0.003234800009522587	530	424
COMPLETED	be2abd5e1bb282b5410ceff2126c8bfbea75ccc0acebadc76a1797a67658e6a4	data/processed/p1_v2_expanded_pairs\HER2ST_H1_CONTROLLED__reverse.npz	80446a22afdf9794a191700babccbb3c78365d1d21356ab3a60b24fe08551e71	balanced_ot	True	200	0.6844616999733262	424	530
COMPLETED	be2abd5e1bb282b5410ceff2126c8bfbea75ccc0acebadc76a1797a67658e6a4	data/processed/p1_v2_expanded_pairs\HER2ST_H1_CONTROLLED__reverse.npz	80446a22afdf9794a191700babccbb3c78365d1d21356ab3a60b24fe08551e71	uot	True	80	0.2904281000373885	424	530
COMPLETED	be2abd5e1bb282b5410ceff2126c8bfbea75ccc0acebadc76a1797a67658e6a4	data/processed/p1_v2_expanded_pairs\HER2ST_H1_CONTROLLED__reverse.npz	80446a22afdf9794a191700babccbb3c78365d1d21356ab3a60b24fe08551e71	row_softmax	True	1	0.0033325999975204468	424	530
