method	strategy	coverage	metric	n_independent_units	median	q25	q75
row_softmax	random_gate	0.8	region_label_accuracy	8	0.8419608104453193	0.6332657625509913	1.0
row_softmax	random_gate	0.8	true_pair_cosine	8	0.9021196486604098	0.893730947643131	0.930452950950821
row_softmax	top2_margin_gate	0.8	training_positive_precision	8	0.9559113805781997	0.895455205722985	0.9863148418335307
row_softmax	top2_margin_gate	0.8	top1	8	0.8102782040691464	0.208030823957576	1.0
row_softmax	top2_margin_gate	0.8	top5	8	0.9254380264695677	0.4971386858185639	1.0
row_softmax	top2_margin_gate	0.8	top10	8	0.9566254358055577	0.634497147037043	1.0
row_softmax	top2_margin_gate	0.8	mean_reciprocal_rank	8	0.8649261643145939	0.34276573324696574	1.0
row_softmax	top2_margin_gate	0.8	median_true_rank	8	1.15	1.0	10.1375
row_softmax	top2_margin_gate	0.8	region_label_accuracy	8	0.869510781099599	0.8175661903261557	1.0
row_softmax	top2_margin_gate	0.8	true_pair_cosine	8	0.910688126659066	0.9049581544788173	0.9480610781158731
uot	all_top1	1.0	training_positive_precision	8	0.759724343377477	0.7344209116852776	0.8965611316711608
uot	all_top1	1.0	top1	8	0.7141483256029881	0.21313142711121358	1.0
uot	all_top1	1.0	top5	8	0.8461023041450098	0.5083549843731533	1.0
uot	all_top1	1.0	top10	8	0.8745911410075027	0.624233773133513	1.0
uot	all_top1	1.0	mean_reciprocal_rank	8	0.774352977194424	0.3479603330182289	1.0
uot	all_top1	1.0	median_true_rank	8	3.225	1.0	12.6875
uot	all_top1	1.0	region_label_accuracy	8	0.8642008746681087	0.7708443885333633	1.0
uot	all_top1	1.0	true_pair_cosine	8	0.9078637763019569	0.9020490423355634	0.9434236294109473
uot	identity_no_training	0.0	top1	8	1.0	1.0	1.0
uot	identity_no_training	0.0	top5	8	1.0	1.0	1.0
uot	identity_no_training	0.0	top10	8	1.0	1.0	1.0
uot	identity_no_training	0.0	mean_reciprocal_rank	8	1.0	1.0	1.0
uot	identity_no_training	0.0	median_true_rank	8	1.0	1.0	1.0
uot	identity_no_training	0.0	region_label_accuracy	8	1.0	1.0	1.0
uot	identity_no_training	0.0	true_pair_cosine	8	1.0	0.99900512214342	1.0
uot	max_probability_gate	0.8	training_positive_precision	8	0.7413156921345512	0.713874467131418	0.9056390167058561
uot	max_probability_gate	0.8	top1	8	0.5130516059747599	0.11117133733888077	0.9993801652892562
uot	max_probability_gate	0.8	top5	8	0.6953905036792603	0.3253752100957834	1.0
uot	max_probability_gate	0.8	top10	8	0.7567723362847241	0.46833933071368045	1.0
uot	max_probability_gate	0.8	mean_reciprocal_rank	8	0.6061190942492447	0.22355587563443155	0.9996900826446281
uot	max_probability_gate	0.8	median_true_rank	8	6.65	1.0	20.912499999999998
uot	max_probability_gate	0.8	region_label_accuracy	8	0.8389101986544406	0.6637422377357999	1.0
uot	max_probability_gate	0.8	true_pair_cosine	8	0.8966303334511533	0.8926943678203285	0.9272839789333049
uot	oracle_truth	0.8	training_positive_precision	8	1.0	1.0	1.0
uot	oracle_truth	0.8	top1	8	0.7939500145089728	0.24270557107427487	1.0
uot	oracle_truth	0.8	top5	8	0.8751044933963109	0.5477010592500537	1.0
uot	oracle_truth	0.8	top10	8	0.9073091361464756	0.6647607646340571	1.0
uot	oracle_truth	0.8	mean_reciprocal_rank	8	0.8375716014187387	0.38074789108506174	1.0
uot	oracle_truth	0.8	median_true_rank	8	1.75	1.0	10.5
uot	oracle_truth	0.8	region_label_accuracy	8	0.9256968142928705	0.7798241501955628	1.0
uot	oracle_truth	0.8	true_pair_cosine	8	0.9180540253395904	0.9046348103597199	0.946435882485727
uot	random_gate	0.8	training_positive_precision	8	0.7608689403747454	0.7388704247481467	0.8969758663141124
uot	random_gate	0.8	top1	8	0.46530675607393945	0.0952917703843052	0.9996280991735538
uot	random_gate	0.8	top5	8	0.6550013260414265	0.30600095853808335	1.0
uot	random_gate	0.8	top10	8	0.7041595084296066	0.45395605198999417	1.0
uot	random_gate	0.8	mean_reciprocal_rank	8	0.5597468686947922	0.20674916808881116	0.9998140495867769
uot	random_gate	0.8	median_true_rank	8	6.725	1.0	27.865000000000002
uot	random_gate	0.8	region_label_accuracy	8	0.8395628167898174	0.6464668275121	1.0
uot	random_gate	0.8	true_pair_cosine	8	0.8962929610741155	0.8929138976797549	0.9255157257235617
uot	top2_margin_gate	0.8	training_positive_precision	8	0.8660924308071707	0.8410589399160658	0.984440504316427
uot	top2_margin_gate	0.8	top1	8	0.7532003813065113	0.17635827794828918	1.0
uot	top2_margin_gate	0.8	top5	8	0.8606351390476221	0.4517042413073389	1.0
uot	top2_margin_gate	0.8	top10	8	0.8865415943685804	0.5969176337517227	1.0
uot	top2_margin_gate	0.8	mean_reciprocal_rank	8	0.8039546825086149	0.3071466583578379	1.0
uot	top2_margin_gate	0.8	median_true_rank	8	3.1	1.0	13.712499999999999
uot	top2_margin_gate	0.8	region_label_accuracy	8	0.8811820548928765	0.7758068102449192	1.0
uot	top2_margin_gate	0.8	true_pair_cosine	8	0.9087198812121745	0.901223660760918	0.9459218919821204
