dataset	pair_id	independent_unit_id	direction	strategy	n_components	coverage	top1	top5	top10	mean_reciprocal_rank	median_true_rank	region_label_accuracy	true_pair_cosine
HER2ST_manual_controlled	HER2ST_C1_CONTROLLED__reverse	HER2ST::C	reverse	oracle_truth	16	0.8	0.030229885057471262	0.08360791826309068	0.15314176245210728	0.07888333775241338	42.9	0.7229246487867178	0.24614440929768336
HER2ST_manual_controlled	HER2ST_C1_CONTROLLED__reverse	HER2ST::C	reverse	permuted_truth_control	16	0.8	0.0041430395913154535	0.026035759897828865	0.05253001277139209	0.030350394082384075	89.8	0.615081098339719	-0.017513678394201565
HER2ST_manual_controlled	HER2ST_D1_CONTROLLED	HER2ST::D	forward	oracle_truth	16	0.8	0.008928571428571428	0.06026556776556776	0.12575091575091574	0.05447706471141095	66.7	0.6540384615384616	0.14169539695536204
HER2ST_manual_controlled	HER2ST_D1_CONTROLLED	HER2ST::D	forward	permuted_truth_control	16	0.8	0.005846153846153846	0.029867216117216117	0.05317582417582417	0.03111738458454369	100.61	0.46038461538461534	0.009311223966926827
HER2ST_manual_controlled	HER2ST_D1_CONTROLLED__reverse	HER2ST::D	reverse	oracle_truth	16	0.8	0.009383524277141297	0.03751138745539641	0.06826017083575874	0.04133033435622742	71.1	0.6285081411061254	0.14719834236482
HER2ST_manual_controlled	HER2ST_D1_CONTROLLED__reverse	HER2ST::D	reverse	permuted_truth_control	16	0.8	0.0027410159828972817	0.02087066286954305	0.03686537613189349	0.022918297081682346	127.46	0.45421231872519663	0.001519895510648695
HER2ST_manual_controlled	HER2ST_E1_CONTROLLED	HER2ST::E	forward	oracle_truth	16	0.8	0.004669365721997301	0.01643643259341989	0.023799385732235098	0.018956457240826025	195.6	0.5402616454930429	0.031749300928468664
HER2ST_manual_controlled	HER2ST_E1_CONTROLLED	HER2ST::E	forward	permuted_truth_control	16	0.8	0.002359823630694774	0.011168004560472799	0.02267853320303411	0.015529636111145776	211.84	0.5416099981385825	0.000412453758518894
HER2ST_manual_controlled	HER2ST_E1_CONTROLLED__reverse	HER2ST::E	reverse	oracle_truth	16	0.8	0.0027397260273972603	0.022613641874780162	0.0315199803014921	0.01814288571227531	254.6	0.5639886674985257	0.03033593739133448
HER2ST_manual_controlled	HER2ST_E1_CONTROLLED__reverse	HER2ST::E	reverse	permuted_truth_control	16	0.8	0.0012429704397981254	0.007206100191233822	0.01994627978371666	0.011762560265232393	272.4	0.5311879257665895	-0.0022871504036482107
HER2ST_manual_controlled	HER2ST_F1_CONTROLLED	HER2ST::F	forward	oracle_truth	16	0.8	0.0	0.003680878007598143	0.016631360517768503	0.010765234775050384	260.0	0.8689799373178996	0.0051047463620350324
HER2ST_manual_controlled	HER2ST_F1_CONTROLLED	HER2ST::F	forward	permuted_truth_control	16	0.8	0.0017499080877724001	0.009053888611991192	0.02179500833698605	0.013142896208020682	265.36	0.869676322890243	-0.0024885452275679567
HER2ST_manual_controlled	HER2ST_F1_CONTROLLED__reverse	HER2ST::F	reverse	oracle_truth	16	0.8	0.0	0.007675438596491227	0.013227065187721779	0.009906235375571375	310.4	0.8275300303309683	0.009413284728910832
HER2ST_manual_controlled	HER2ST_F1_CONTROLLED__reverse	HER2ST::F	reverse	permuted_truth_control	16	0.8	0.0017104547354677632	0.00806345762540395	0.013204223907063928	0.010870241701149459	328.08000000000004	0.8265915252239509	0.001377508242622174
HER2ST_manual_controlled	HER2ST_G2_CONTROLLED	HER2ST::G	forward	oracle_truth	16	0.8	0.0195906432748538	0.059209064327485385	0.09119005847953217	0.05142688818743646	95.3	0.47017860623781677	0.16421545489603506
HER2ST_manual_controlled	HER2ST_G2_CONTROLLED	HER2ST::G	forward	permuted_truth_control	16	0.8	0.0037813840155945418	0.015419005847953216	0.025317933723196885	0.019372235383450825	162.6	0.24597314814814814	-0.004986918027987724
HER2ST_manual_controlled	HER2ST_G2_CONTROLLED__reverse	HER2ST::G	reverse	oracle_truth	16	0.8	0.0028169014084507044	0.021877191045134144	0.06800590764328125	0.025793480310982043	123.8	0.42434589239743775	0.14668991080420654
HER2ST_manual_controlled	HER2ST_G2_CONTROLLED__reverse	HER2ST::G	reverse	permuted_truth_control	16	0.8	0.0018214730590719417	0.011668516644061641	0.021349163697720705	0.015226558648820363	207.2	0.23660153934982767	-0.009870852340908422
HER2ST_manual_controlled	HER2ST_H1_CONTROLLED	HER2ST::H	forward	oracle_truth	16	0.8	0.00450347881087919	0.013626631058636119	0.03032743324330927	0.021826426215174242	171.0	0.258005122761606	0.07969204499149801
HER2ST_manual_controlled	HER2ST_H1_CONTROLLED	HER2ST::H	forward	permuted_truth_control	16	0.8	0.0007339265672599005	0.008982369096221087	0.021878910182515497	0.013841680019691055	215.13000000000002	0.19059685055731862	-0.006579794934951202
HER2ST_manual_controlled	HER2ST_H1_CONTROLLED__reverse	HER2ST::H	reverse	oracle_truth	16	0.8	0.007151162790697674	0.026121972276615762	0.03631677747142096	0.02385225234089187	191.6	0.325637784159001	0.09042690334481743
HER2ST_manual_controlled	HER2ST_H1_CONTROLLED__reverse	HER2ST::H	reverse	permuted_truth_control	16	0.8	0.0011205332514346487	0.006216412158822881	0.01592620419244743	0.010986265975608997	273.2	0.19604955123391285	-0.010050706232136185
