dataset	pair_id	independent_unit_id	direction	fold	n_train_available	n_train_selected	n_test	n_components	coverage	strategy	repeat	top1	top5	top10	mean_reciprocal_rank	median_true_rank	region_label_accuracy	true_pair_cosine
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED__reverse	HER2ST::A	reverse	0	217	174	56	16	0.8	permuted_truth_control	9	0.0	0.0	0.017857142857142856	0.012653960363608942	170.5	0.875	-8.167743925630419e-05
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED__reverse	HER2ST::A	reverse	1	213	171	60	16	0.8	oracle_truth	0	0.016666666666666666	0.03333333333333333	0.05	0.04065138754147176	120.0	0.5166666666666667	0.08833683808580929
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED__reverse	HER2ST::A	reverse	1	213	171	60	16	0.8	permuted_truth_control	0	0.0	0.0	0.0	0.01227790032467098	137.5	0.4666666666666667	0.02533933818444922
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED__reverse	HER2ST::A	reverse	1	213	171	60	16	0.8	permuted_truth_control	1	0.0	0.03333333333333333	0.03333333333333333	0.026082072098399908	144.5	0.5	0.052174147577050925
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED__reverse	HER2ST::A	reverse	1	213	171	60	16	0.8	permuted_truth_control	2	0.0	0.0	0.0	0.011074216349749803	150.5	0.43333333333333335	-0.005434807998816178
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED__reverse	HER2ST::A	reverse	1	213	171	60	16	0.8	permuted_truth_control	3	0.0	0.05	0.1	0.027086629201492327	139.5	0.43333333333333335	0.04189225937196027
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED__reverse	HER2ST::A	reverse	1	213	171	60	16	0.8	permuted_truth_control	4	0.0	0.0	0.0	0.00868905251770524	184.0	0.4166666666666667	-0.0174521573725415
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED__reverse	HER2ST::A	reverse	1	213	171	60	16	0.8	permuted_truth_control	5	0.0	0.016666666666666666	0.016666666666666666	0.013397122973449712	202.0	0.4	-0.037237740999378
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED__reverse	HER2ST::A	reverse	1	213	171	60	16	0.8	permuted_truth_control	6	0.0	0.03333333333333333	0.03333333333333333	0.01941863292170139	154.5	0.4666666666666667	0.03435251887344099
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED__reverse	HER2ST::A	reverse	1	213	171	60	16	0.8	permuted_truth_control	7	0.0	0.03333333333333333	0.05	0.032358642506504186	147.0	0.4166666666666667	0.06468026208980952
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED__reverse	HER2ST::A	reverse	1	213	171	60	16	0.8	permuted_truth_control	8	0.0	0.0	0.0	0.008813759514454312	192.0	0.4666666666666667	-0.05951106085836669
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED__reverse	HER2ST::A	reverse	1	213	171	60	16	0.8	permuted_truth_control	9	0.0	0.016666666666666666	0.03333333333333333	0.017536039526909762	197.5	0.4166666666666667	-0.006649749797537614
