dataset	pair_type	biological_pair_id	independent_unit_id	cohort_role	pair_id	direction	method	epsilon	tau	n_truth	top1	top5	top10	median_true_probability	median_reciprocal_rank	median_normalized_barycentric_error	metric	score	n_estimable	spearman	aurc	oracle_aurc	random_aurc	normalized_excess_aurc	retained_loss_at_80pct_coverage	retained_loss_at_90pct_coverage	auroc	auprc	prevalence	precision_at_prevalence	recall_at_prevalence
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_A1_CONTROLLED	HER2ST::A	manual_truth_controlled	HER2ST_A1_CONTROLLED	forward	uot	0.25	2.0								top1_error_detection	local_reference	273.0	-0.3540787953352183	0.2073383029153893	0.028115735806914434	0.16117216117216118	1.34696664679289	0.1872146118721461	0.17886178861788618	0.22201270345375146	0.10105656371918396	0.16117216117216118	0.0	0.0
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_A1_CONTROLLED	HER2ST::A	manual_truth_controlled	HER2ST_A1_CONTROLLED	forward	uot	0.25	2.0								barycentric_error_ranking	local_reference	273.0	0.055333138308664286	0.08325631421982399	0.06974699264634394	0.08483157079946746	0.8955717181048721	0.08351222652133693	0.08477419859887682					
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_A1_CONTROLLED	HER2ST::A	manual_truth_controlled	HER2ST_A1_CONTROLLED	forward	uot	0.25	2.0								top1_error_detection	endpoint_response	273.0	-0.35142415245694636	0.20710443149604257	0.028115735806914434	0.16117216117216118	1.3452089607682975	0.1872146118721461	0.17886178861788618	0.2240968638348551	0.10133356028053171	0.16117216117216118	0.0	0.0
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_A1_CONTROLLED	HER2ST::A	manual_truth_controlled	HER2ST_A1_CONTROLLED	forward	uot	0.25	2.0								barycentric_error_ranking	endpoint_response	273.0	0.04562220733324211	0.08336880839717704	0.06974699264634394	0.08483157079946746	0.9030292801401592	0.08351222652133694	0.08467936573689418					
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_A1_CONTROLLED	HER2ST::A	manual_truth_controlled	HER2ST_A1_CONTROLLED	forward	uot	0.25	2.0								top1_error_detection	conditional_entropy	273.0	-0.17925160006616903	0.19880607671739475	0.028115735806914434	0.16117216117216118	1.2828417751485999	0.1917808219178082	0.17886178861788618	0.3592695514092894	0.11942014459331021	0.16117216117216118	0.022727272727272728	0.022727272727272728
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_A1_CONTROLLED	HER2ST::A	manual_truth_controlled	HER2ST_A1_CONTROLLED	forward	uot	0.25	2.0								barycentric_error_ranking	conditional_entropy	273.0	-0.6407763554607693	0.09494833152305188	0.06974699264634394	0.08483157079946746	1.6706691178824629	0.09314717430563833	0.0892219394908614					
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_A1_CONTROLLED	HER2ST::A	manual_truth_controlled	HER2ST_A1_CONTROLLED	forward	uot	0.25	2.0								top1_error_detection	low_max_probability	273.0	-0.09417661639583635	0.18625799497203863	0.028115735806914434	0.16117216117216118	1.1885353054616907	0.1872146118721461	0.17479674796747968	0.42606192933703846	0.15400725342109478	0.16117216117216118	0.06818181818181818	0.06818181818181818
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_A1_CONTROLLED	HER2ST::A	manual_truth_controlled	HER2ST_A1_CONTROLLED	forward	uot	0.25	2.0								barycentric_error_ranking	low_max_probability	273.0	-0.6066663049273612	0.09415856517495087	0.06974699264634394	0.08483157079946746	1.618313238912293	0.0926244138063151	0.08765314191475414					
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_A1_CONTROLLED	HER2ST::A	manual_truth_controlled	HER2ST_A1_CONTROLLED	forward	uot	0.25	2.0								top1_error_detection	probability_margin_risk	273.0	0.46380403430379	0.07380946587613897	0.028115735806914434	0.16117216117216118	0.3434161856054143	0.0867579908675799	0.11788617886178862	0.8641325922985312	0.5126725669942948	0.16117216117216118	0.5	0.5
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_A1_CONTROLLED	HER2ST::A	manual_truth_controlled	HER2ST_A1_CONTROLLED	forward	uot	0.25	2.0								barycentric_error_ranking	probability_margin_risk	273.0	-0.14384150628246806	0.08572649515050344	0.06974699264634394	0.08483157079946746	1.0593271049380109	0.08536925768895452	0.08446269820834341					
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_A1_CONTROLLED	HER2ST::A	manual_truth_controlled	HER2ST_A1_CONTROLLED	forward	uot	0.25	2.0								top1_error_detection	assigned_raw_cost	273.0	0.5337096300982834	0.0503103829218868	0.028115735806914434	0.16117216117216118	0.16680627826913966	0.0410958904109589	0.09349593495934959	0.9190154823342596	0.766659943508805	0.16117216117216118	0.7272727272727273	0.7272727272727273
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_A1_CONTROLLED	HER2ST::A	manual_truth_controlled	HER2ST_A1_CONTROLLED	forward	uot	0.25	2.0								barycentric_error_ranking	assigned_raw_cost	273.0	0.3469783758534295	0.07964169480559867	0.06974699264634394	0.08483157079946746	0.6559482180286137	0.08111742251347026	0.08355525692821138					
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_A1_CONTROLLED	HER2ST::A	manual_truth_controlled	HER2ST_A1_CONTROLLED	forward	uot	0.25	2.0								top1_error_detection	barycentric_displacement	273.0	-0.09556714361778829	0.1915489909270781	0.028115735806914434	0.16117216117216118	1.2283003595770063	0.2009132420091324	0.17886178861788618	0.4249702262802699	0.1319193663828731	0.16117216117216118	0.0	0.0
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_A1_CONTROLLED	HER2ST::A	manual_truth_controlled	HER2ST_A1_CONTROLLED	forward	uot	0.25	2.0								barycentric_error_ranking	barycentric_displacement	273.0	0.4349942672183978	0.07848679269898019	0.06974699264634394	0.08483157079946746	0.5793864411665053	0.07908269047413942	0.08117057059021149					
