independent_unit_id	pair_id	direction	pair_purity	macro_f1	balanced_accuracy	accuracy
HER2ST::F	HER2ST_F1_CONTROLLED	forward	1.0	0.3578682204824848	0.5032393817228884	0.6507601351351352
HER2ST::F	HER2ST_F1_CONTROLLED__reverse	reverse	0.0	0.23916323792613103	0.3351946360631631	0.45413183984612554
HER2ST::F	HER2ST_F1_CONTROLLED__reverse	reverse	0.5	0.2353240267562893	0.35454999080923794	0.42688512688512686
HER2ST::F	HER2ST_F1_CONTROLLED__reverse	reverse	1.0	0.25658343632739383	0.3910007121395516	0.4974349545778118
HER2ST::G	HER2ST_G2_CONTROLLED	forward	0.0	0.13645791221538808	0.18555367867867867	0.21613066464141775
HER2ST::G	HER2ST_G2_CONTROLLED	forward	0.5	0.17956005162523203	0.2710472972972973	0.2894211364030289
HER2ST::G	HER2ST_G2_CONTROLLED	forward	1.0	0.21527521616651157	0.31169857357357356	0.34876027318989283
HER2ST::G	HER2ST_G2_CONTROLLED__reverse	reverse	0.0	0.14442529660379005	0.1777275865232486	0.2521949840452641
HER2ST::G	HER2ST_G2_CONTROLLED__reverse	reverse	0.5	0.18410439294002537	0.2517621727239307	0.27359638907800454
HER2ST::G	HER2ST_G2_CONTROLLED__reverse	reverse	1.0	0.20953713634335713	0.2922378285820067	0.3430487708586292
HER2ST::H	HER2ST_H1_CONTROLLED	forward	0.0	0.10517817538235809	0.18863707031910915	0.17561602568901016
HER2ST::H	HER2ST_H1_CONTROLLED	forward	0.5	0.11288698026366673	0.19632290300494182	0.1797587720560997
HER2ST::H	HER2ST_H1_CONTROLLED	forward	1.0	0.12680169822298099	0.229960569545521	0.1443641662875887
HER2ST::H	HER2ST_H1_CONTROLLED__reverse	reverse	0.0	0.09900653892564493	0.15455646505510764	0.19766867911243055
HER2ST::H	HER2ST_H1_CONTROLLED__reverse	reverse	0.5	0.09308082239625909	0.20717497739375734	0.15923661461901498
HER2ST::H	HER2ST_H1_CONTROLLED__reverse	reverse	1.0	0.10193208434664254	0.19743076150933067	0.1741350170320469
