independent_unit_id	pair_id	direction	fold	repeat	pair_purity	n_train_available	n_train_selected	n_test	macro_f1	balanced_accuracy	accuracy
HER2ST::C	HER2ST_C1_CONTROLLED	forward	2	1	0.0	91	73	43	0.2698412698412698	0.27619047619047615	0.5348837209302325
HER2ST::C	HER2ST_C1_CONTROLLED	forward	2	1	0.5	91	73	43	0.3328571428571429	0.44761904761904764	0.5348837209302325
HER2ST::C	HER2ST_C1_CONTROLLED	forward	2	1	1.0	91	73	43	0.3215657128700607	0.5174603174603174	0.3488372093023256
HER2ST::C	HER2ST_C1_CONTROLLED__reverse	reverse	0	0	0.0	92	74	42	0.31495405179615704	0.45	0.4523809523809524
HER2ST::C	HER2ST_C1_CONTROLLED__reverse	reverse	0	0	0.5	92	74	42	0.36622669180808715	0.5227272727272727	0.5238095238095238
HER2ST::C	HER2ST_C1_CONTROLLED__reverse	reverse	0	0	1.0	92	74	42	0.3498019595580571	0.5	0.5
HER2ST::C	HER2ST_C1_CONTROLLED__reverse	reverse	0	1	0.0	92	74	42	0.23048780487804876	0.3340909090909091	0.3333333333333333
HER2ST::C	HER2ST_C1_CONTROLLED__reverse	reverse	0	1	0.5	92	74	42	0.30710710710710715	0.45681818181818185	0.4523809523809524
HER2ST::C	HER2ST_C1_CONTROLLED__reverse	reverse	0	1	1.0	92	74	42	0.4003898635477583	0.5931818181818183	0.5952380952380952
HER2ST::C	HER2ST_C1_CONTROLLED__reverse	reverse	1	0	0.0	93	75	41	0.23996129656507015	0.36507936507936506	0.4146341463414634
HER2ST::C	HER2ST_C1_CONTROLLED__reverse	reverse	1	0	0.5	93	75	41	0.33918128654970764	0.5238095238095238	0.5609756097560976
HER2ST::C	HER2ST_C1_CONTROLLED__reverse	reverse	1	0	1.0	93	75	41	0.27336860670194	0.3841269841269841	0.4634146341463415
HER2ST::C	HER2ST_C1_CONTROLLED__reverse	reverse	1	1	0.0	93	75	41	0.1388888888888889	0.09523809523809523	0.24390243902439024
HER2ST::C	HER2ST_C1_CONTROLLED__reverse	reverse	1	1	0.5	93	75	41	0.24802259887005648	0.2920634920634921	0.4878048780487805
HER2ST::C	HER2ST_C1_CONTROLLED__reverse	reverse	1	1	1.0	93	75	41	0.37142857142857144	0.4666666666666666	0.4146341463414634
HER2ST::C	HER2ST_C1_CONTROLLED__reverse	reverse	2	0	0.0	83	67	51	0.17391304347826086	0.35294117647058826	0.35294117647058826
HER2ST::C	HER2ST_C1_CONTROLLED__reverse	reverse	2	0	0.5	83	67	51	0.2916666666666667	0.4117647058823529	0.4117647058823529
HER2ST::C	HER2ST_C1_CONTROLLED__reverse	reverse	2	0	1.0	83	67	51	0.15151515151515152	0.29411764705882354	0.29411764705882354
HER2ST::C	HER2ST_C1_CONTROLLED__reverse	reverse	2	1	0.0	83	67	51	0.32894736842105265	0.49019607843137253	0.49019607843137253
HER2ST::C	HER2ST_C1_CONTROLLED__reverse	reverse	2	1	0.5	83	67	51	0.2888888888888889	0.7647058823529411	0.7647058823529411
HER2ST::C	HER2ST_C1_CONTROLLED__reverse	reverse	2	1	1.0	83	67	51	0.1435897435897436	0.27450980392156865	0.27450980392156865
HER2ST::D	HER2ST_D1_CONTROLLED	forward	0	0	0.0	129	104	75	0.26601855943437913	0.3784722222222222	0.36
HER2ST::D	HER2ST_D1_CONTROLLED	forward	0	0	0.5	129	104	75	0.40670690811535887	0.6261574074074074	0.5733333333333334
HER2ST::D	HER2ST_D1_CONTROLLED	forward	0	0	1.0	129	104	75	0.4167310167310167	0.6469907407407407	0.6
HER2ST::D	HER2ST_D1_CONTROLLED	forward	0	1	0.0	129	104	75	0.2143939393939394	0.2881944444444444	0.30666666666666664
HER2ST::D	HER2ST_D1_CONTROLLED	forward	0	1	0.5	129	104	75	0.3831967213114755	0.556712962962963	0.5466666666666666
HER2ST::D	HER2ST_D1_CONTROLLED	forward	0	1	1.0	129	104	75	0.46913580246913583	0.7013888888888888	0.68
HER2ST::D	HER2ST_D1_CONTROLLED	forward	1	0	0.0	131	105	73	0.3646996278575226	0.3879917184265011	0.4383561643835616
HER2ST::D	HER2ST_D1_CONTROLLED	forward	1	0	0.5	131	105	73	0.4394721744119334	0.4532091097308489	0.5616438356164384
HER2ST::D	HER2ST_D1_CONTROLLED	forward	1	0	1.0	131	105	73	0.42585497374769404	0.4862318840579711	0.6164383561643836
HER2ST::D	HER2ST_D1_CONTROLLED	forward	1	1	0.0	131	105	73	0.3605935127674258	0.3601449275362319	0.5205479452054794
HER2ST::D	HER2ST_D1_CONTROLLED	forward	1	1	0.5	131	105	73	0.3178441599494231	0.3355072463768116	0.4383561643835616
HER2ST::D	HER2ST_D1_CONTROLLED	forward	1	1	1.0	131	105	73	0.39738562091503266	0.4028985507246377	0.547945205479452
HER2ST::D	HER2ST_D1_CONTROLLED	forward	2	0	0.0	148	119	56	0.18857142857142858	0.2512820512820513	0.25
HER2ST::D	HER2ST_D1_CONTROLLED	forward	2	0	0.5	148	119	56	0.4666666666666666	0.6935897435897436	0.6964285714285714
